date,Snow,Reservoirs,ANT,BLB,BRD,BUC,BUL,CAS,CCH,CHV,CLE,CMN,COY,DAV,DNN,DNP,DON,ENG,EXC,FOL,FRD,HID,HTH,ICH,INP,INV,ISB,KES,LEW,LON,MIL,NAT,NHG,NML,ORO,PAR,PNF,PRR,PYM,SCC,SHA,SNL,STP,TRM,TUL,UNV,WHI,WRS
10/17/03,0,"15,434,903",16914,37414,75541,17317,622667,,,225389,1782714,283300,61381,48130,5874,1472235,26006,67907,417949,613027,25720,9626,268370,31840,16073,150180,159277,22846,14307,40704,201389,8120,103880,1272857,2220874,180430,154855,,,4763,3140398,930436,,5923,60167,188760,238087,211256
10/18/03,0,"15,414,892",16898,37049,75300,17304,621802,,,224888,1778950,284050,61333,48080,5857,1469199,26028,67756,415929,610003,25705,9626,267308,31806,16052,149872,158761,22576,14240,40626,202690,8172,103561,1273445,2222241,179570,154965,,,4751,3133164,932586,,5893,59750,188081,238055,210970
10/19/03,0,"15,390,083",16851,36827,75307,17304,620686,,,224554,1773992,283550,61188,48030,5849,1465157,25846,67684,413458,606711,25690,9622,266777,31771,15976,149675,158245,22273,14248,40593,203992,8214,103221,1273865,2219394,179460,155141,,,4745,3132931,929947,,5881,59328,187290,238055,210755
10/20/03,0,"15,363,234",16804,36405,75333,17298,619427,,,224387,1768371,284300,61059,47980,5841,1460118,25620,67835,411446,603166,25680,9622,265896,31691,15955,149480,157733,21995,14098,40504,204934,8223,102926,1274536,2213709,178500,155295,,,4739,3132464,930729,,5884,57647,186816,238247,210541
10/21/03,0,"15,339,643",16749,35808,75352,17291,618276,,,223719,1762623,284800,60802,47930,5841,1457100,25400,67549,409663,600518,25661,9561,265016,31485,15914,149452,157049,21441,14240,39750,205790,8252,102631,1272521,2208147,177610,155185,,,4726,3132698,933173,,5886,58644,186681,238407,210302
10/22/03,0,"15,313,125",16710,35120,75281,17285,617127,,,223218,1756627,285300,60514,47880,5825,1454066,25270,67446,406856,596371,25651,9556,264136,31456,15887,149396,156311,21775,14143,39695,206961,8219,102360,1271346,2202821,176680,155031,,,4702,3132698,933857,,5884,58735,186434,238407,210088
10/23/03,0,"15,292,235",16671,34477,75067,17278,616409,,,222717,1751564,286050,60257,47830,5816,1452060,25260,66862,405440,592517,25622,9552,263256,31422,15859,149256,155632,22439,13948,39639,208631,8167,102089,1271934,2198296,175710,154789,,,4675,3129664,939243,,5835,57016,185620,237768,209898
10/24/03,0,"15,269,207",16616,34150,75183,17272,615691,,,222215,1745725,286800,59970,47780,5808,1450056,24924,66281,403535,588317,25608,9552,262555,31393,15818,149200,154955,21866,14068,39574,210828,8181,101864,1270590,2194906,174700,154635,,,4648,3127097,941302,,5791,57236,184810,238023,209684
10/25/03,0,"15,253,806",16570,34015,75138,17272,615081,,,221714,1739888,287300,59714,47730,5792,1449055,24769,65480,401810,584315,25593,9548,261680,31285,15791,149144,154279,21756,14472,39474,212775,8134,101593,1269163,2197731,173710,154394,,,4630,3123830,944344,,5752,57535,183993,238087,209470
10/26/03,0,"15,240,768",16547,33900,75164,17259,614005,,,221380,1734465,287050,59412,47680,5784,1447055,24551,65070,399987,579802,25573,9543,260980,30995,15763,149060,153550,21958,13904,39211,212745,8326,101368,1267909,2197731,173590,154284,,,4621,3121963,954279,,5711,57602,183927,237831,209233
10/27/03,0,"15,217,096",16508,33538,75265,17252,613396,,,221213,1732616,287550,59078,47630,5784,1445056,24260,64417,398065,576004,25563,9543,260280,30825,15729,149032,152878,21781,13830,38805,212600,8346,101099,1268829,2191516,172590,154174,,,4588,3116387,959506,,5680,55747,183793,237323,209020
10/28/03,0,"15,199,899",16469,32951,75365,17246,611963,,,220712,1732088,287800,58760,47580,5776,1443060,23972,64471,396463,572647,25554,9539,259405,30622,15694,148976,152153,22050,14091,38434,212455,8311,100875,1268411,2189490,172200,153933,,,4547,3110816,965040,,5668,54951,183660,236942,208759
10/29/03,0,"15,171,080",16423,32278,75339,17239,610174,,,220211,1730899,288050,58412,47530,5743,1442063,23808,64885,395593,568954,25534,9534,258530,30594,15639,148920,151319,22032,14023,38336,211990,8386,100740,1267324,2185772,171100,153692,,,4506,3103620,963458,,5660,54866,182949,236433,208522
10/30/03,2845.335095,"15,153,184",16353,31724,75424,17226,608509,,,219543,1729843,288810,58111,47480,5719,1442063,23538,65163,394934,565627,25534,9530,257830,30566,15605,149088,150543,21793,14098,38260,211206,8411,100628,1266237,2184759,170110,153517,,,4462,3097586,965633,,5660,55531,182263,236052,208215
