Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,PPTINC , ,,SPILL , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,INCHES, ,CFS, ,
01/07/2005,--,,110039,,--,,18,,385,,0.93,,0,,
01/08/2005,--,,113698,,--,,19,,1697,,1.96,,0,,
01/09/2005,--,,141996,,--,,19,,13993,,2.93,,0,,
01/10/2005,--,,190171,,--,,119,,24189,,1.73,,103,,
01/11/2005,--,,192573,,--,,15888,,17018,,0.65,,15876,,
01/12/2005,--,,193160,,--,,7013,,7295,,0.13,,6983,,
01/13/2005,--,,194523,,--,,3234,,3926,,0.00,,3052,,
01/14/2005,--,,197649,,--,,1078,,2657,,0.00,,910,,
01/15/2005,--,,196365,,--,,3295,,2652,,0.00,,3115,,
01/16/2005,--,,193253,,--,,3790,,2226,,0.00,,3606,,
01/17/2005,--,,192449,,--,,1909,,1510,,0.00,,1729,,
01/18/2005,--,,192635,,--,,1132,,1230,,0.00,,956,,
01/19/2005,--,,192665,,--,,1109,,1130,,0.00,,939,,
01/20/2005,--,,192789,,--,,1030,,1099,,0.00,,1006,,
01/21/2005,--,,193005,,--,,1120,,1235,,0.00,,1093,,
01/22/2005,--,,--,,--,,--,,--,,--,,--,,
01/23/2005,--,,192882,,--,,1202,,1145,,0.00,,1170,,
01/24/2005,--,,190477,,--,,2239,,1034,,0.00,,2208,,
01/25/2005,--,,188122,,--,,1829,,648,,0.00,,1797,,
01/26/2005,--,,188000,,--,,34,,-22,,0.00,,2,,
01/27/2005,--,,188091,,--,,434,,468,,0.11,,402,,
01/28/2005,--,,188091,,--,,433,,422,,0.12,,407,,
01/29/2005,--,,188030,,--,,408,,377,,0.04,,382,,
01/30/2005,--,,188489,,--,,190,,427,,0.00,,34,,
01/31/2005,--,,--,,--,,--,,--,,--,,--,,
02/01/2005,--,,189345,,--,,146,,400,,0.00,,0,,
02/02/2005,--,,189804,,--,,94,,337,,0.00,,0,,
02/03/2005,--,,190263,,--,,68,,309,,0.00,,0,,
02/04/2005,--,,190691,,--,,50,,275,,0.00,,0,,
02/05/2005,--,,--,,--,,--,,--,,--,,--,,
02/06/2005,--,,191553,,--,,40,,264,,0.00,,0,,
02/07/2005,--,,191985,,--,,41,,266,,0.00,,0,,
02/08/2005,--,,192418,,--,,43,,269,,0.00,,0,,
02/09/2005,--,,192573,,--,,163,,247,,0.00,,0,,
02/10/2005,--,,192665,,--,,190,,246,,0.00,,0,,
02/11/2005,--,,192851,,--,,163,,218,,0.35,,0,,
02/12/2005,--,,193036,,--,,192,,273,,0.11,,151,,
02/13/2005,--,,193160,,--,,195,,266,,0.00,,0,,
02/14/2005,--,,193315,,--,,189,,273,,0.00,,0,,
02/15/2005,--,,--,,--,,--,,--,,--,,--,,
02/16/2005,--,,191522,,--,,1199,,233,,0.05,,1153,,
02/17/2005,--,,191584,,--,,166,,204,,0.00,,0,,
02/18/2005,--,,192140,,--,,106,,296,,0.72,,0,,
02/19/2005,--,,192820,,--,,868,,1007,,2.21,,699,,
02/20/2005,--,,187788,,--,,6595,,3929,,1.05,,6426,,
02/21/2005,--,,189712,,--,,8695,,9206,,3.78,,8513,,
02/22/2005,--,,192882,,--,,12094,,13638,,0.47,,11917,,
02/23/2005,--,,189070,,--,,8813,,6794,,0.79,,8636,,
02/24/2005,--,,188152,,--,,4868,,4398,,0.13,,4695,,
02/25/2005,--,,188642,,--,,2920,,3177,,0.00,,2743,,
02/26/2005,--,,187697,,--,,2940,,2473,,0.00,,2760,,
02/27/2005,--,,187274,,--,,2201,,1997,,0.00,,2021,,
02/28/2005,--,,188397,,--,,1067,,1608,,0.28,,883,,
03/01/2005,--,,189529,,--,,1020,,1598,,0.00,,840,,
03/02/2005,--,,190110,,--,,1024,,1324,,0.02,,844,,
03/03/2005,--,,190110,,--,,1181,,1182,,0.04,,1001,,
03/04/2005,--,,190263,,--,,1045,,1088,,0.30,,864,,
03/05/2005,--,,190508,,--,,1129,,1189,,0.55,,949,,
03/06/2005,--,,190508,,--,,1044,,1053,,0.00,,863,,
03/07/2005,--,,191120,,--,,540,,860,,0.00,,511,,
03/08/2005,--,,191707,,--,,494,,803,,0.00,,465,,
03/09/2005,--,,192171,,--,,496,,743,,0.00,,467,,
03/10/2005,--,,192573,,--,,496,,712,,0.00,,468,,
03/11/2005,--,,192882,,--,,505,,674,,0.00,,469,,
03/12/2005,--,,193191,,--,,510,,687,,0.00,,469,,
03/13/2005,--,,193315,,--,,476,,552,,0.00,,436,,
03/14/2005,--,,193500,,--,,455,,553,,0.03,,414,,
03/15/2005,--,,193685,,--,,453,,558,,0.00,,414,,
03/16/2005,--,,--,,--,,--,,--,,--,,--,,
03/17/2005,--,,193840,,--,,441,,475,,0.00,,402,,
03/18/2005,--,,191398,,--,,1856,,634,,0.00,,1807,,
03/19/2005,--,,189131,,--,,1809,,619,,0.37,,1759,,
03/20/2005,--,,187909,,--,,1154,,542,,0.02,,1103,,
03/21/2005,--,,187909,,--,,434,,445,,0.00,,385,,
03/22/2005,--,,187909,,--,,411,,415,,0.06,,366,,
03/23/2005,--,,190508,,--,,204,,1329,,1.45,,15,,
03/24/2005,--,,192511,,--,,187,,1197,,0.04,,0,,
03/25/2005,--,,192325,,--,,819,,733,,0.00,,633,,
03/26/2005,--,,192511,,--,,519,,630,,0.00,,334,,
03/27/2005,--,,--,,--,,--,,--,,--,,--,,
03/28/2005,--,,192944,,--,,428,,524,,0.20,,394,,
03/29/2005,--,,193067,,--,,423,,501,,0.00,,395,,
03/30/2005,--,,193160,,--,,423,,487,,0.00,,395,,
03/31/2005,--,,193222,,--,,421,,474,,0.00,,395,,
04/01/2005,--,,193160,,--,,435,,426,,0.00,,395,,
04/02/2005,--,,193129,,--,,421,,429,,0.00,,375,,
04/03/2005,--,,193098,,--,,382,,382,,0.00,,334,,
04/04/2005,--,,193067,,--,,375,,367,,0.05,,320,,
04/05/2005,--,,--,,--,,--,,--,,--,,--,,
04/06/2005,--,,193036,,--,,333,,337,,0.00,,282,,
04/07/2005,--,,192975,,--,,343,,335,,0.00,,282,,
04/08/2005,--,,192820,,--,,353,,282,,0.03,,282,,
04/09/2005,--,,192758,,--,,342,,298,,0.18,,282,,
04/10/2005,--,,192696,,--,,317,,305,,0.00,,258,,
04/11/2005,--,,192820,,--,,223,,308,,0.00,,36,,
04/12/2005,--,,193067,,--,,157,,300,,0.00,,0,,
04/13/2005,--,,193315,,--,,149,,294,,0.00,,0,,
04/14/2005,--,,193562,,--,,122,,271,,0.00,,0,,
04/15/2005,--,,193902,,--,,100,,295,,0.00,,0,,
04/16/2005,--,,194180,,--,,93,,255,,0.00,,0,,
04/17/2005,--,,194461,,--,,93,,257,,0.00,,0,,
04/18/2005,--,,194711,,--,,94,,239,,0.00,,0,,
04/19/2005,--,,194929,,--,,94,,224,,0.00,,0,,
04/20/2005,--,,195117,,--,,95,,214,,0.00,,0,,
04/21/2005,--,,195366,,--,,100,,247,,0.00,,0,,
04/22/2005,--,,195554,,--,,102,,218,,0.00,,0,,
04/23/2005,--,,195585,,--,,170,,201,,0.00,,0,,
04/24/2005,--,,195585,,--,,184,,197,,0.00,,0,,
04/25/2005,--,,195616,,--,,185,,226,,0.00,,0,,
04/26/2005,--,,195616,,--,,183,,210,,0.00,,0,,
04/27/2005,--,,195647,,--,,185,,216,,0.00,,0,,
04/28/2005,--,,--,,--,,--,,--,,--,,--,,
04/29/2005,--,,195928,,--,,207,,266,,0.01,,0,,
04/30/2005,--,,195960,,--,,200,,238,,0.00,,0,,
05/01/2005,--,,195928,,--,,199,,203,,0.00,,0,,
05/02/2005,--,,195928,,--,,189,,211,,0.00,,0,,
05/03/2005,--,,195835,,--,,199,,177,,0.00,,0,,
05/04/2005,--,,195772,,--,,200,,191,,0.00,,0,,
05/05/2005,--,,195679,,--,,201,,173,,0.00,,0,,
05/06/2005,--,,195803,,--,,197,,212,,0.40,,0,,
05/07/2005,--,,195928,,--,,197,,285,,0.00,,0,,
05/08/2005,--,,195960,,--,,194,,233,,0.00,,0,,
05/09/2005,--,,195991,,--,,192,,221,,0.06,,0,,
05/10/2005,--,,195866,,--,,190,,142,,0.05,,0,,
05/11/2005,--,,195803,,--,,191,,187,,0.00,,0,,
05/12/2005,--,,195679,,--,,191,,155,,0.00,,0,,
05/13/2005,--,,--,,--,,--,,--,,--,,--,,
05/14/2005,--,,--,,--,,--,,--,,--,,--,,
05/15/2005,--,,195304,,--,,208,,157,,0.00,,0,,
05/16/2005,--,,195148,,--,,212,,161,,0.00,,0,,
05/17/2005,--,,195023,,--,,169,,134,,0.00,,0,,
05/18/2005,--,,194961,,--,,139,,133,,0.00,,0,,
05/19/2005,--,,194929,,--,,108,,120,,0.00,,0,,
05/20/2005,--,,194961,,--,,89,,137,,0.00,,0,,
05/21/2005,--,,--,,--,,--,,--,,--,,--,,
05/22/2005,--,,--,,--,,--,,--,,--,,--,,
05/23/2005,--,,--,,--,,--,,--,,--,,--,,
05/24/2005,--,,195085,,--,,75,,107,,0.00,,0,,
05/25/2005,--,,195117,,--,,75,,117,,0.00,,0,,
05/26/2005,--,,195117,,--,,70,,96,,0.00,,0,,
05/27/2005,--,,195148,,--,,67,,109,,0.00,,0,,
05/28/2005,--,,195148,,--,,67,,93,,0.00,,0,,
05/29/2005,--,,195148,,--,,60,,83,,0.00,,0,,
05/30/2005,--,,195179,,--,,51,,95,,0.00,,0,,
05/31/2005,--,,195179,,--,,58,,87,,0.00,,0,,
06/01/2005,--,,195148,,--,,56,,69,,0.00,,0,,
06/02/2005,--,,195148,,--,,58,,84,,0.00,,0,,
06/03/2005,--,,195148,,--,,65,,87,,0.00,,0,,
06/04/2005,--,,195117,,--,,63,,79,,0.00,,0,,
06/05/2005,--,,195117,,--,,43,,65,,0.00,,0,,
06/06/2005,--,,195117,,--,,46,,74,,0.00,,0,,
06/07/2005,--,,195085,,--,,51,,71,,0.00,,0,,
06/08/2005,--,,195023,,--,,62,,63,,0.00,,0,,
06/09/2005,--,,194961,,--,,69,,72,,0.00,,0,,
06/10/2005,--,,194898,,--,,68,,66,,0.00,,0,,
06/11/2005,--,,194867,,--,,68,,79,,0.00,,0,,
06/12/2005,--,,194804,,--,,72,,64,,0.00,,0,,
06/13/2005,--,,194773,,--,,68,,82,,0.00,,0,,
06/14/2005,--,,194711,,--,,68,,72,,0.00,,0,,
06/15/2005,--,,194648,,--,,69,,69,,0.00,,0,,
06/16/2005,--,,194617,,--,,64,,76,,0.00,,0,,
06/17/2005,--,,194555,,--,,61,,51,,0.04,,0,,
06/18/2005,--,,194492,,--,,51,,50,,0.00,,0,,
06/19/2005,--,,194430,,--,,52,,52,,0.00,,0,,
06/20/2005,--,,194367,,--,,62,,62,,0.00,,0,,
06/21/2005,--,,194274,,--,,64,,49,,0.00,,0,,
06/22/2005,--,,194211,,--,,70,,67,,0.00,,0,,
06/23/2005,--,,194087,,--,,71,,40,,0.00,,0,,
06/24/2005,--,,193995,,--,,75,,57,,0.00,,0,,
06/25/2005,--,,193871,,--,,74,,44,,0.00,,0,,
06/26/2005,--,,193747,,--,,74,,42,,0.00,,0,,
06/27/2005,--,,193624,,--,,74,,41,,0.00,,0,,
06/28/2005,--,,193500,,--,,73,,40,,0.00,,0,,
06/29/2005,--,,193376,,--,,77,,42,,0.00,,0,,
06/30/2005,--,,193253,,--,,76,,46,,0.00,,0,,
07/01/2005,--,,193098,,--,,77,,30,,0.00,,0,,
07/02/2005,--,,193005,,--,,77,,64,,0.00,,0,,
07/03/2005,--,,192882,,--,,71,,44,,0.00,,0,,
07/04/2005,--,,192758,,--,,60,,27,,0.00,,0,,
07/05/2005,--,,192665,,--,,48,,36,,0.00,,0,,
07/06/2005,--,,192573,,--,,48,,26,,0.00,,0,,
07/07/2005,--,,192418,,--,,63,,14,,0.00,,0,,
07/08/2005,--,,192294,,--,,63,,27,,0.00,,0,,
07/09/2005,--,,192171,,--,,63,,32,,0.00,,0,,
07/10/2005,--,,192016,,--,,65,,19,,0.00,,0,,
07/11/2005,--,,191862,,--,,65,,16,,0.00,,0,,
07/12/2005,--,,191738,,--,,63,,34,,0.00,,0,,
07/13/2005,--,,191614,,--,,63,,37,,0.00,,0,,
07/14/2005,--,,191491,,--,,57,,33,,0.00,,0,,
07/15/2005,--,,191367,,--,,56,,29,,0.00,,0,,
07/16/2005,--,,191213,,--,,57,,14,,0.00,,0,,
07/17/2005,--,,191089,,--,,57,,30,,0.00,,0,,
07/18/2005,--,,190936,,--,,57,,16,,0.00,,0,,
07/19/2005,--,,190814,,--,,53,,24,,0.00,,0,,
07/20/2005,--,,190661,,--,,62,,15,,0.00,,0,,
07/21/2005,--,,190508,,--,,68,,23,,0.00,,0,,
07/22/2005,--,,190324,,--,,65,,7,,0.00,,0,,
07/23/2005,--,,190171,,--,,70,,28,,0.00,,0,,
07/24/2005,--,,190018,,--,,70,,27,,0.00,,0,,
07/25/2005,--,,189865,,--,,66,,25,,0.00,,0,,
07/26/2005,--,,189682,,--,,61,,6,,0.00,,0,,
07/27/2005,--,,189560,,--,,61,,31,,0.00,,0,,
07/28/2005,--,,189376,,--,,58,,-0,,0.00,,0,,
07/29/2005,--,,189223,,--,,57,,16,,0.00,,0,,
07/30/2005,--,,189039,,--,,57,,-2,,0.00,,0,,
07/31/2005,--,,188887,,--,,59,,17,,0.00,,0,,
08/01/2005,--,,188734,,--,,54,,10,,0.00,,0,,
08/02/2005,--,,188550,,--,,61,,0,,0.00,,0,,
08/03/2005,--,,188397,,--,,63,,18,,0.00,,0,,
08/04/2005,--,,188244,,--,,60,,15,,0.00,,0,,
08/05/2005,--,,188091,,--,,62,,18,,0.00,,0,,
08/06/2005,--,,187909,,--,,63,,3,,0.00,,0,,
08/07/2005,--,,187758,,--,,65,,23,,0.00,,0,,
08/08/2005,--,,187577,,--,,58,,1,,0.00,,0,,
08/09/2005,--,,--,,--,,--,,--,,--,,--,,
08/10/2005,--,,187274,,--,,64,,21,,0.00,,0,,
08/11/2005,--,,187093,,--,,67,,9,,0.00,,0,,
08/12/2005,--,,186911,,--,,70,,11,,0.00,,0,,
08/13/2005,--,,--,,--,,--,,--,,--,,--,,
08/14/2005,--,,--,,--,,--,,--,,--,,--,,
08/15/2005,--,,186458,,--,,55,,16,,0.00,,0,,
08/16/2005,--,,186307,,--,,52,,-7,,0.00,,0,,
08/17/2005,--,,186186,,--,,56,,20,,0.00,,0,,
08/18/2005,--,,186035,,--,,55,,4,,0.00,,0,,
08/19/2005,--,,185914,,--,,60,,26,,0.00,,0,,
08/20/2005,--,,185763,,--,,59,,7,,0.00,,0,,
08/21/2005,--,,185642,,--,,58,,25,,0.00,,0,,
08/22/2005,--,,185521,,--,,56,,20,,0.00,,0,,
08/23/2005,--,,185370,,--,,59,,8,,0.00,,0,,
08/24/2005,--,,185249,,--,,60,,26,,0.00,,0,,
08/25/2005,--,,185067,,--,,60,,-4,,0.00,,0,,
08/26/2005,--,,184947,,--,,59,,28,,0.00,,0,,
08/27/2005,--,,184798,,--,,60,,21,,0.00,,0,,
08/28/2005,--,,184649,,--,,60,,16,,0.00,,0,,
08/29/2005,--,,184530,,--,,59,,31,,0.00,,0,,
08/30/2005,--,,184351,,--,,59,,-0,,0.00,,0,,
08/31/2005,--,,184202,,--,,61,,14,,0.00,,0,,
09/01/2005,--,,184083,,--,,60,,23,,0.00,,0,,
09/02/2005,--,,183933,,--,,59,,7,,0.00,,0,,
09/03/2005,--,,183755,,--,,60,,-5,,0.00,,0,,
09/04/2005,--,,183605,,--,,59,,6,,0.00,,0,,
09/05/2005,--,,183456,,--,,46,,-4,,0.00,,0,,
09/06/2005,--,,--,,--,,--,,--,,--,,--,,
09/07/2005,--,,183188,,--,,51,,1,,0.00,,0,,
09/08/2005,--,,183039,,--,,53,,2,,0.00,,0,,
09/09/2005,--,,182920,,--,,56,,15,,0.00,,0,,
09/10/2005,--,,182741,,--,,52,,-16,,0.00,,0,,
09/11/2005,--,,182592,,--,,54,,-2,,0.00,,0,,
09/12/2005,--,,182442,,--,,50,,-4,,0.00,,0,,
09/13/2005,--,,182323,,--,,52,,15,,0.00,,0,,
09/14/2005,--,,182144,,--,,55,,-17,,0.00,,0,,
09/15/2005,--,,181966,,--,,58,,-14,,0.00,,0,,
09/16/2005,--,,181819,,--,,58,,0,,0.00,,0,,
09/17/2005,--,,181672,,--,,56,,2,,0.00,,0,,
09/18/2005,--,,181525,,--,,57,,4,,0.00,,0,,
09/19/2005,--,,181408,,--,,52,,11,,0.00,,0,,
09/20/2005,--,,--,,--,,--,,--,,--,,--,,
09/21/2005,--,,181143,,--,,43,,19,,0.00,,0,,
09/22/2005,--,,181026,,--,,52,,13,,0.00,,0,,
09/23/2005,--,,180879,,--,,49,,-0,,0.00,,0,,
09/24/2005,--,,180702,,--,,51,,-19,,0.00,,0,,
09/25/2005,--,,180585,,--,,51,,7,,0.00,,0,,
09/26/2005,--,,180467,,--,,42,,-9,,0.03,,0,,
09/27/2005,--,,180379,,--,,40,,6,,0.00,,0,,
09/28/2005,--,,180262,,--,,40,,-0,,0.00,,0,,
09/29/2005,--,,180173,,--,,43,,20,,0.00,,0,,
09/30/2005,--,,179997,,--,,61,,0,,0.00,,0,,
10/01/2005,--,,179850,,--,,68,,21,,0.00,,0,,
10/02/2005,--,,179674,,--,,62,,-5,,0.00,,0,,
10/03/2005,--,,179556,,--,,40,,1,,0.00,,0,,
10/04/2005,--,,179380,,--,,48,,-20,,0.00,,0,,
10/05/2005,--,,179233,,--,,49,,-6,,0.00,,0,,
10/06/2005,--,,179115,,--,,49,,10,,0.00,,0,,
10/07/2005,--,,178941,,--,,54,,-10,,0.00,,0,,
10/08/2005,--,,178796,,--,,52,,-1,,0.00,,0,,
10/09/2005,--,,178623,,--,,50,,-18,,0.00,,0,,
10/10/2005,--,,178507,,--,,47,,4,,0.00,,0,,
10/11/2005,--,,178391,,--,,52,,11,,0.00,,0,,
10/12/2005,--,,178217,,--,,53,,-17,,0.00,,0,,
10/13/2005,--,,178101,,--,,55,,11,,0.00,,0,,
10/14/2005,--,,177957,,--,,53,,3,,0.00,,0,,
10/15/2005,--,,177812,,--,,55,,5,,0.00,,0,,
10/16/2005,--,,177638,,--,,53,,-21,,0.00,,0,,
10/17/2005,--,,177551,,--,,48,,18,,0.00,,0,,
10/18/2005,--,,177551,,--,,31,,-14,,0.40,,0,,
10/19/2005,--,,177464,,--,,28,,-11,,0.00,,0,,
10/20/2005,--,,177377,,--,,28,,-5,,0.00,,0,,
10/21/2005,--,,177319,,--,,28,,9,,0.00,,0,,
10/22/2005,--,,177233,,--,,26,,-6,,0.00,,0,,
10/23/2005,--,,177175,,--,,26,,4,,0.00,,0,,
10/24/2005,--,,177117,,--,,25,,4,,0.00,,0,,
10/25/2005,--,,177030,,--,,25,,-14,,0.00,,0,,
10/26/2005,--,,176972,,--,,26,,2,,0.00,,0,,
10/27/2005,--,,176885,,--,,26,,-11,,0.03,,0,,
10/28/2005,--,,--,,--,,--,,--,,--,,--,,
10/29/2005,--,,--,,--,,--,,--,,--,,--,,
10/30/2005,--,,--,,--,,--,,--,,--,,--,,
10/31/2005,--,,--,,--,,--,,--,,--,,--,,
11/01/2005,--,,176509,,--,,33,,4,,0.00,,0,,
11/02/2005,--,,176364,,--,,45,,-14,,0.00,,0,,
11/03/2005,--,,176248,,--,,48,,-3,,0.00,,0,,
11/04/2005,--,,176133,,--,,48,,1,,0.00,,0,,
11/05/2005,--,,175990,,--,,47,,-15,,0.00,,0,,
11/06/2005,--,,175905,,--,,42,,11,,0.00,,0,,
11/07/2005,--,,175819,,--,,32,,-3,,0.00,,0,,
11/08/2005,--,,175790,,--,,26,,18,,0.00,,0,,
11/09/2005,--,,175876,,--,,26,,-65,,1.16,,0,,
11/10/2005,--,,175990,,--,,20,,35,,0.41,,0,,
11/11/2005,--,,175962,,--,,21,,6,,0.07,,0,,
11/12/2005,--,,175905,,--,,17,,-2,,0.00,,0,,
11/13/2005,--,,175848,,--,,17,,-4,,0.00,,0,,
11/14/2005,--,,175819,,--,,17,,12,,0.00,,0,,
11/15/2005,--,,175790,,--,,16,,11,,0.00,,0,,
11/16/2005,--,,175762,,--,,17,,14,,0.00,,0,,
11/17/2005,--,,175705,,--,,18,,1,,0.00,,0,,
11/18/2005,--,,175619,,--,,35,,3,,0.00,,0,,
11/19/2005,--,,175505,,--,,44,,-2,,0.00,,0,,
11/20/2005,--,,175448,,--,,37,,20,,0.00,,0,,
11/21/2005,--,,175362,,--,,37,,-15,,0.00,,0,,
11/22/2005,--,,175277,,--,,52,,5,,0.00,,0,,
11/23/2005,--,,175134,,--,,54,,-17,,0.00,,0,,
11/24/2005,--,,175020,,--,,49,,-8,,0.00,,0,,
11/25/2005,--,,174991,,--,,34,,19,,0.00,,0,,
11/26/2005,--,,174877,,--,,34,,-24,,0.00,,0,,
11/27/2005,--,,174820,,--,,34,,11,,0.00,,0,,
11/28/2005,--,,174706,,--,,31,,-25,,0.00,,0,,
11/29/2005,--,,174620,,--,,20,,-20,,0.00,,0,,
11/30/2005,--,,174620,,--,,20,,16,,0.00,,0,,
12/01/2005,--,,174592,,--,,20,,3,,0.00,,0,,
12/02/2005,--,,174649,,--,,24,,8,,0.33,,0,,
12/03/2005,--,,174592,,--,,31,,-19,,0.20,,0,,
12/04/2005,--,,174506,,--,,30,,-6,,0.00,,0,,
12/05/2005,--,,174421,,--,,44,,5,,0.00,,0,,
12/06/2005,--,,174306,,--,,43,,-9,,0.00,,0,,
12/07/2005,--,,174249,,--,,38,,8,,0.00,,0,,
12/08/2005,--,,174164,,--,,37,,-7,,0.00,,0,,
12/09/2005,--,,174078,,--,,37,,-8,,0.00,,0,,
12/10/2005,--,,174021,,--,,37,,8,,0.00,,0,,
12/11/2005,--,,173964,,--,,37,,13,,0.00,,0,,
12/12/2005,--,,173850,,--,,37,,-15,,0.00,,0,,
12/13/2005,--,,173793,,--,,37,,7,,0.00,,0,,
12/14/2005,--,,173736,,--,,37,,5,,0.00,,0,,
12/15/2005,--,,173650,,--,,37,,-9,,0.00,,0,,
12/16/2005,--,,173564,,--,,38,,-10,,0.00,,0,,
12/17/2005,--,,173536,,--,,37,,21,,0.00,,0,,
12/18/2005,--,,173507,,--,,37,,18,,0.00,,0,,
12/19/2005,--,,173422,,--,,37,,-12,,0.00,,0,,
12/20/2005,--,,173365,,--,,37,,4,,0.00,,0,,
12/21/2005,--,,173224,,--,,37,,-37,,0.00,,0,,
12/22/2005,--,,173196,,--,,37,,20,,0.00,,0,,
12/23/2005,--,,173167,,--,,37,,16,,0.02,,0,,
12/24/2005,--,,173111,,--,,37,,5,,0.00,,0,,
12/25/2005,--,,173083,,--,,36,,30,,0.00,,0,,
12/26/2005,--,,--,,--,,--,,--,,--,,--,,
12/27/2005,--,,172971,,--,,25,,0,,0.00,,0,,
12/28/2005,--,,172915,,--,,24,,0,,0.00,,0,,
12/29/2005,--,,172858,,--,,24,,-3,,0.02,,0,,
12/30/2005,--,,172830,,--,,24,,3,,0.00,,0,,
12/31/2005,--,,172830,,--,,25,,24,,0.02,,0,,
01/01/2006,--,,--,,--,,--,,--,,--,,--,,
01/02/2006,--,,174620,,--,,18,,161,,5.85,,0,,
01/03/2006,--,,178014,,--,,18,,1564,,1.38,,0,,
01/04/2006,--,,178970,,--,,21,,505,,0.00,,0,,
01/05/2006,--,,179409,,--,,22,,246,,0.00,,0,,
01/06/2006,--,,179556,,--,,28,,106,,0.00,,0,,
01/07/2006,--,,179644,,--,,28,,79,,0.00,,0,,
01/08/2006,--,,179733,,--,,28,,79,,0.00,,0,,
01/09/2006,--,,179762,,--,,28,,50,,0.00,,0,,
01/10/2006,--,,179821,,--,,29,,64,,0.00,,0,,
01/11/2006,--,,179821,,--,,36,,41,,0.00,,0,,
01/12/2006,--,,179850,,--,,36,,54,,0.00,,0,,
01/13/2006,--,,179909,,--,,40,,76,,0.00,,0,,
01/14/2006,--,,179909,,--,,39,,32,,0.15,,0,,
01/15/2006,--,,179909,,--,,35,,29,,0.08,,0,,
01/16/2006,--,,179997,,--,,31,,81,,0.00,,0,,
01/17/2006,--,,180026,,--,,17,,39,,0.00,,0,,
01/18/2006,--,,180085,,--,,19,,45,,0.06,,0,,
01/19/2006,--,,180026,,--,,18,,-6,,0.01,,0,,
01/20/2006,--,,180085,,--,,19,,56,,0.00,,0,,
01/21/2006,--,,180115,,--,,17,,37,,0.00,,0,,
01/22/2006,--,,180115,,--,,17,,24,,0.00,,0,,
01/23/2006,--,,180115,,--,,17,,21,,0.00,,0,,
01/24/2006,--,,180115,,--,,19,,27,,0.00,,0,,
01/25/2006,--,,180115,,--,,18,,26,,0.00,,0,,
01/26/2006,--,,180144,,--,,19,,38,,0.00,,0,,
01/27/2006,--,,180085,,--,,36,,10,,0.00,,0,,
01/28/2006,--,,180056,,--,,36,,28,,0.00,,0,,
01/29/2006,--,,180026,,--,,40,,31,,0.00,,0,,
01/30/2006,--,,179997,,--,,49,,40,,0.00,,0,,
01/31/2006,--,,--,,--,,--,,--,,--,,--,,
02/01/2006,--,,179880,,--,,45,,38,,0.00,,0,,
02/02/2006,--,,179850,,--,,44,,39,,0.00,,0,,
02/03/2006,--,,179762,,--,,44,,9,,0.00,,0,,
02/04/2006,--,,179733,,--,,44,,35,,0.00,,0,,
02/05/2006,--,,179674,,--,,45,,22,,0.00,,0,,
02/06/2006,--,,179644,,--,,42,,38,,0.00,,0,,
02/07/2006,--,,179586,,--,,43,,25,,0.00,,0,,
02/08/2006,--,,179556,,--,,49,,44,,0.00,,0,,
02/09/2006,--,,179468,,--,,50,,11,,0.00,,0,,
02/10/2006,--,,179380,,--,,53,,17,,0.00,,0,,
02/11/2006,--,,179292,,--,,54,,18,,0.00,,0,,
02/12/2006,--,,179204,,--,,54,,19,,0.00,,0,,
02/13/2006,--,,179145,,--,,47,,31,,0.00,,0,,
02/14/2006,--,,179115,,--,,47,,39,,0.00,,0,,
02/15/2006,--,,179028,,--,,47,,9,,0.00,,0,,
02/16/2006,--,,178970,,--,,38,,17,,0.00,,0,,
02/17/2006,--,,178941,,--,,29,,22,,0.00,,0,,
02/18/2006,--,,178970,,--,,50,,30,,0.24,,0,,
02/19/2006,--,,178999,,--,,46,,24,,0.29,,0,,
02/20/2006,--,,178970,,--,,36,,28,,0.00,,0,,
02/21/2006,--,,178941,,--,,31,,21,,0.00,,0,,
02/22/2006,--,,178883,,--,,24,,5,,0.00,,0,,
02/23/2006,--,,178912,,--,,8,,33,,0.00,,0,,
02/24/2006,--,,178883,,--,,29,,25,,0.00,,0,,
02/25/2006,--,,178825,,--,,36,,18,,0.00,,0,,
02/26/2006,--,,178796,,--,,36,,36,,0.00,,0,,
02/27/2006,--,,178796,,--,,37,,53,,0.02,,0,,
02/28/2006,--,,--,,--,,--,,--,,--,,--,,
03/01/2006,--,,182800,,--,,90,,1291,,0.00,,0,,
03/02/2006,--,,183248,,--,,105,,344,,0.00,,0,,
03/03/2006,--,,183665,,--,,112,,235,,0.76,,0,,
03/04/2006,--,,184112,,--,,101,,330,,0.02,,0,,
03/05/2006,--,,184440,,--,,92,,266,,0.00,,0,,
03/06/2006,--,,184739,,--,,87,,235,,0.10,,0,,
03/07/2006,--,,185067,,--,,80,,216,,0.24,,0,,
03/08/2006,--,,185430,,--,,71,,266,,0.00,,0,,
03/09/2006,--,,185672,,--,,66,,205,,0.00,,0,,
03/10/2006,--,,185914,,--,,65,,172,,0.22,,0,,
03/11/2006,--,,186186,,--,,62,,172,,0.27,,0,,
03/12/2006,--,,186398,,--,,57,,145,,0.19,,0,,
03/13/2006,--,,186639,,--,,52,,160,,0.14,,0,,
