Date,RESELE , ,,STORAGE , ,,RESCHG , ,,TOCSTO , ,,ABVTOC , ,,OUTFLOW , ,,INFLOW , ,,FNF , ,,PPTINC , ,,PPTINC4 , ,,TEMPMN , ,,TEMPMX , ,,WINDLEN , ,,EVPPAN , ,,
 ,FEET, ,AF, ,AF, ,AF, ,AF, ,CFS, ,CFS, ,CFS, ,INCHES, ,INCHES, ,DEGF, ,DEGF, ,MILES, ,INCHES, ,
06/07/2003,2578.52,,299958,,--,,347600,,1162,,2849,,2849,,0.00,,64,,88,,129,,0.36,,
06/08/2003,2578.85,,302721,,2763,,347600,,1254,,2746,,2746,,0.00,,67,,91,,97,,0.39,,
06/09/2003,2579.05,,304402,,1681,,347600,,1456,,2451,,2451,,0.00,,69,,92,,109,,0.58,,
06/10/2003,2579.19,,305581,,1179,,347600,,1444,,2171,,2171,,0.00,,63,,83,,143,,0.52,,
06/11/2003,2579.32,,306680,,1099,,347600,,1416,,2032,,2032,,0.00,,58,,79,,148,,0.24,,
06/12/2003,2579.45,,307779,,1099,,347600,,1371,,2038,,2038,,0.00,,58,,82,,147,,0.44,,
06/13/2003,2579.57,,308797,,1018,,347600,,1231,,1857,,1857,,0.00,,58,,84,,141,,0.44,,
06/14/2003,2579.70,,309899,,1102,,347600,,1099,,1757,,1757,,0.00,,59,,88,,94,,0.40,,
06/15/2003,2579.80,,310751,,852,,347600,,1203,,1733,,1733,,0.00,,62,,87,,102,,0.39,,
06/16/2003,2579.89,,311516,,765,,347600,,1314,,1816,,1816,,0.00,,64,,93,,80,,0.45,,
06/17/2003,2579.97,,312199,,683,,347600,,1332,,1810,,1810,,0.00,,66,,98,,74,,0.52,,
06/18/2003,2580.01,,312541,,342,,347600,,1385,,1686,,1686,,0.00,,70,,91,,107,,0.50,,
06/19/2003,2580.03,,312712,,171,,347600,,1453,,1640,,1640,,0.00,,58,,83,,149,,0.39,,
06/20/2003,2580.01,,312541,,-171,,347600,,1425,,1440,,1440,,0.00,,57,,81,,--,,0.39,,
06/21/2003,2579.98,,312284,,-257,,347600,,1353,,1347,,1347,,0.00,,58,,80,,155,,0.48,,
06/22/2003,2579.92,,311772,,-512,,347600,,1403,,1261,,1261,,0.00,,55,,83,,117,,0.45,,
06/23/2003,2579.80,,310751,,-1021,,347600,,1450,,1012,,1012,,0.00,,58,,78,,117,,0.30,,
06/24/2003,2579.70,,309899,,-852,,347600,,1396,,1067,,1067,,0.00,,55,,82,,90,,0.39,,
06/25/2003,2579.58,,308882,,-1017,,347600,,1331,,934,,934,,0.00,,60,,92,,62,,0.45,,
06/26/2003,2579.47,,307948,,-934,,347600,,1269,,916,,916,,0.00,,61,,93,,66,,0.46,,
06/27/2003,2579.36,,307018,,-930,,347600,,1256,,866,,866,,0.00,,65,,99,,66,,0.31,,
06/28/2003,2579.24,,306003,,-1015,,347600,,1256,,895,,895,,0.00,,69,,98,,80,,0.59,,
