Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,EVAP , ,,RIVREL , ,,SPILL , ,,DISPWR , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,CFS, ,CFS, ,CFS, ,CFS, ,
06/07/2003,1900.82,,13779,,-73,,4034,,4004,,7,,2000,,1870,,80,,
06/08/2003,1900.84,,13793,,14,,3981,,3995,,7,,2000,,1870,,80,,
06/09/2003,1901.02,,13926,,133,,3776,,3849,,6,,2000,,1870,,80,,
06/10/2003,1901.03,,13933,,7,,3967,,3977,,6,,2000,,1870,,80,,
06/11/2003,1901.04,,13941,,8,,3961,,3972,,7,,2000,,1870,,80,,
06/12/2003,1901.00,,13911,,-30,,3986,,3977,,6,,2000,,1870,,80,,
06/13/2003,1900.92,,13852,,-59,,4001,,3976,,5,,2000,,1870,,80,,
06/14/2003,1900.84,,13793,,-59,,4015,,3990,,5,,2000,,1883,,67,,
06/15/2003,1900.86,,13808,,15,,3975,,3988,,5,,2000,,1950,,--,,
06/16/2003,1901.00,,13911,,103,,3916,,3974,,6,,2000,,1906,,44,,
06/17/2003,1901.06,,13956,,45,,3943,,3972,,6,,2000,,1950,,0,,
06/18/2003,1900.98,,13896,,-60,,4005,,3980,,5,,2000,,1950,,0,,
06/19/2003,1900.93,,13859,,-37,,3992,,3978,,5,,2000,,1910,,40,,
06/20/2003,1900.80,,13764,,-95,,4029,,3988,,7,,2000,,1870,,80,,
06/21/2003,1901.05,,13948,,184,,3894,,3993,,6,,2000,,1870,,80,,
06/22/2003,1900.61,,13624,,-324,,4129,,3972,,6,,2000,,1870,,80,,
06/23/2003,1900.57,,13595,,-29,,4034,,4025,,6,,2000,,1870,,80,,
06/24/2003,1900.91,,13845,,250,,3881,,4012,,5,,2000,,1870,,80,,
06/25/2003,1900.80,,13764,,-81,,3620,,3585,,6,,2000,,1870,,80,,
06/26/2003,1901.12,,14001,,237,,3098,,3223,,6,,2000,,1870,,80,,
06/27/2003,1901.40,,14210,,209,,3014,,3125,,6,,2000,,1870,,80,,
06/28/2003,1901.45,,14248,,38,,3082,,3108,,7,,2000,,1870,,80,,
06/29/2003,1901.42,,14225,,-23,,3034,,3030,,8,,2000,,1870,,80,,
06/30/2003,1901.47,,14263,,38,,3020,,3046,,7,,2000,,1870,,80,,
07/01/2003,1901.31,,14143,,-120,,3148,,3095,,7,,2000,,1870,,80,,
07/02/2003,1901.27,,14113,,-30,,3038,,3029,,6,,2000,,1857,,80,,
07/03/2003,1901.26,,14105,,-8,,3094,,3097,,7,,2000,,1850,,80,,
07/04/2003,1901.22,,14076,,-29,,3082,,3074,,7,,2000,,1850,,80,,
07/05/2003,1900.96,,13882,,-194,,3077,,2986,,7,,2000,,1850,,80,,
07/06/2003,1900.92,,13852,,-30,,3052,,3044,,7,,2000,,1850,,80,,
07/07/2003,1901.10,,13986,,134,,2893,,2968,,7,,2000,,1850,,80,,
07/08/2003,1901.11,,13993,,7,,3104,,3116,,8,,2000,,1850,,80,,
07/09/2003,1901.07,,13963,,-30,,3962,,3953,,6,,2000,,1850,,80,,
07/10/2003,1901.00,,13911,,-52,,4151,,4132,,7,,2000,,1850,,80,,
07/11/2003,1900.90,,13837,,-74,,3890,,3860,,7,,1650,,1500,,80,,
07/12/2003,1900.87,,13815,,--,,3988,,3984,,7,,1419,,1269,,80,,
07/13/2003,1900.88,,13823,,--,,3805,,3816,,7,,1269,,1119,,80,,
07/14/2003,1900.71,,13698,,-125,,3678,,3622,,7,,1119,,969,,80,,
07/15/2003,1900.54,,13572,,--,,2045,,1988,,7,,988,,838,,80,,
07/16/2003,1901.14,,14016,,444,,1857,,2088,,7,,888,,738,,80,,
07/17/2003,1900.84,,13793,,-223,,2671,,2566,,7,,788,,638,,80,,
07/18/2003,1901.04,,13941,,148,,2537,,2619,,7,,703,,553,,80,,
07/19/2003,1901.48,,14270,,329,,2239,,2412,,7,,628,,478,,80,,
07/20/2003,1901.75,,14472,,202,,1529,,1639,,8,,628,,478,,80,,
07/21/2003,1901.44,,14240,,-232,,2424,,2313,,6,,519,,369,,80,,
07/22/2003,1901.27,,14113,,-127,,2287,,2230,,7,,469,,319,,80,,
07/23/2003,1900.55,,13580,,-533,,1980,,1719,,8,,450,,300,,80,,
07/24/2003,1901.46,,14255,,--,,2009,,2357,,8,,450,,300,,80,,
07/25/2003,1901.65,,14397,,142,,2280,,2357,,5,,450,,281,,80,,
07/26/2003,1901.39,,14203,,-194,,2239,,2149,,8,,450,,270,,80,,
07/27/2003,1901.18,,14046,,-157,,2564,,2493,,8,,450,,270,,80,,
07/28/2003,1900.21,,13330,,-716,,1963,,1609,,7,,450,,270,,80,,
07/29/2003,1900.53,,13565,,235,,1915,,2040,,7,,450,,270,,80,,
07/30/2003,1900.40,,13469,,-96,,2371,,2330,,7,,450,,270,,80,,
07/31/2003,1901.09,,13978,,509,,1845,,2110,,8,,450,,270,,80,,
08/01/2003,1901.31,,14143,,165,,3200,,3292,,9,,450,,270,,80,,
08/02/2003,1901.38,,14195,,52,,3229,,3260,,5,,450,,270,,47,,
08/03/2003,1900.93,,13859,,-336,,2544,,2379,,4,,450,,270,,--,,
08/04/2003,1900.29,,13388,,-471,,3258,,3025,,4,,450,,270,,43,,
08/05/2003,1901.28,,14120,,732,,2956,,3329,,4,,450,,270,,80,,
08/06/2003,1900.67,,13668,,-452,,3110,,2886,,4,,450,,270,,80,,
08/07/2003,1900.66,,13661,,-7,,2899,,2900,,5,,450,,270,,80,,
08/08/2003,1900.53,,13565,,--,,3104,,3062,,6,,450,,270,,80,,
08/09/2003,1901.29,,14128,,563,,2762,,3051,,5,,450,,270,,80,,
08/10/2003,1900.92,,13852,,-276,,2926,,2793,,6,,450,,270,,80,,
08/11/2003,1901.27,,14113,,261,,2939,,3076,,5,,450,,270,,80,,
08/12/2003,1901.46,,14255,,142,,2365,,2443,,6,,450,,270,,80,,
08/13/2003,1901.14,,14016,,-239,,2465,,2350,,5,,450,,270,,80,,
08/14/2003,1900.96,,13882,,-134,,2688,,2626,,6,,450,,270,,80,,
08/15/2003,1901.45,,14248,,366,,2517,,2708,,6,,450,,270,,80,,
08/16/2003,1901.32,,14150,,-98,,2622,,2580,,7,,450,,270,,80,,
08/17/2003,1901.30,,14135,,-15,,1791,,1789,,6,,450,,270,,80,,
08/18/2003,1901.10,,13986,,-149,,2435,,2366,,6,,450,,270,,80,,
08/19/2003,1901.17,,14038,,52,,2843,,2876,,7,,450,,270,,80,,
08/20/2003,1901.18,,14046,,8,,2871,,2882,,7,,450,,270,,80,,
08/21/2003,1901.16,,14031,,-15,,3876,,3875,,7,,450,,270,,80,,
08/22/2003,1901.33,,14158,,127,,3869,,3938,,5,,450,,270,,80,,
08/23/2003,1901.14,,14016,,-142,,3648,,3580,,4,,450,,270,,80,,
08/24/2003,1901.39,,14203,,187,,3586,,3686,,6,,650,,470,,80,,
08/25/2003,1901.87,,14562,,359,,3535,,3722,,6,,1650,,1470,,80,,
08/26/2003,1900.61,,13624,,-938,,4373,,3906,,6,,1569,,1389,,80,,
08/27/2003,1900.79,,13756,,132,,3909,,3981,,5,,1500,,1320,,80,,
08/28/2003,1901.16,,14031,,275,,3970,,4115,,6,,1469,,1289,,80,,
08/29/2003,1900.72,,13705,,-326,,4222,,4064,,6,,1450,,1270,,80,,
08/30/2003,1900.78,,13749,,44,,4050,,4077,,5,,1419,,1239,,80,,
08/31/2003,1900.97,,13889,,140,,3979,,4055,,5,,1400,,1220,,80,,
09/01/2003,1901.34,,14165,,276,,3895,,4039,,5,,1369,,1189,,80,,
09/02/2003,1900.62,,13631,,-534,,4051,,3787,,5,,1350,,1170,,80,,
09/03/2003,1900.96,,13882,,251,,3616,,3748,,5,,1319,,1139,,80,,
09/04/2003,1901.27,,14113,,231,,3330,,3448,,2,,1300,,1124,,76,,
09/05/2003,1900.95,,13874,,-239,,3391,,3274,,3,,1317,,1169,,48,,
09/06/2003,1901.12,,14001,,127,,3388,,3458,,6,,1250,,1070,,80,,
09/07/2003,1901.44,,14240,,239,,3333,,3459,,6,,1219,,1039,,80,,
09/08/2003,1901.24,,14091,,-149,,3561,,3489,,3,,1380,,1200,,80,,
09/09/2003,1900.81,,13771,,-320,,3371,,3213,,3,,1169,,989,,80,,
09/10/2003,1901.53,,14307,,536,,3263,,3535,,2,,1150,,970,,80,,
09/11/2003,1901.50,,14285,,-22,,3237,,3229,,3,,1119,,949,,80,,
09/12/2003,1901.47,,14263,,-22,,3275,,3269,,5,,1100,,930,,80,,
09/13/2003,1901.40,,14210,,-53,,3169,,3147,,5,,1059,,889,,80,,
09/14/2003,1901.09,,13978,,-232,,3167,,3056,,6,,1050,,880,,80,,
09/15/2003,1900.56,,13587,,-391,,3810,,3618,,5,,1019,,849,,80,,
09/16/2003,1900.84,,13793,,206,,3426,,3535,,5,,658,,488,,80,,
09/17/2003,1900.88,,13823,,30,,2986,,3005,,4,,450,,280,,80,,
09/18/2003,1900.78,,13749,,-74,,3023,,2990,,4,,450,,280,,80,,
09/19/2003,1901.34,,14165,,416,,3248,,3462,,4,,450,,280,,80,,
09/20/2003,1901.72,,14450,,285,,2954,,3102,,4,,450,,280,,80,,
09/21/2003,1901.89,,14577,,127,,2956,,3025,,5,,450,,280,,80,,
09/22/2003,1901.29,,14128,,-449,,3180,,2959,,5,,450,,280,,80,,
09/23/2003,1901.47,,14263,,135,,2919,,2991,,4,,450,,280,,80,,
09/24/2003,1901.58,,14345,,82,,3071,,3116,,4,,450,,280,,80,,
09/25/2003,1901.72,,14450,,105,,3195,,3252,,4,,450,,280,,80,,
09/26/2003,1901.39,,14203,,-247,,3374,,3253,,4,,450,,280,,80,,
09/27/2003,1901.02,,13926,,-277,,3285,,3149,,4,,450,,280,,80,,
09/28/2003,1901.13,,14008,,82,,2933,,2979,,5,,450,,280,,80,,
09/29/2003,1901.23,,14083,,75,,3195,,3236,,3,,450,,280,,80,,
09/30/2003,1900.99,,13904,,-179,,3276,,3190,,4,,450,,280,,80,,
10/01/2003,1900.95,,13874,,-30,,3295,,3284,,4,,450,,280,,80,,
10/02/2003,1901.46,,14255,,381,,3116,,3311,,3,,450,,280,,80,,
10/03/2003,1901.86,,14554,,299,,2891,,3045,,3,,450,,280,,80,,
10/04/2003,1901.11,,13993,,-561,,3161,,2880,,2,,450,,280,,80,,
10/05/2003,1901.42,,14225,,232,,3177,,3298,,4,,450,,280,,80,,
10/06/2003,1901.26,,14105,,-120,,3262,,3206,,4,,450,,280,,80,,
10/07/2003,1901.60,,14360,,255,,3013,,3146,,4,,450,,289,,80,,
10/08/2003,1901.14,,14016,,-344,,3133,,2964,,4,,450,,300,,80,,
10/09/2003,1901.16,,14031,,15,,3106,,3117,,3,,450,,300,,80,,
10/10/2003,1901.24,,14091,,60,,3069,,3103,,4,,450,,300,,80,,
10/11/2003,1901.46,,14255,,164,,3257,,3342,,2,,450,,300,,80,,
10/12/2003,1901.31,,14143,,-112,,2960,,2906,,2,,450,,300,,80,,
10/13/2003,1901.50,,14285,,142,,3217,,3292,,3,,450,,300,,80,,
10/14/2003,1901.48,,14270,,-15,,3218,,3212,,2,,450,,300,,80,,
10/15/2003,1901.48,,14270,,0,,2173,,2175,,2,,450,,300,,80,,
10/16/2003,1901.20,,14061,,-209,,1998,,1895,,2,,316,,166,,80,,
10/17/2003,1901.53,,14307,,246,,1940,,2066,,2,,300,,150,,80,,
10/18/2003,1901.44,,14240,,-67,,1981,,1949,,2,,300,,150,,80,,
10/19/2003,1901.45,,14248,,8,,3020,,3026,,2,,300,,150,,80,,
10/20/2003,1901.25,,14098,,-150,,3096,,3023,,3,,300,,150,,80,,
10/21/2003,1901.44,,14240,,142,,3084,,3158,,2,,300,,150,,80,,
10/22/2003,1901.31,,14143,,-97,,2917,,2870,,2,,300,,150,,80,,
10/23/2003,1901.05,,13948,,-195,,2610,,2514,,2,,300,,138,,80,,
10/24/2003,1901.21,,14068,,120,,3000,,3062,,2,,300,,130,,80,,
10/25/2003,1901.75,,14472,,404,,2926,,3132,,2,,300,,130,,80,,
10/26/2003,1900.99,,13904,,-568,,2906,,2623,,3,,312,,135,,83,,
10/27/2003,1900.89,,13830,,-74,,426,,391,,2,,300,,130,,80,,
10/28/2003,1901.24,,14091,,261,,418,,552,,2,,300,,130,,80,,
10/29/2003,1901.15,,14023,,-68,,418,,386,,2,,300,,130,,80,,
10/30/2003,1901.25,,14098,,75,,408,,449,,3,,290,,130,,80,,
10/31/2003,1901.01,,13918,,-180,,418,,330,,3,,300,,130,,80,,
11/01/2003,1900.84,,13793,,-125,,418,,355,,0,,300,,130,,80,,
11/02/2003,1901.12,,14001,,208,,418,,527,,4,,300,,130,,80,,
11/03/2003,1901.00,,13911,,-90,,418,,374,,1,,300,,130,,80,,
11/04/2003,1901.36,,14180,,269,,1472,,1609,,1,,300,,130,,80,,
11/05/2003,1901.61,,14367,,187,,1431,,1525,,0,,300,,130,,80,,
11/06/2003,1901.57,,14337,,-30,,1488,,1473,,0,,300,,130,,80,,
11/07/2003,1901.54,,14315,,-22,,1469,,1458,,0,,300,,130,,80,,
11/08/2003,1901.41,,14218,,-97,,1555,,1506,,0,,300,,130,,80,,
11/09/2003,1901.32,,14150,,-68,,1465,,1431,,0,,300,,130,,80,,
11/10/2003,1901.38,,14195,,45,,1460,,1483,,0,,300,,130,,80,,
11/11/2003,1901.47,,14263,,68,,1465,,1500,,1,,300,,130,,80,,
11/12/2003,1901.48,,14270,,7,,1528,,1533,,1,,300,,130,,80,,
11/13/2003,1901.58,,14345,,75,,1374,,1413,,1,,300,,130,,80,,
11/14/2003,1901.54,,14315,,-30,,1385,,1370,,0,,300,,130,,80,,
11/15/2003,1901.39,,14203,,-112,,1443,,1387,,0,,300,,130,,78,,
11/16/2003,1901.37,,14188,,-15,,422,,415,,1,,300,,130,,80,,
11/17/2003,1901.45,,14248,,60,,418,,449,,1,,300,,130,,80,,
11/18/2003,1901.49,,14278,,30,,418,,434,,1,,300,,130,,80,,
11/19/2003,1901.51,,14292,,14,,418,,425,,0,,300,,130,,80,,
11/20/2003,1901.53,,14307,,15,,418,,427,,1,,300,,130,,80,,
11/21/2003,1901.26,,14105,,-202,,417,,316,,1,,300,,130,,80,,
11/22/2003,1901.20,,14061,,-44,,1330,,1308,,0,,300,,130,,80,,
11/23/2003,1901.38,,14195,,134,,1552,,1620,,0,,300,,130,,80,,
11/24/2003,1900.76,,13734,,-461,,2209,,1979,,2,,300,,130,,80,,
11/25/2003,1901.00,,13911,,177,,1262,,1352,,1,,300,,130,,80,,
11/26/2003,1901.36,,14180,,269,,1288,,1424,,0,,300,,130,,80,,
11/27/2003,1901.39,,14203,,23,,1185,,1198,,1,,300,,130,,80,,
11/28/2003,1901.38,,14195,,-8,,1142,,1138,,0,,300,,130,,80,,
11/29/2003,1901.39,,14203,,8,,1083,,1087,,0,,300,,130,,80,,
11/30/2003,1901.17,,14038,,-165,,924,,841,,0,,300,,130,,80,,
12/01/2003,1901.40,,14210,,172,,829,,916,,0,,300,,130,,80,,
12/02/2003,1901.28,,14120,,-90,,418,,373,,0,,300,,130,,80,,
12/03/2003,1901.20,,14061,,-59,,418,,388,,0,,300,,130,,80,,
12/04/2003,1901.36,,14180,,119,,859,,919,,0,,300,,130,,80,,
12/05/2003,1901.47,,14263,,83,,789,,831,,0,,300,,130,,80,,
12/06/2003,1901.39,,14203,,-60,,702,,672,,0,,300,,130,,80,,
12/07/2003,1901.07,,13963,,-240,,418,,298,,1,,300,,130,,80,,
12/08/2003,1900.57,,13595,,-368,,682,,497,,1,,300,,130,,80,,
12/09/2003,1901.41,,14218,,623,,850,,1164,,0,,300,,130,,80,,
12/10/2003,1901.25,,14098,,-120,,535,,475,,0,,300,,130,,80,,
12/11/2003,1900.60,,13617,,-481,,803,,560,,0,,299,,121,,80,,
12/12/2003,1901.30,,14135,,518,,851,,1113,,1,,300,,120,,80,,
12/13/2003,1901.45,,14248,,113,,777,,834,,0,,300,,130,,80,,
12/14/2003,1901.54,,14315,,67,,418,,452,,0,,300,,130,,80,,
12/15/2003,1901.33,,14158,,-157,,418,,340,,1,,300,,120,,80,,
12/16/2003,1901.29,,14128,,--,,418,,404,,1,,300,,120,,80,,
12/17/2003,1901.16,,14031,,-97,,819,,770,,0,,300,,120,,80,,
12/18/2003,1900.94,,13867,,-164,,916,,833,,0,,300,,120,,80,,
12/19/2003,1901.25,,14098,,231,,980,,1096,,0,,300,,130,,80,,
12/20/2003,1901.10,,13986,,-112,,930,,874,,0,,300,,130,,80,,
12/21/2003,1900.96,,13882,,-104,,300,,249,,1,,300,,130,,80,,
12/22/2003,1901.01,,13918,,36,,846,,864,,0,,300,,130,,80,,
12/23/2003,1901.06,,13956,,38,,418,,437,,0,,300,,130,,80,,
12/24/2003,1901.22,,14076,,120,,418,,478,,0,,300,,130,,80,,
12/25/2003,1901.18,,14046,,-30,,418,,403,,0,,300,,120,,80,,
12/26/2003,1901.04,,13941,,-105,,418,,365,,0,,300,,130,,80,,
12/27/2003,1900.92,,13852,,-89,,418,,373,,0,,300,,130,,80,,
12/28/2003,1900.91,,13845,,-7,,418,,415,,1,,300,,120,,80,,
12/29/2003,1901.09,,13978,,133,,416,,484,,1,,298,,207,,1,,
12/30/2003,1900.71,,13698,,-280,,531,,390,,0,,300,,210,,0,,
12/31/2003,1900.86,,13808,,110,,1133,,1188,,0,,300,,210,,0,,
01/01/2004,1900.99,,13904,,96,,418,,466,,0,,300,,210,,0,,
01/02/2004,1901.04,,13941,,37,,418,,437,,0,,300,,210,,0,,
01/03/2004,1900.93,,13859,,-82,,418,,377,,0,,300,,210,,0,,
01/04/2004,1900.75,,13727,,-132,,698,,631,,0,,300,,210,,0,,
01/05/2004,1900.47,,13521,,-206,,1037,,933,,0,,300,,130,,0,,
01/06/2004,1901.07,,13963,,442,,587,,811,,1,,300,,130,,0,,
01/07/2004,1901.21,,14068,,105,,752,,805,,0,,300,,130,,0,,
01/08/2004,1901.60,,14360,,292,,756,,903,,0,,300,,130,,0,,
01/09/2004,1901.72,,14450,,90,,418,,463,,0,,300,,130,,0,,
01/10/2004,1901.73,,14457,,7,,418,,422,,0,,300,,130,,0,,
01/11/2004,1901.25,,14098,,-359,,418,,238,,1,,300,,130,,0,,
01/12/2004,1901.20,,14061,,-37,,418,,399,,0,,300,,130,,0,,
01/13/2004,1901.18,,14046,,-15,,418,,410,,0,,300,,130,,0,,
01/14/2004,1901.52,,14300,,254,,418,,546,,0,,300,,130,,0,,
01/15/2004,1901.71,,14442,,142,,418,,490,,0,,300,,110,,20,,
01/16/2004,1901.46,,14255,,-187,,418,,324,,0,,300,,130,,43,,
01/17/2004,1901.38,,14195,,-60,,418,,389,,1,,300,,130,,80,,
01/18/2004,1901.31,,14143,,-52,,418,,392,,0,,300,,130,,80,,
01/19/2004,1901.22,,14076,,-67,,418,,385,,1,,300,,130,,80,,
01/20/2004,1901.30,,14135,,59,,923,,954,,1,,300,,130,,80,,
01/21/2004,1901.32,,14150,,15,,1113,,1122,,1,,300,,130,,80,,
01/22/2004,1901.22,,14076,,-74,,1022,,986,,1,,300,,130,,80,,
01/23/2004,1901.21,,14068,,-8,,1137,,1133,,0,,300,,130,,80,,
01/24/2004,1901.20,,14061,,-7,,1111,,1108,,1,,300,,130,,80,,
01/25/2004,1901.15,,14023,,-38,,979,,961,,1,,300,,130,,80,,
01/26/2004,1901.18,,14046,,23,,1360,,1372,,0,,300,,130,,80,,
01/27/2004,1901.04,,13941,,-105,,1417,,1364,,0,,300,,130,,80,,
01/28/2004,1901.05,,13948,,7,,418,,422,,0,,300,,130,,80,,
01/29/2004,1901.16,,14031,,83,,711,,753,,0,,300,,130,,80,,
01/30/2004,1901.14,,14016,,-15,,418,,410,,0,,300,,130,,80,,
01/31/2004,1900.93,,13859,,-157,,671,,593,,1,,300,,130,,80,,
02/01/2004,1901.08,,13971,,112,,418,,475,,1,,300,,130,,80,,
02/02/2004,1901.41,,14218,,247,,418,,543,,0,,300,,130,,80,,
02/03/2004,1901.24,,14091,,-127,,418,,354,,0,,300,,130,,80,,
02/04/2004,1900.95,,13874,,-217,,418,,309,,0,,300,,130,,80,,
02/05/2004,1901.04,,13941,,67,,418,,453,,1,,300,,130,,80,,
02/06/2004,1900.94,,13867,,-74,,418,,382,,1,,300,,130,,80,,
02/07/2004,1900.86,,13808,,--,,418,,388,,0,,300,,130,,80,,
02/08/2004,1900.86,,13808,,0,,418,,419,,1,,300,,130,,80,,
02/09/2004,1901.20,,14061,,253,,418,,547,,1,,300,,130,,80,,
02/10/2004,1901.26,,14105,,44,,418,,441,,1,,300,,130,,80,,
02/11/2004,1900.94,,13867,,-238,,418,,299,,1,,300,,130,,80,,
02/12/2004,1900.85,,13801,,-66,,418,,386,,1,,300,,130,,80,,
02/13/2004,1900.94,,13867,,66,,418,,453,,2,,300,,130,,80,,
02/14/2004,1900.84,,13793,,-74,,418,,383,,2,,300,,130,,80,,
02/15/2004,1900.86,,13808,,15,,418,,427,,1,,300,,130,,80,,
02/16/2004,1901.60,,14360,,552,,418,,696,,0,,300,,130,,80,,
02/17/2004,1901.91,,14592,,--,,564,,681,,0,,446,,276,,80,,
02/18/2004,1901.31,,14143,,-449,,918,,692,,0,,800,,630,,80,,
02/19/2004,1901.30,,14135,,-8,,1018,,1016,,2,,900,,730,,80,,
02/20/2004,1901.06,,13956,,-179,,2068,,1980,,2,,1950,,1780,,80,,
02/21/2004,1900.80,,13764,,-192,,2118,,2022,,1,,2000,,1830,,80,,
02/22/2004,1900.84,,13793,,29,,2118,,2133,,0,,2000,,1830,,80,,
02/23/2004,1900.86,,13808,,15,,2118,,2126,,0,,2000,,1830,,80,,
02/24/2004,1900.87,,13815,,7,,2118,,2123,,1,,2000,,1830,,80,,
02/25/2004,1901.27,,14113,,298,,2118,,2268,,0,,2000,,1830,,80,,
02/26/2004,1901.61,,14367,,254,,2118,,2247,,1,,2000,,1830,,80,,
02/27/2004,1901.39,,14203,,-164,,2118,,2035,,0,,2000,,1830,,80,,
02/28/2004,1900.47,,13521,,-682,,2432,,2089,,1,,2000,,1830,,80,,
02/29/2004,1901.44,,14240,,719,,2787,,3150,,1,,2000,,1830,,80,,
03/01/2004,1901.49,,14278,,38,,2118,,2138,,1,,2000,,1830,,80,,
03/02/2004,1901.32,,14150,,-128,,2118,,2053,,0,,2000,,1830,,80,,
03/03/2004,1901.69,,14427,,277,,2123,,2265,,2,,2000,,1830,,80,,
03/04/2004,1901.38,,14195,,-232,,5101,,4985,,1,,2000,,1830,,80,,
03/05/2004,1901.14,,14016,,-179,,5285,,5197,,2,,2000,,1830,,80,,
03/06/2004,1901.53,,14307,,291,,5127,,5275,,1,,2000,,1866,,44,,
03/07/2004,1900.44,,13499,,-808,,5100,,4695,,2,,2000,,1910,,0,,
03/08/2004,1901.33,,14158,,659,,5376,,5710,,2,,2000,,1910,,0,,
03/09/2004,1901.31,,14143,,-15,,5329,,5323,,2,,2000,,1864,,46,,
03/10/2004,1900.99,,13904,,-239,,5361,,5243,,2,,2000,,1830,,80,,
03/11/2004,1901.55,,14322,,418,,5298,,5512,,3,,1975,,1805,,80,,
03/12/2004,1901.70,,14435,,113,,4669,,4728,,2,,1717,,1547,,80,,
03/13/2004,1901.32,,14150,,-285,,4670,,4528,,2,,1300,,1130,,80,,
03/14/2004,1901.56,,14330,,180,,4333,,4427,,3,,905,,735,,80,,
03/15/2004,1901.61,,14367,,37,,2561,,2582,,2,,521,,351,,80,,
03/16/2004,1900.53,,13565,,-802,,2418,,2017,,3,,318,,168,,80,,
03/17/2004,1900.74,,13720,,155,,1984,,2065,,3,,300,,150,,80,,
03/18/2004,1900.71,,13698,,-22,,2051,,2043,,3,,300,,150,,80,,
03/19/2004,1900.56,,13587,,-111,,2069,,2016,,3,,300,,150,,80,,
03/20/2004,1900.36,,13440,,-147,,2059,,1988,,3,,300,,150,,80,,
03/21/2004,1900.76,,13734,,294,,1885,,2037,,4,,300,,150,,80,,
03/22/2004,1900.81,,13771,,37,,2260,,2282,,3,,300,,150,,80,,
03/23/2004,1900.99,,13904,,133,,3682,,3752,,3,,300,,150,,80,,
03/24/2004,1901.25,,14098,,194,,3642,,3744,,4,,300,,155,,80,,
03/25/2004,1900.63,,13639,,-459,,3651,,3422,,2,,300,,160,,80,,
03/26/2004,1900.40,,13469,,-170,,3706,,3622,,2,,300,,160,,80,,
03/27/2004,1900.26,,13366,,-103,,3678,,3626,,0,,300,,190,,80,,
03/28/2004,1900.51,,13550,,184,,3685,,3779,,1,,300,,190,,80,,
03/29/2004,1901.34,,14165,,615,,3684,,3998,,4,,300,,190,,80,,
03/30/2004,1900.58,,13602,,-563,,2710,,2430,,4,,300,,190,,80,,
03/31/2004,1900.63,,13639,,37,,2338,,2360,,3,,300,,190,,80,,
04/01/2004,1901.39,,14203,,564,,2559,,2845,,2,,300,,190,,80,,
04/02/2004,1900.67,,13668,,--,,2243,,1976,,3,,300,,190,,80,,
04/03/2004,1900.32,,13411,,-257,,2128,,2002,,4,,300,,190,,80,,
04/04/2004,1900.58,,13602,,191,,1912,,2012,,4,,300,,190,,80,,
04/05/2004,1900.77,,13742,,140,,1934,,2009,,4,,300,,190,,80,,
04/06/2004,1900.78,,13749,,7,,1998,,2006,,4,,300,,190,,80,,
04/07/2004,1900.65,,13653,,-96,,2013,,1968,,3,,300,,190,,80,,
04/08/2004,1900.78,,13749,,96,,2015,,2066,,3,,300,,190,,80,,
04/09/2004,1900.79,,13756,,7,,2695,,2703,,4,,300,,190,,80,,
04/10/2004,1900.58,,13602,,-154,,2502,,2428,,4,,300,,190,,80,,
04/11/2004,1900.84,,13793,,191,,2775,,2876,,5,,300,,190,,80,,
04/12/2004,1900.82,,13779,,-14,,3277,,3274,,4,,300,,190,,80,,
04/13/2004,1900.48,,13528,,-251,,3788,,3666,,5,,300,,190,,80,,
04/14/2004,1900.72,,13705,,177,,2909,,3002,,4,,300,,190,,80,,
04/15/2004,1901.12,,14001,,296,,2377,,2527,,1,,300,,190,,80,,
04/16/2004,1901.14,,14016,,15,,2879,,2887,,0,,300,,190,,80,,
04/17/2004,1901.02,,13926,,-90,,2513,,2469,,1,,300,,190,,80,,
04/18/2004,1901.08,,13971,,45,,3070,,3093,,0,,300,,190,,80,,
04/19/2004,1901.30,,14135,,164,,2734,,2817,,0,,300,,190,,80,,
04/20/2004,1901.56,,14330,,195,,2322,,2420,,0,,300,,190,,80,,
04/21/2004,1901.65,,14397,,--,,2247,,2282,,1,,300,,190,,80,,
04/22/2004,1900.96,,13882,,-515,,2432,,2176,,4,,300,,193,,77,,
04/23/2004,1900.52,,13558,,-324,,3078,,2918,,3,,300,,270,,0,,
04/24/2004,1901.34,,14165,,607,,2149,,2458,,3,,300,,270,,0,,
04/25/2004,1901.05,,13948,,-217,,2645,,2540,,4,,300,,270,,0,,
04/26/2004,1900.79,,13756,,-192,,3077,,2985,,5,,300,,190,,0,,
04/27/2004,1900.68,,13675,,-81,,3082,,3045,,4,,300,,185,,5,,
04/28/2004,1900.55,,13580,,-95,,3263,,3222,,7,,300,,190,,35,,
04/29/2004,1901.05,,13948,,368,,2985,,3178,,7,,300,,190,,80,,
04/30/2004,1901.27,,14113,,165,,2746,,2834,,5,,300,,190,,80,,
05/01/2004,1901.73,,14457,,344,,2868,,3047,,6,,300,,190,,80,,
05/02/2004,1901.76,,14479,,22,,2612,,2629,,6,,300,,190,,80,,
05/03/2004,1901.63,,14382,,-97,,2708,,2664,,5,,300,,190,,80,,
05/04/2004,1901.63,,14382,,0,,2717,,2723,,6,,300,,190,,80,,
05/05/2004,1901.40,,14210,,-172,,2611,,2530,,6,,1110,,1000,,80,,
