04/14/2015,Reservoircapacityupdatedfrom77,600to97,800frominformationfoundathttp://ce-npdp-serv2.stanford.edu/DamDirectory/DamDetail.jsp?npdp_id=CA00263,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,PPTINC , ,,
 ,AF, ,AF, ,CFS, ,INCHES, ,
12/10/2004,41486,,-804,,472,,0.00,,
12/11/2004,40650,,-836,,473,,0.00,,
12/12/2004,39809,,-841,,475,,0.00,,
12/13/2004,38999,,-810,,477,,0.00,,
12/14/2004,38170,,-829,,477,,0.00,,
12/15/2004,37342,,-828,,473,,0.00,,
12/16/2004,36518,,-824,,473,,0.00,,
12/17/2004,35720,,-798,,470,,0.00,,
12/18/2004,34884,,-836,,473,,0.00,,
12/19/2004,34048,,-836,,475,,0.00,,
12/20/2004,33213,,-835,,473,,0.00,,
12/21/2004,32336,,-877,,473,,0.00,,
12/22/2004,31520,,-816,,471,,0.00,,
12/23/2004,30828,,-692,,469,,0.00,,
12/24/2004,30038,,-790,,468,,0.00,,
12/25/2004,29226,,-812,,466,,0.00,,
12/26/2004,28402,,-824,,468,,0.00,,
12/27/2004,27589,,-813,,474,,0.02,,
12/28/2004,26751,,-838,,473,,1.00,,
12/29/2004,25996,,-755,,470,,0.51,,
12/30/2004,25402,,-594,,467,,1.04,,
12/31/2004,24929,,-473,,393,,2.02,,
01/01/2005,24242,,-687,,444,,0.77,,
01/02/2005,23472,,-770,,455,,0.03,,
01/03/2005,22787,,-685,,452,,0.07,,
01/04/2005,22200,,-587,,458,,0.00,,
01/05/2005,22021,,-179,,247,,0.00,,
01/06/2005,22709,,688,,140,,0.00,,
01/07/2005,23521,,812,,140,,0.30,,
01/08/2005,24082,,561,,136,,1.03,,
01/09/2005,24753,,671,,124,,1.62,,
01/10/2005,25692,,939,,228,,1.67,,
01/11/2005,26298,,606,,347,,1.24,,
01/12/2005,26608,,310,,386,,0.04,,
01/13/2005,26503,,-105,,424,,0.00,,
01/14/2005,26503,,0,,381,,0.00,,
01/15/2005,26160,,-343,,400,,0.00,,
01/16/2005,25969,,-191,,393,,0.00,,
01/17/2005,25321,,-648,,415,,0.00,,
01/18/2005,25184,,-137,,419,,0.00,,
01/19/2005,24956,,-228,,409,,0.00,,
01/20/2005,24659,,-297,,409,,0.00,,
01/21/2005,24328,,-331,,415,,0.00,,
01/22/2005,24046,,-282,,413,,0.00,,
01/23/2005,23761,,-285,,415,,0.00,,
01/24/2005,23517,,-244,,425,,0.00,,
01/25/2005,23352,,-165,,415,,0.21,,
01/26/2005,23517,,165,,390,,0.70,,
01/27/2005,23770,,253,,375,,0.87,,
01/28/2005,24175,,405,,380,,0.64,,
01/29/2005,24301,,126,,407,,0.50,,
01/30/2005,24337,,36,,424,,0.00,,
01/31/2005,24403,,66,,420,,0.00,,
02/01/2005,24457,,54,,426,,0.00,,
02/02/2005,24636,,179,,429,,0.00,,
02/03/2005,24699,,63,,430,,0.00,,
02/04/2005,24668,,-31,,431,,0.00,,
02/05/2005,24525,,-143,,438,,0.00,,
02/06/2005,24206,,-319,,444,,0.00,,
02/07/2005,24211,,5,,444,,0.14,,
02/08/2005,24283,,72,,449,,0.11,,
02/09/2005,24319,,36,,449,,0.00,,
02/10/2005,24310,,-9,,445,,0.00,,
02/11/2005,24305,,-5,,348,,0.00,,
02/12/2005,23970,,-335,,448,,0.00,,
02/13/2005,23583,,-387,,444,,0.00,,
02/14/2005,23379,,-204,,447,,0.00,,
02/15/2005,23224,,-155,,449,,0.42,,
02/16/2005,23752,,528,,399,,1.46,,
02/17/2005,24229,,477,,385,,0.20,,
02/18/2005,24247,,18,,415,,0.19,,
02/19/2005,24206,,-41,,419,,0.34,,
02/20/2005,24346,,140,,357,,1.73,,
02/21/2005,24372,,26,,371,,0.33,,
02/22/2005,24570,,198,,371,,0.46,,
02/23/2005,24722,,152,,373,,0.00,,
02/24/2005,24902,,180,,381,,0.08,,
02/25/2005,25248,,346,,406,,0.00,,
02/26/2005,25149,,-99,,422,,0.06,,
02/27/2005,25095,,-54,,423,,0.00,,
02/28/2005,25211,,116,,421,,1.09,,
03/01/2005,24525,,-686,,413,,0.00,,
03/02/2005,26092,,1567,,413,,0.25,,
03/03/2005,26723,,631,,414,,0.00,,
03/04/2005,24748,,-1975,,418,,0.03,,
03/05/2005,28039,,3291,,420,,0.11,,
03/06/2005,28850,,811,,426,,0.00,,
03/07/2005,29622,,772,,430,,0.00,,
03/08/2005,30432,,810,,434,,0.00,,
03/09/2005,31125,,693,,435,,0.00,,
03/10/2005,31982,,857,,437,,0.00,,
03/11/2005,33086,,1104,,430,,0.00,,
03/12/2005,34146,,1060,,431,,0.00,,
03/13/2005,35132,,986,,443,,0.00,,
03/14/2005,36247,,1115,,449,,0.00,,
03/15/2005,37555,,1308,,444,,0.00,,
03/16/2005,38794,,1239,,442,,0.00,,
03/17/2005,39991,,1197,,455,,0.00,,
03/18/2005,40702,,711,,452,,0.00,,
03/19/2005,41638,,936,,447,,0.86,,
03/20/2005,42808,,1170,,423,,1.53,,
03/21/2005,43883,,1075,,413,,0.93,,
03/22/2005,45209,,1326,,356,,1.12,,
03/23/2005,46342,,1133,,330,,2.04,,
03/24/2005,47221,,879,,369,,0.19,,
03/25/2005,48216,,995,,379,,0.06,,
03/26/2005,48697,,481,,380,,0.00,,
03/27/2005,49374,,677,,379,,0.00,,
03/28/2005,50710,,1336,,319,,1.62,,
03/29/2005,52132,,1422,,259,,0.43,,
03/30/2005,53379,,1247,,340,,0.18,,
03/31/2005,54320,,941,,483,,0.00,,
04/01/2005,54937,,617,,1351,,0.00,,
04/02/2005,55215,,278,,1365,,0.00,,
04/03/2005,55227,,12,,686,,0.00,,
04/04/2005,55545,,318,,688,,0.79,,
04/05/2005,55789,,244,,596,,0.00,,
04/06/2005,56149,,360,,690,,0.00,,
04/07/2005,56738,,589,,699,,0.00,,
04/08/2005,57652,,914,,699,,0.73,,
04/09/2005,58229,,577,,702,,0.61,,
04/10/2005,58601,,372,,701,,0.00,,
04/11/2005,59129,,528,,703,,0.00,,
04/12/2005,59824,,695,,706,,0.00,,
04/13/2005,60672,,848,,704,,0.00,,
04/14/2005,61355,,683,,707,,0.00,,
04/15/2005,62167,,812,,708,,0.00,,
04/16/2005,62983,,816,,711,,0.00,,
04/17/2005,64017,,1034,,714,,0.00,,
04/18/2005,65138,,1121,,717,,0.00,,
04/19/2005,66203,,1065,,714,,0.00,,
04/20/2005,67125,,922,,710,,0.05,,
04/21/2005,68046,,921,,523,,0.00,,
04/22/2005,68958,,912,,723,,0.00,,
04/23/2005,69901,,943,,730,,0.00,,
04/24/2005,70754,,853,,654,,0.03,,
04/25/2005,71598,,844,,740,,0.00,,
04/26/2005,72547,,949,,733,,0.00,,
04/27/2005,73713,,1166,,731,,0.00,,
04/28/2005,74821,,1108,,723,,0.94,,
04/29/2005,75943,,1122,,721,,0.11,,
04/30/2005,77097,,1154,,711,,0.00,,
05/01/2005,78383,,1286,,714,,0.09,,
05/02/2005,79533,,1150,,712,,0.01,,
05/03/2005,80741,,1208,,715,,0.00,,
05/04/2005,81984,,1243,,715,,0.00,,
05/05/2005,83627,,1643,,725,,0.61,,
05/06/2005,85166,,1539,,727,,0.43,,
05/07/2005,86450,,1284,,719,,0.00,,
05/08/2005,87851,,1401,,727,,0.00,,
05/09/2005,90612,,2761,,704,,2.10,,
05/10/2005,92175,,1563,,717,,0.38,,
05/11/2005,92788,,613,,1238,,0.01,,
05/12/2005,93063,,275,,1738,,0.00,,
05/13/2005,93366,,303,,1391,,0.00,,
05/14/2005,93692,,326,,1456,,0.00,,
05/15/2005,94088,,396,,1498,,0.00,,
05/16/2005,94634,,546,,2295,,1.54,,
05/17/2005,93430,,--,,2539,,0.25,,
05/18/2005,93077,,-353,,2100,,0.32,,
05/19/2005,92999,,-78,,1903,,0.02,,
05/20/2005,93600,,601,,3286,,0.00,,
05/21/2005,93402,,-198,,5618,,0.00,,
05/22/2005,93035,,-367,,5236,,0.00,,
05/23/2005,93274,,239,,4979,,0.00,,
05/24/2005,93359,,85,,5037,,0.00,,
05/25/2005,93381,,22,,5030,,0.00,,
05/26/2005,93755,,374,,5073,,0.00,,
05/27/2005,94308,,553,,5305,,0.00,,
05/28/2005,94407,,99,,5469,,0.00,,
05/29/2005,93861,,-546,,5333,,0.00,,
05/30/2005,93472,,-389,,4200,,0.00,,
05/31/2005,93373,,-99,,3693,,0.00,,
06/01/2005,93706,,333,,3705,,0.00,,
06/02/2005,93827,,121,,3867,,0.00,,
06/03/2005,93550,,-277,,3621,,0.00,,
06/04/2005,93352,,-198,,3365,,0.00,,
06/05/2005,93161,,-191,,3350,,0.00,,
06/06/2005,92901,,-260,,3098,,0.00,,
06/07/2005,92788,,-113,,2465,,0.00,,
06/08/2005,92830,,42,,2094,,0.11,,
06/09/2005,93077,,247,,2095,,0.15,,
06/10/2005,93246,,169,,2111,,0.08,,
06/11/2005,93500,,254,,2339,,0.00,,
06/12/2005,93805,,305,,2497,,0.00,,
06/13/2005,94095,,290,,2516,,0.00,,
06/14/2005,94386,,291,,2764,,0.00,,
06/15/2005,94563,,177,,3107,,0.00,,
06/16/2005,94656,,93,,3004,,0.00,,
06/17/2005,94748,,92,,2707,,0.43,,
06/18/2005,94684,,-64,,2274,,0.10,,
06/19/2005,94627,,-57,,1845,,0.00,,
06/20/2005,94748,,121,,1637,,0.00,,
06/21/2005,95003,,255,,1850,,0.00,,
06/22/2005,95338,,335,,2034,,0.00,,
06/23/2005,95666,,328,,2043,,0.00,,
06/24/2005,95987,,321,,2057,,0.00,,
06/25/2005,96295,,308,,2062,,0.00,,
06/26/2005,96452,,157,,2095,,0.00,,
06/27/2005,96473,,21,,2120,,0.00,,
06/28/2005,96402,,-71,,2120,,0.00,,
06/29/2005,96244,,-158,,1545,,0.00,,
06/30/2005,96208,,-36,,185,,0.00,,
07/01/2005,96351,,143,,1970,,0.00,,
07/02/2005,96703,,352,,2175,,0.00,,
07/03/2005,96732,,29,,2022,,0.00,,
07/04/2005,96660,,-72,,1708,,0.00,,
07/05/2005,96416,,-244,,1589,,0.00,,
07/06/2005,96667,,251,,1676,,0.00,,
07/07/2005,96846,,179,,1939,,0.00,,
07/08/2005,96653,,-193,,1849,,0.00,,
07/09/2005,96624,,-29,,1628,,0.00,,
07/10/2005,96645,,21,,1591,,0.00,,
07/11/2005,96725,,80,,1428,,0.00,,
07/12/2005,96788,,63,,1339,,0.00,,
07/13/2005,96918,,130,,1118,,0.00,,
07/14/2005,97083,,165,,1042,,0.00,,
07/15/2005,97198,,115,,997,,0.00,,
07/16/2005,97392,,194,,1002,,0.00,,
07/17/2005,97478,,86,,1002,,0.00,,
07/18/2005,97443,,-35,,1009,,0.00,,
07/19/2005,97464,,21,,946,,0.00,,
07/20/2005,97506,,42,,828,,0.00,,
07/21/2005,97550,,44,,809,,0.00,,
07/22/2005,97600,,50,,803,,0.00,,
07/23/2005,97636,,36,,804,,0.00,,
07/24/2005,97679,,43,,802,,0.00,,
07/25/2005,97715,,36,,802,,0.00,,
07/26/2005,97679,,-36,,894,,0.00,,
07/27/2005,97607,,-72,,689,,0.00,,
07/28/2005,97535,,-72,,519,,0.00,,
07/29/2005,97443,,-92,,525,,0.00,,
07/30/2005,97371,,-72,,524,,0.00,,
07/31/2005,97342,,-29,,521,,0.00,,
08/01/2005,97147,,-195,,557,,0.00,,
08/02/2005,96839,,-308,,578,,0.00,,
08/03/2005,96295,,-544,,584,,0.00,,
08/04/2005,96030,,-265,,577,,0.00,,
08/05/2005,95759,,-271,,578,,0.00,,
08/06/2005,95452,,-307,,578,,0.00,,
08/07/2005,95189,,-263,,583,,0.00,,
08/08/2005,94932,,-257,,580,,0.00,,
08/09/2005,94670,,-262,,580,,0.00,,
08/10/2005,94230,,-440,,579,,0.00,,
08/11/2005,94067,,-163,,579,,0.00,,
08/12/2005,93685,,-382,,580,,0.00,,
08/13/2005,93183,,-502,,--,,--,,
08/14/2005,92372,,-811,,579,,0.00,,
08/15/2005,91557,,-815,,577,,0.00,,
08/16/2005,90934,,-623,,579,,0.11,,
08/17/2005,90187,,-747,,582,,0.00,,
08/18/2005,89547,,-640,,576,,0.00,,
08/19/2005,89443,,-104,,578,,0.00,,
08/20/2005,89381,,-62,,579,,0.00,,
08/21/2005,89367,,-14,,573,,0.00,,
08/22/2005,89360,,-7,,574,,0.00,,
08/23/2005,89172,,-188,,566,,0.00,,
08/24/2005,88715,,-457,,554,,0.00,,
08/25/2005,88383,,-332,,555,,0.00,,
08/26/2005,87989,,-394,,560,,0.00,,
08/27/2005,87610,,-379,,560,,0.00,,
08/28/2005,87232,,-378,,558,,0.00,,
08/29/2005,86834,,--,,557,,0.00,,
08/30/2005,86443,,-391,,556,,0.00,,
08/31/2005,86074,,-369,,558,,0.00,,
09/01/2005,85719,,-355,,554,,0.00,,
09/02/2005,85343,,-376,,550,,0.00,,
09/03/2005,84840,,-503,,551,,0.00,,
09/04/2005,84398,,-442,,552,,0.00,,
09/05/2005,83762,,-636,,552,,0.00,,
09/06/2005,83384,,-378,,553,,0.00,,
09/07/2005,83060,,-324,,545,,0.00,,
09/08/2005,82825,,-235,,527,,0.00,,
09/09/2005,82253,,-572,,530,,0.00,,
09/10/2005,81442,,-811,,529,,0.00,,
09/11/2005,80522,,-920,,529,,0.00,,
09/12/2005,80118,,-404,,526,,0.00,,
09/13/2005,79957,,-161,,528,,0.00,,
09/14/2005,79699,,-258,,526,,0.00,,
09/15/2005,79434,,-265,,524,,0.00,,
09/16/2005,79154,,-280,,522,,0.00,,
09/17/2005,78931,,-223,,524,,0.00,,
09/18/2005,78377,,-554,,526,,0.00,,
09/19/2005,77811,,-566,,523,,0.00,,
09/20/2005,77346,,-465,,520,,0.00,,
09/21/2005,76888,,-458,,508,,0.51,,
09/22/2005,76308,,-580,,505,,0.00,,
09/23/2005,75787,,-521,,494,,0.00,,
09/24/2005,74944,,-843,,484,,0.00,,
09/25/2005,74182,,-762,,481,,0.00,,
09/26/2005,73655,,-527,,478,,0.00,,
09/27/2005,73110,,-545,,464,,0.20,,
09/28/2005,72572,,-538,,253,,0.00,,
09/29/2005,72082,,-490,,473,,0.00,,
09/30/2005,71680,,-402,,473,,0.00,,
10/01/2005,71382,,-298,,472,,0.00,,
10/02/2005,71039,,-343,,475,,0.00,,
10/03/2005,70754,,-285,,474,,0.00,,
10/04/2005,70394,,-360,,472,,0.00,,
10/05/2005,70103,,-291,,466,,0.00,,
10/06/2005,69775,,-328,,470,,0.00,,
10/07/2005,69479,,-296,,475,,0.00,,
10/08/2005,68946,,-533,,474,,0.00,,
10/09/2005,68476,,-470,,477,,0.00,,
10/10/2005,68289,,-187,,479,,0.00,,
10/11/2005,67647,,-642,,480,,0.00,,
10/12/2005,67113,,-534,,478,,0.00,,
10/13/2005,66611,,-502,,471,,0.00,,
10/14/2005,65975,,-636,,470,,0.00,,
10/15/2005,65446,,-529,,471,,0.00,,
10/16/2005,64757,,-689,,469,,0.16,,
10/17/2005,64189,,-568,,469,,0.00,,
10/18/2005,63646,,-543,,472,,0.00,,
10/19/2005,63147,,-499,,472,,0.00,,
10/20/2005,62445,,-702,,475,,0.00,,
10/21/2005,61866,,-579,,475,,0.00,,
10/22/2005,61127,,-739,,475,,0.00,,
10/23/2005,60432,,-695,,475,,0.00,,
10/24/2005,59812,,-620,,474,,0.00,,
10/25/2005,59235,,-577,,473,,0.53,,
10/26/2005,58696,,-539,,472,,0.00,,
10/27/2005,58170,,-526,,470,,0.77,,
10/28/2005,57575,,-595,,466,,0.24,,
10/29/2005,57101,,-474,,468,,0.00,,
10/30/2005,56592,,-509,,466,,0.00,,
10/31/2005,56517,,-75,,243,,0.00,,
11/01/2005,56761,,244,,150,,0.00,,
11/02/2005,57053,,292,,150,,0.00,,
11/03/2005,57282,,229,,150,,0.00,,
11/04/2005,57505,,223,,150,,0.07,,
11/05/2005,57564,,59,,150,,0.00,,
11/06/2005,57676,,112,,150,,0.00,,
11/07/2005,57917,,241,,150,,0.00,,
11/08/2005,58123,,206,,150,,0.31,,
11/09/2005,58400,,277,,150,,0.06,,
11/10/2005,58359,,-41,,300,,0.00,,
11/11/2005,58041,,-318,,940,,0.00,,
11/12/2005,57640,,-401,,483,,0.00,,
11/13/2005,57253,,-387,,490,,0.00,,
11/14/2005,56352,,-901,,489,,0.00,,
11/15/2005,55481,,-871,,505,,0.00,,
11/16/2005,54585,,-896,,495,,0.00,,
11/17/2005,53677,,-908,,501,,0.00,,
11/18/2005,53059,,-618,,501,,0.00,,
11/19/2005,52266,,-793,,497,,0.00,,
11/20/2005,51651,,-615,,500,,0.00,,
11/21/2005,51104,,-547,,499,,0.00,,
11/22/2005,50547,,-557,,513,,0.00,,
11/23/2005,50009,,-538,,520,,0.00,,
11/24/2005,49402,,-607,,518,,0.00,,
11/25/2005,48608,,-794,,520,,0.11,,
11/26/2005,47907,,-701,,523,,0.58,,
11/27/2005,47314,,-593,,521,,0.00,,
11/28/2005,46844,,-470,,514,,0.00,,
11/29/2005,46489,,-355,,503,,1.72,,
11/30/2005,45967,,-522,,5501,,0.49,,
12/01/2005,46048,,81,,505,,0.40,,
12/02/2005,46555,,507,,469,,3.13,,
12/03/2005,46201,,-354,,510,,0.00,,
12/04/2005,45810,,-391,,512,,0.00,,
12/05/2005,45517,,-293,,513,,0.00,,
12/06/2005,45215,,-302,,514,,0.00,,
12/07/2005,44896,,-319,,472,,0.00,,
12/08/2005,44520,,-376,,514,,0.42,,
12/09/2005,44107,,-413,,510,,0.00,,
12/10/2005,43675,,-432,,513,,0.00,,
12/11/2005,43245,,-430,,515,,0.00,,
12/12/2005,43020,,-225,,514,,0.00,,
12/13/2005,42755,,-265,,514,,0.00,,
12/14/2005,42443,,-312,,516,,0.00,,
12/15/2005,42348,,-95,,515,,0.00,,
12/16/2005,42111,,-237,,516,,0.00,,
12/17/2005,41717,,-394,,517,,0.00,,
12/18/2005,41664,,-53,,486,,2.35,,
12/19/2005,42021,,357,,462,,0.88,,
12/20/2005,42069,,48,,490,,0.00,,
12/21/2005,42190,,121,,495,,0.00,,
12/22/2005,43685,,1495,,468,,1.35,,
12/23/2005,44498,,813,,470,,0.88,,
12/24/2005,44896,,398,,493,,0.00,,
12/25/2005,45263,,367,,497,,0.00,,
12/26/2005,45842,,579,,422,,2.19,,
12/27/2005,46239,,397,,451,,0.00,,
12/28/2005,48150,,1911,,409,,0.69,,
12/29/2005,49446,,1296,,445,,1.02,,
12/30/2005,51555,,2109,,437,,0.59,,
12/31/2005,61427,,9872,,488,,3.80,,
01/01/2006,63481,,2054,,695,,0.22,,
01/02/2006,65476,,1995,,700,,1.66,,
01/03/2006,66574,,1098,,694,,1.27,,
01/04/2006,67405,,831,,700,,0.00,,
01/05/2006,68233,,828,,705,,0.00,,
01/06/2006,69002,,769,,708,,0.00,,
01/07/2006,69454,,452,,710,,0.26,,
01/08/2006,70084,,630,,710,,0.00,,
01/09/2006,70551,,467,,710,,0.00,,
01/10/2006,71020,,469,,712,,0.00,,
01/11/2006,71464,,444,,712,,0.00,,
01/12/2006,71738,,274,,627,,0.10,,
01/13/2006,71929,,191,,--,,--,,
01/14/2006,72050,,121,,720,,0.67,,
01/15/2006,72172,,122,,721,,1.12,,
01/16/2006,72298,,126,,722,,0.00,,
01/17/2006,72420,,122,,722,,0.00,,
01/18/2006,72509,,89,,722,,0.91,,
01/19/2006,72547,,38,,716,,0.47,,
01/20/2006,72662,,115,,716,,0.00,,
01/21/2006,72726,,64,,717,,0.00,,
01/22/2006,72912,,186,,717,,0.00,,
01/23/2006,73226,,314,,716,,0.00,,
01/24/2006,72963,,-263,,524,,0.00,,
01/25/2006,73238,,275,,641,,0.00,,
01/26/2006,73559,,321,,647,,0.00,,
01/27/2006,73854,,295,,708,,0.08,,
01/28/2006,74208,,354,,705,,0.11,,
01/29/2006,74518,,310,,702,,0.21,,
01/30/2006,74931,,413,,700,,0.09,,
01/31/2006,75404,,473,,695,,0.52,,
02/01/2006,75956,,552,,701,,0.00,,
02/02/2006,76921,,965,,687,,0.53,,
02/03/2006,77700,,779,,674,,0.00,,
02/04/2006,78239,,539,,776,,0.12,,
02/05/2006,78285,,46,,936,,0.02,,
02/06/2006,78246,,-39,,919,,0.00,,
02/07/2006,78206,,-40,,891,,0.00,,
02/08/2006,78180,,-26,,860,,0.00,,
02/09/2006,78186,,6,,865,,0.00,,
02/10/2006,78186,,0,,865,,0.00,,
02/11/2006,78193,,7,,864,,0.00,,
02/12/2006,78186,,-7,,865,,0.00,,
02/13/2006,78206,,20,,870,,0.00,,
02/14/2006,78206,,0,,878,,0.00,,
02/15/2006,78200,,-6,,874,,0.00,,
02/16/2006,78173,,-27,,847,,0.00,,
02/17/2006,78186,,13,,836,,0.00,,
02/18/2006,78127,,-59,,796,,0.33,,
02/19/2006,78101,,-26,,761,,0.12,,
02/20/2006,78087,,-14,,735,,0.04,,
02/21/2006,78101,,14,,759,,0.00,,
02/22/2006,78074,,-27,,762,,0.00,,
02/23/2006,78028,,-46,,732,,0.00,,
02/24/2006,77989,,-39,,717,,0.00,,
02/25/2006,78068,,79,,734,,0.00,,
02/26/2006,78114,,46,,766,,0.00,,
02/27/2006,78859,,745,,967,,1.52,,
02/28/2006,78918,,59,,2144,,2.56,,
03/01/2006,78476,,-442,,1325,,0.32,,
03/02/2006,78370,,-106,,1043,,0.22,,
03/03/2006,78324,,-46,,969,,0.90,,
03/04/2006,78259,,-65,,915,,0.11,,
03/05/2006,78213,,-46,,873,,0.00,,
03/06/2006,78147,,-66,,816,,0.76,,
03/07/2006,78002,,-145,,726,,0.30,,
03/08/2006,77818,,-184,,669,,0.13,,
03/09/2006,78226,,408,,783,,0.21,,
03/10/2006,78279,,53,,927,,0.61,,
03/11/2006,78272,,-7,,936,,0.40,,
03/12/2006,78266,,-6,,928,,0.12,,
03/13/2006,78258,,-8,,924,,0.05,,
03/14/2006,78206,,-52,,904,,0.75,,
03/15/2006,78173,,-33,,858,,0.05,,
03/16/2006,78160,,-13,,842,,0.00,,
03/17/2006,78193,,33,,852,,0.56,,
03/18/2006,78160,,-33,,841,,0.03,,
03/19/2006,78153,,-7,,832,,0.00,,
03/20/2006,78173,,20,,821,,0.00,,
03/21/2006,78160,,-13,,845,,1.22,,
03/22/2006,78147,,-13,,834,,0.00,,
03/23/2006,78167,,20,,830,,0.00,,
03/24/2006,78186,,19,,845,,0.00,,
03/25/2006,78312,,126,,929,,1.21,,
03/26/2006,78272,,-40,,947,,0.44,,
03/27/2006,78266,,-6,,930,,0.00,,
03/28/2006,78299,,33,,917,,0.21,,
03/29/2006,78266,,-33,,937,,0.96,,
03/30/2006,78153,,-113,,--,,--,,
03/31/2006,78054,,-99,,768,,0.58,,
04/01/2006,77996,,-58,,739,,1.01,,
04/02/2006,78022,,26,,716,,0.00,,
04/03/2006,78568,,546,,921,,1.33,,
04/04/2006,78819,,251,,1523,,1.47,,
04/05/2006,78482,,-337,,1335,,1.47,,
04/06/2006,78812,,330,,952,,0.14,,
04/07/2006,79328,,516,,1004,,0.00,,
04/08/2006,79467,,139,,1101,,0.68,,
04/09/2006,79487,,20,,1134,,0.00,,
04/10/2006,79454,,-33,,1132,,0.30,,
04/11/2006,79374,,-80,,1106,,0.77,,
04/12/2006,76427,,-2947,,1104,,0.50,,
04/13/2006,79467,,3040,,1127,,0.00,,
04/14/2006,79712,,245,,1198,,0.00,,
04/15/2006,79798,,86,,1295,,0.72,,
04/16/2006,79937,,139,,1326,,0.41,,
04/17/2006,79831,,-106,,1324,,1.37,,
04/18/2006,79778,,-53,,1312,,0.00,,
04/19/2006,79758,,-20,,1282,,0.00,,
04/20/2006,79851,,93,,1305,,0.00,,
04/21/2006,79970,,119,,1337,,0.00,,
04/22/2006,80070,,100,,1413,,0.02,,
04/23/2006,80023,,-47,,1408,,0.00,,
04/24/2006,80050,,27,,1420,,0.33,,
04/25/2006,80063,,13,,1420,,0.00,,
04/26/2006,80169,,106,,1432,,0.00,,
04/27/2006,80389,,220,,1533,,0.03,,
04/28/2006,80641,,252,,1649,,0.00,,
04/29/2006,80861,,220,,1793,,0.00,,
04/30/2006,80855,,-6,,1851,,0.00,,
05/01/2006,80774,,-81,,1810,,0.00,,
05/02/2006,80575,,-199,,1740,,0.00,,
05/03/2006,80395,,-180,,1621,,0.00,,
05/04/2006,80279,,-116,,1565,,0.00,,
05/05/2006,80202,,-77,,1530,,0.00,,
05/06/2006,80123,,-79,,1472,,0.00,,
05/07/2006,80382,,259,,1471,,0.00,,
05/08/2006,82112,,1730,,2161,,0.00,,
05/09/2006,82804,,692,,3057,,0.00,,
05/10/2006,82892,,88,,3289,,0.00,,
05/11/2006,83242,,350,,3459,,0.00,,
05/12/2006,83512,,270,,3731,,0.00,,
05/13/2006,83627,,115,,3855,,0.00,,
05/14/2006,83775,,148,,4008,,0.00,,
05/15/2006,83972,,197,,4140,,0.00,,
05/16/2006,84270,,298,,4349,,0.00,,
05/17/2006,84548,,278,,4586,,0.00,,
05/18/2006,84724,,176,,4831,,0.00,,
05/19/2006,84813,,89,,5022,,0.00,,
05/20/2006,84636,,-177,,5006,,0.02,,
05/21/2006,84073,,-563,,4498,,0.00,,
05/22/2006,83586,,-487,,4137,,1.55,,
05/23/2006,82629,,-957,,3438,,0.07,,
05/24/2006,82220,,-409,,2873,,0.00,,
05/25/2006,82360,,140,,2829,,0.00,,
05/26/2006,82421,,61,,2923,,0.00,,
05/27/2006,82199,,-222,,2874,,0.00,,
05/28/2006,81569,,-630,,2482,,0.12,,
05/29/2006,81134,,-435,,2127,,0.00,,
05/30/2006,80908,,-226,,1936,,0.00,,
05/31/2006,81134,,226,,1960,,0.00,,
06/01/2006,81616,,482,,2204,,0.00,,
06/02/2006,82018,,402,,2489,,0.00,,
06/03/2006,82421,,403,,2809,,0.00,,
06/04/2006,82743,,322,,3098,,0.00,,
06/05/2006,82965,,222,,3350,,0.00,,
06/06/2006,83694,,729,,3337,,0.00,,
06/07/2006,84595,,901,,3570,,0.00,,
06/08/2006,84398,,-197,,3644,,0.00,,
06/09/2006,84337,,-61,,3235,,0.00,,
06/10/2006,84602,,265,,2815,,0.00,,
06/11/2006,84976,,374,,2470,,0.00,,
06/12/2006,85677,,701,,2257,,0.00,,
06/13/2006,86286,,609,,2262,,0.00,,
06/14/2006,86457,,171,,1996,,0.00,,
06/15/2006,87315,,858,,1293,,0.00,,
06/16/2006,88798,,1483,,902,,0.00,,
06/17/2006,90598,,1800,,865,,0.00,,
06/18/2006,92344,,1746,,876,,0.00,,
06/19/2006,94018,,1674,,1143,,0.00,,
06/20/2006,95310,,1292,,1258,,0.00,,
06/21/2006,96595,,1285,,1204,,0.00,,
06/22/2006,97263,,668,,1647,,0.00,,
06/23/2006,97342,,79,,2026,,0.00,,
06/24/2006,97284,,-58,,2025,,0.00,,
06/25/2006,97277,,-7,,2024,,0.00,,
06/26/2006,97284,,7,,2020,,0.00,,
06/27/2006,97277,,-7,,2013,,0.00,,
06/28/2006,97111,,-166,,1765,,0.00,,
06/29/2006,97212,,101,,1718,,0.00,,
06/30/2006,97327,,115,,1718,,0.00,,
07/01/2006,97428,,101,,1630,,0.00,,
07/02/2006,97464,,36,,1523,,0.00,,
07/03/2006,97407,,-57,,1523,,0.00,,
07/04/2006,97313,,-94,,1435,,0.00,,
07/05/2006,97349,,36,,1252,,0.00,,
07/06/2006,97399,,50,,1216,,0.00,,
07/07/2006,97385,,-14,,1148,,0.00,,
07/08/2006,97421,,36,,1021,,0.00,,
07/09/2006,97506,,85,,958,,0.00,,
07/10/2006,97593,,87,,994,,0.00,,
07/11/2006,97407,,-186,,1082,,0.00,,
07/12/2006,97320,,-87,,981,,0.00,,
