05/18/2015,ThecapacitywasrevisedinMay2015usingdatafromthe
SacramentoMunicipalUtilityDistrict,
Date,RESELE , ,,STORAGE , ,,RESCHG , ,,PPTINC , ,,RAIN , ,,TEMPMN , ,,TEMPMX , ,,TEMPAV , ,,
 ,FEET, ,AF, ,AF, ,INCHES, ,INCHES, ,DEGF, ,DEGF, ,DEGF, ,
10/04/2003,6384.79,,43930,,-57,,
10/05/2003,6384.76,,43895,,-35,,
10/06/2003,6384.12,,43162,,-733,,
10/07/2003,6383.62,,42593,,-569,,
10/08/2003,6383.45,,42401,,-192,,
10/09/2003,6383.39,,42333,,-68,,
10/10/2003,6383.32,,42254,,-79,,
10/11/2003,6383.26,,42186,,-68,,
10/12/2003,6383.22,,42141,,-45,,
10/13/2003,6383.16,,42073,,-68,,
10/14/2003,6382.70,,41555,,-518,,
10/15/2003,6382.57,,41409,,-146,,
10/16/2003,6382.39,,41207,,-202,,
10/17/2003,6381.94,,40704,,-503,,
10/18/2003,6381.87,,40626,,-78,,
10/19/2003,6381.84,,40593,,-33,,
10/20/2003,6381.76,,40504,,-89,,
10/21/2003,6381.08,,39750,,-754,,
10/22/2003,6381.03,,39695,,-55,,
10/23/2003,6380.98,,39639,,-56,,
10/24/2003,6380.92,,39574,,-65,,
10/25/2003,6380.83,,39474,,-100,,
10/26/2003,6380.59,,39211,,-263,,
10/27/2003,6380.22,,38805,,-406,,
10/28/2003,6379.88,,38434,,-371,,
10/29/2003,6379.79,,38336,,-98,,
10/30/2003,6379.72,,38260,,-76,,
10/31/2003,6379.36,,37870,,-390,,
11/01/2003,6378.99,,37470,,-400,,
11/02/2003,6378.75,,37212,,-258,,
11/03/2003,6378.75,,36890,e,-322,,
11/04/2003,6378.18,,36572,e,-318,,
11/05/2003,6377.55,,35932,,-640,,
11/06/2003,6377.46,,35827,,-105,,
11/07/2003,6377.38,,35742,,-85,,
11/08/2003,6377.33,,35690,,-52,,
11/09/2003,6377.34,,35700,,10,,
11/10/2003,6377.30,,35658,,-42,,
11/11/2003,6377.00,,35342,,-316,,
11/12/2003,6376.82,,35153,,-189,,
11/13/2003,6376.74,,35069,,-84,,
11/14/2003,6376.72,,35049,,-20,,
11/15/2003,6376.68,,35007,,-42,,
11/16/2003,6376.57,,34891,,-116,,
11/17/2003,6376.56,,34881,,-10,,
11/18/2003,6376.53,,34849,,-32,,
11/19/2003,6376.50,,34818,,-31,,
11/20/2003,6376.47,,34787,,-31,,
11/21/2003,6376.20,,34506,,-281,,
11/22/2003,6376.13,,34433,,-73,,
11/23/2003,6376.04,,34339,,-94,,
11/24/2003,6375.73,,34018,,-321,,
11/25/2003,6375.66,,33946,,-72,,
11/26/2003,6375.62,,33904,,-42,,
11/27/2003,6375.58,,33863,,-41,,
11/28/2003,6375.56,,33842,,-21,,
11/29/2003,6375.50,,33780,,-62,,
11/30/2003,6375.46,,33739,,-41,,
12/01/2003,6375.45,,33729,,-10,,
12/02/2003,6375.43,,33709,,-20,,
12/03/2003,6375.37,,33647,,-62,,
12/04/2003,6375.30,,33574,,-73,,
12/05/2003,6375.29,,33564,,-10,,
12/06/2003,6375.74,,34029,,465,,
12/07/2003,6376.47,,34787,,758,,
12/08/2003,6376.66,,34986,,199,,
12/09/2003,6377.24,,35595,,609,,
12/10/2003,6377.84,,36230,,635,,
12/11/2003,6378.06,,36464,,234,,
12/12/2003,6378.17,,36581,,117,,
12/13/2003,6378.33,,36752,,171,,
12/14/2003,6378.56,,36998,,246,,
12/15/2003,6378.13,,36538,,-460,,
12/16/2003,6377.74,,36124,,-414,,
12/17/2003,6377.02,,35363,,-761,,
12/18/2003,6377.01,,35352,,-11,,
12/19/2003,6377.04,,35384,,32,,
12/20/2003,6377.21,,35563,,179,,
12/21/2003,6377.34,,35700,,137,,
12/22/2003,6377.45,,35817,,117,,
12/23/2003,6377.56,,35933,,116,,
12/24/2003,6377.97,,36368,,435,,
12/25/2003,6378.25,,36666,,298,,
12/26/2003,6378.38,,36805,,139,,
12/27/2003,6378.45,,36880,,75,,
12/28/2003,6378.54,,36977,,97,,
12/29/2003,6378.28,,36698,,-279,,
12/30/2003,6378.36,,36784,,86,,
12/31/2003,6378.45,,36880,,96,,
01/01/2004,6378.80,,37255,,375,,
01/02/2004,6378.98,,37449,,194,,
01/03/2004,6379.05,,37524,,75,,
01/04/2004,6378.60,,37041,,-483,,
01/05/2004,6377.74,,36124,,-917,,
01/06/2004,6377.57,,35943,,-181,,
01/07/2004,6377.58,,35954,,11,,
01/08/2004,6377.62,,35996,,42,,
01/09/2004,6376.98,,35321,,-675,,
01/10/2004,6377.05,,35394,,73,,
01/11/2004,6377.08,,35426,,32,,
01/12/2004,6377.12,,35468,,42,,
01/13/2004,6377.13,,35479,,11,,
01/14/2004,6376.96,,35300,,-179,,
01/15/2004,6376.94,,35279,,-21,,
01/16/2004,6376.94,,35279,,0,,
01/17/2004,6376.98,,35321,,42,,
01/18/2004,6377.02,,35363,,42,,
01/19/2004,6376.78,,35111,,-252,,
01/20/2004,6376.34,,34651,,-460,,
01/21/2004,6376.15,,34453,,-198,,
01/22/2004,6376.16,,34464,,11,,
01/23/2004,6376.16,,34464,,0,,
01/24/2004,6376.18,,34485,,21,,
01/25/2004,6376.20,,34506,,21,,
01/26/2004,6376.16,,34464,,-42,,
01/27/2004,6376.25,,34557,,93,,
01/28/2004,6376.02,,34318,,-239,,
01/29/2004,6376.02,,34318,,0,,
01/30/2004,6376.04,,34339,,21,,
01/31/2004,6376.06,,34360,,21,,
02/01/2004,6376.06,,34360,,0,,
02/02/2004,6376.17,,34474,,114,,
02/03/2004,6376.21,,34516,,42,,
02/04/2004,6376.24,,34547,,31,,
02/05/2004,6376.10,,34402,,-145,,
02/06/2004,6376.16,,34464,,62,,
02/07/2004,6376.19,,34495,,31,,
02/08/2004,6376.22,,34526,,31,,
02/09/2004,6376.24,,34547,,21,,
02/10/2004,6376.22,,34526,,-21,,
02/11/2004,6376.18,,34485,,-41,,
02/12/2004,6376.17,,34474,,-11,,
02/13/2004,6376.18,,34485,,11,,
02/14/2004,--,,34515,e,30,,
02/15/2004,6376.24,,34547,,32,,
02/16/2004,6376.69,,35017,,470,,
02/17/2004,6377.68,,36060,,1043,,
02/18/2004,6378.50,,36934,,874,,
02/19/2004,6378.87,,37331,,397,,
02/20/2004,6379.08,,37557,,226,,
02/21/2004,6379.22,,37708,,151,,
02/22/2004,6379.36,,37859,,151,,
02/23/2004,6379.44,,37946,,87,,
02/24/2004,6379.58,,38098,,152,,
02/25/2004,6379.86,,38402,,304,,
02/26/2004,6380.20,,38773,,371,,
02/27/2004,6380.32,,38904,,131,,
02/28/2004,6380.38,,38970,,66,,
02/29/2004,6380.44,,39036,,66,,
03/01/2004,6380.56,,39167,,131,,
03/02/2004,6380.65,,39266,,99,,
03/03/2004,6380.67,,39288,,22,,
03/04/2004,6380.69,,39310,,22,,
03/05/2004,6380.72,,39343,,33,,
03/06/2004,6380.77,,39398,,55,,
03/07/2004,6380.84,,39475,,77,,
03/08/2004,6380.97,,39618,,143,,
03/09/2004,6380.97,,39618,,0,,
03/10/2004,6381.01,,39662,,44,,
03/11/2004,6381.29,,39972,,310,,
03/12/2004,6381.27,,39949,,-23,,
03/13/2004,6381.39,,40082,,133,,
03/14/2004,6381.59,,40304,,222,,
03/15/2004,6381.73,,40460,,156,,
03/16/2004,6382.27,,41062,,602,,
03/17/2004,6382.78,,41634,,572,,
03/18/2004,6383.15,,42051,,417,,
03/19/2004,6383.79,,42776,,725,,
03/20/2004,6384.44,,43517,,741,,
03/21/2004,6385.25,,44448,,931,,
03/22/2004,6386.09,,45422,,974,,
03/23/2004,6386.97,,46451,,1029,,
03/24/2004,6387.58,,47168,,717,,
03/25/2004,6388.10,,47784,,616,,
03/26/2004,6387.93,,47582,,-202,,
03/27/2004,6387.58,,47168,,-414,,
03/28/2004,6387.13,,46638,,-530,,
03/29/2004,6386.67,,46099,,-539,,
03/30/2004,6386.23,,45585,,-514,,
03/31/2004,6386.27,,45631,,46,,
04/01/2004,6386.21,,45561,,-70,,
04/02/2004,6385.72,,44992,,-569,,
04/03/2004,6385.29,,44495,,-497,,
04/04/2004,6385.83,,45120,,625,,
04/05/2004,6385.98,,45294,,174,,
04/06/2004,6386.71,,46145,,851,,
04/07/2004,6387.45,,47015,,870,,
04/08/2004,6387.50,,47074,,59,,
04/09/2004,6388.35,,48081,,1007,,
04/10/2004,6389.14,,49024,,943,,
04/11/2004,6389.84,,49865,,841,,
04/12/2004,6390.58,,50760,,895,,
04/13/2004,6391.35,,51697,,937,,
04/14/2004,6391.98,,52468,,771,,
04/15/2004,6392.49,,53096,,628,,
04/16/2004,6392.69,,53343,,247,,
04/17/2004,6392.91,,53615,,272,,
04/18/2004,6392.93,,53640,,25,,
04/19/2004,6393.15,,53913,,273,,
04/20/2004,6393.43,,54260,,347,,
04/21/2004,6393.59,,54459,,199,,
04/22/2004,6393.72,,54621,,162,,
04/23/2004,6393.68,,54571,,-50,,
04/24/2004,6394.02,,54996,,425,,
04/25/2004,6394.40,,55471,,475,,
04/26/2004,6394.65,,55784,,313,,
04/27/2004,6395.19,,56464,,680,,
04/28/2004,6396.22,,57767,,1303,,
04/29/2004,6396.87,,58595,,828,,
04/30/2004,6397.11,,58902,,307,,
05/01/2004,6397.68,,59633,,731,,
05/02/2004,6397.93,,59954,,321,,
05/03/2004,6398.17,,60264,,310,,
05/04/2004,6399.32,,61753,,1489,,
05/05/2004,6400.62,,63452,,1699,,
05/06/2004,6401.68,,64849,,1397,,
05/07/2004,6402.14,,65458,,609,,
05/08/2004,6402.68,,66176,,718,,
05/09/2004,6403.23,,66909,,733,,
05/10/2004,6403.67,,67498,,589,,
05/11/2004,6404.02,,67968,,470,,
05/12/2004,6403.77,,67633,,-335,,
05/13/2004,6403.55,,67337,,-296,,
05/14/2004,6403.87,e,67525,,188,,
05/15/2004,6404.18,,68184,,659,,
05/16/2004,6404.61,,68763,,579,,
05/17/2004,6405.16,,69507,,744,,
05/18/2004,6405.62,,70131,,624,,
05/19/2004,6406.04,,70702,,571,,
05/20/2004,6406.44,,71248,,546,,
05/21/2004,6406.83,,71781,,533,,
05/22/2004,6407.18,,72261,,480,,
05/23/2004,6407.59,,72825,,564,,
05/24/2004,6407.98,,73362,,537,,
05/25/2004,6408.36,,73888,,526,,
05/26/2004,6408.34,,73860,,-28,,
05/27/2004,6408.38,,73915,,55,,
05/28/2004,6408.93,,74677,,762,,
05/29/2004,6408.92,,74663,,-14,,
05/30/2004,6408.84,,74553,,-110,,
05/31/2004,6408.68,,74331,,-222,,
06/01/2004,6408.80,,74497,,166,,
06/02/2004,6408.87,,74594,,97,,
06/03/2004,6408.96,,74719,,125,,
06/04/2004,6409.08,,74886,,167,,
06/05/2004,6409.27,,75150,,264,,
06/06/2004,6409.38,,75303,,153,,
06/07/2004,6409.48,,75442,,139,,
06/08/2004,6409.14,,74969,,-473,,
06/09/2004,6408.88,,74608,,-361,,
06/10/2004,6408.62,,74247,,-361,,
06/11/2004,6408.38,,73915,,-332,,
06/12/2004,6408.14,,73583,,-332,,
06/13/2004,6408.27,,73763,,180,,
06/14/2004,6408.16,,73611,,-152,,
06/15/2004,6408.22,,73694,,83,,
06/16/2004,6408.43,,73984,,290,,
06/17/2004,6408.70,,74358,,374,,
06/18/2004,6408.87,,74594,,236,,
06/19/2004,6409.07,,74872,,278,,
06/20/2004,6409.26,,75136,,264,,
06/21/2004,6409.40,,75331,,195,,
06/22/2004,6409.31,e,75220,,-111,,
06/23/2004,6409.22,,75081,,-139,,
06/24/2004,6409.08,,74886,,-195,,
06/25/2004,6408.91,,74650,,-236,,
06/26/2004,6409.02,,74802,,152,,
06/27/2004,6409.09,,74900,,98,,
06/28/2004,6408.89,,74622,,-278,,
06/29/2004,6408.52,,74109,,-513,,
06/30/2004,6408.50,,74081,,-28,,
07/01/2004,6408.47,,74040,,-41,,
07/02/2004,6408.27,,73763,,-277,,
07/03/2004,6408.22,,73694,,-69,,
07/04/2004,6408.22,,73694,,0,,
07/05/2004,6408.24,,73722,,28,,
07/06/2004,6408.04,,73445,,-277,,
07/07/2004,6407.83,,73155,,-290,,
07/08/2004,6407.62,,72866,,-289,,
07/09/2004,6407.51,,72715,,-151,,
07/10/2004,6407.30,,72426,,-289,,
07/11/2004,6407.28,,72399,,-27,,
07/12/2004,6407.05,,72083,,-316,,
07/13/2004,6406.79,,71726,,-357,,
07/14/2004,6406.48,,71302,,-424,,
07/15/2004,6406.23,,70961,,-341,,
07/16/2004,6405.96,,70593,,-368,,
07/17/2004,6405.62,,70131,,-462,,
07/18/2004,6405.27,,69656,,-475,,
07/19/2004,6404.97,,69250,,-406,,
07/20/2004,6404.60,,68750,,-500,,
07/21/2004,6404.15,,68143,,-607,,
07/22/2004,6403.88,,67780,,-363,,
07/23/2004,6403.55,,67337,,-443,,
07/24/2004,6403.27,,66963,,-374,,
07/25/2004,6403.19,,66856,,-107,,
07/26/2004,6402.87,,66429,,-427,,
07/27/2004,6402.52,,65963,,-466,,
07/28/2004,6402.24,,65591,,-372,,
07/29/2004,6401.87,,65100,,-491,,
07/30/2004,6401.47,,64571,,-529,,
07/31/2004,6401.15,,64149,,-422,,
08/01/2004,6401.11,,64096,,-53,,
08/02/2004,6400.80,,63688,,-408,,
08/03/2004,6400.42,,63189,,-499,,
08/04/2004,6400.11,,62783,,-406,,
08/05/2004,6399.76,,62326,,-457,,
08/06/2004,6399.46,,61935,,-391,,
08/07/2004,6399.07,,61428,,-507,,
08/08/2004,6399.02,,61363,,-65,,
08/09/2004,6398.91,,61220,,-143,,
08/10/2004,6398.62,,60845,,-375,,
08/11/2004,6398.23,,60341,,-504,,
08/12/2004,6397.87,,59877,,-464,,
08/13/2004,6397.56,,59479,,-398,,
08/14/2004,6397.41,,59286,,-193,,
08/15/2004,6397.27,,59107,,-179,,
08/16/2004,6396.71,,58391,,-716,,
08/17/2004,6396.21,,57754,,-637,,
08/18/2004,6395.89,,57349,,-405,,
08/19/2004,6395.62,,57006,,-343,,
08/20/2004,6395.27,,56564,,-442,,
08/21/2004,6394.87,,56060,,-504,,
08/22/2004,6394.83,,56010,,-50,,
08/23/2004,6394.38,,55446,,-564,,
08/24/2004,6394.11,,55108,,-338,,
08/25/2004,6393.71,,54609,,-499,,
08/26/2004,6393.42,,54248,,-361,,
08/27/2004,6392.84,,53529,,-719,,
08/28/2004,6392.19,,52727,,-802,,
08/29/2004,6392.15,,52678,,-49,,
08/30/2004,6391.78,,52223,,-455,,
08/31/2004,6391.37,,51721,,-502,,
09/01/2004,6391.08,,51368,,-353,,
09/02/2004,6390.58,,50760,,-608,,
09/03/2004,6390.15,,50239,,-521,,
09/04/2004,6389.80,,49817,,-422,,
09/05/2004,6389.76,,49769,,-48,,
09/06/2004,6389.42,,49360,,-409,,
09/07/2004,6389.16,,49048,,-312,,
09/08/2004,6389.10,,48976,,-72,,
09/09/2004,6389.03,,48892,,-84,,
09/10/2004,6388.95,,48796,,-96,,
09/11/2004,6388.90,,48737,,-59,,
09/12/2004,6388.86,,48689,,-48,,
09/13/2004,6388.82,,48641,,-48,,
09/14/2004,6388.79,,48605,,-36,,
09/15/2004,6388.72,,48522,,-83,,
09/16/2004,6388.58,,48355,,-167,,
09/17/2004,6388.32,,48045,,-310,,
09/18/2004,6388.28,,47998,,-47,,
09/19/2004,6388.28,,47998,,0,,
09/20/2004,6388.27,,47986,,-12,,
09/21/2004,6388.19,,47891,,-95,,
09/22/2004,6388.13,,47820,,-71,,
09/23/2004,6388.08,,47760,,-60,,
09/24/2004,6388.03,,47701,,-59,,
09/25/2004,6387.96,,47618,,-83,,
09/26/2004,6387.94,,47595,,-23,,
09/27/2004,6387.86,,47499,,-96,,
09/28/2004,6387.71,,47322,,-177,,
09/29/2004,6387.64,,47239,,-83,,
09/30/2004,6387.62,,47216,,-23,,
10/01/2004,6387.58,,47168,,-48,,
10/02/2004,6387.28,,46815,,-353,,
10/03/2004,6387.23,,46756,,-59,,
10/04/2004,6387.04,,46532,,-224,,
10/05/2004,6386.88,,46345,,-187,,
10/06/2004,6386.80,,46251,,-94,,
10/07/2004,6386.78,,46228,,-23,,
10/08/2004,6386.74,,46181,,-47,,
10/09/2004,6386.72,,46157,,-24,,
10/10/2004,6386.67,,46099,,-58,,
10/11/2004,6386.63,,46052,,-47,,
10/12/2004,6386.56,,45970,,-82,,
10/13/2004,6386.52,,45923,,-47,,
10/14/2004,6386.47,,45865,,-58,,
10/15/2004,6386.43,,45818,,-47,,
10/16/2004,6386.37,,45748,,-70,,
10/17/2004,6386.54,,45947,,199,,
10/18/2004,6386.51,,45912,,-35,,
10/19/2004,6386.70,,46134,,222,,
10/20/2004,6386.80,,46251,,117,,
10/21/2004,6386.85,,46310,,59,,
10/22/2004,6387.00,,46485,,175,,
10/23/2004,6387.23,,46756,,271,,
10/24/2004,6387.39,,46944,,188,,
10/25/2004,6387.53,,47110,,166,,
10/26/2004,6387.79,,47417,,307,,
10/27/2004,6387.84,,47476,,59,,
10/28/2004,6387.89,,47535,,59,,
10/29/2004,6387.95,,47606,,71,,
10/30/2004,6387.96,,47618,,12,,
10/31/2004,6388.01,,47677,,59,,
11/01/2004,6387.75,,47369,,-308,,
11/02/2004,6387.22,,46744,,-625,,
11/03/2004,6386.61,,46028,,-716,,
11/04/2004,6386.24,,45597,,-431,,
11/05/2004,6386.06,,45387,,-210,,
11/06/2004,6385.79,,45073,,-314,,
11/07/2004,6385.55,,44795,,-278,,
11/08/2004,6385.39,,44610,,-185,,
11/09/2004,6385.37,,44587,,-23,,
11/10/2004,6385.27,,44471,,-116,,
11/11/2004,6385.04,,44206,,-265,,
11/12/2004,6384.88,,44022,,-184,,
11/13/2004,6384.61,,43712,,-310,,
11/14/2004,6384.40,,43471,,-241,,
11/15/2004,6384.07,,43094,,-377,,
11/16/2004,6383.91,,42913,,-181,,
11/17/2004,6383.71,,42685,,-228,,
11/18/2004,6383.41,,42345,,-340,,
11/19/2004,6383.15,,42051,,-294,,
11/20/2004,6382.80,,41656,,-395,,
11/21/2004,6382.27,,41062,,-594,,
11/22/2004,6381.91,,40660,,-402,,
11/23/2004,6381.69,,40415,,-245,,
11/24/2004,6381.37,,40060,,-355,,
11/25/2004,6381.15,,39817,,-243,,
11/26/2004,6380.91,,39552,,-265,,
11/27/2004,6380.81,,39442,,-110,,
11/28/2004,6380.45,,39047,,-395,,
11/29/2004,6379.97,,38522,,-525,,
11/30/2004,6379.52,,38033,,-489,,
12/01/2004,6379.23,,37719,,-314,,
12/02/2004,6378.93,,37396,,-323,,
12/03/2004,6378.52,,36955,,-441,,
12/04/2004,6378.15,,36560,,-395,,
12/05/2004,6377.88,,36272,,-288,,
12/06/2004,6377.73,,36113,,-159,,
12/07/2004,6377.36,,35721,,-392,,
12/08/2004,6377.51,,35880,,159,,
12/09/2004,6377.59,,35964,,84,,
12/10/2004,6377.47,,35838,,-126,,
12/11/2004,6377.45,e,35907,,69,,
12/12/2004,6377.43,,35796,,-111,,
12/13/2004,6377.11,,35458,,-338,,
12/14/2004,6376.85,,35185,,-273,,
12/15/2004,6376.73,,35059,,-126,,
12/16/2004,6376.47,,34787,,-272,,
12/17/2004,6376.51,,34828,,41,,
12/18/2004,6376.55,,34870,,42,,
12/19/2004,6376.29,,34599,,-271,,
12/20/2004,6375.65,,33935,,-664,,
12/21/2004,6375.69,,33977,,42,,
12/22/2004,6375.65,,33935,,-42,,
12/23/2004,6375.65,,33935,,0,,
12/24/2004,6375.61,,33894,,-41,,
12/25/2004,6375.60,,33884,,-10,,
12/26/2004,6375.61,,33894,,10,,
12/27/2004,6375.63,,33914,,20,,
12/28/2004,6375.59,,33873,,-41,,
12/29/2004,6375.68,,33966,,93,,
12/30/2004,6376.03,,34329,,363,,
12/31/2004,6376.20,,34506,,177,,
01/01/2005,6376.36,,34672,,166,,
01/02/2005,6376.43,,34745,,73,,
01/03/2005,6376.39,,34704,,-41,,
01/04/2005,6376.04,,34339,,-365,,
01/05/2005,6375.13,,33400,,-939,,
01/06/2005,6374.79,,33052,,-348,,
01/07/2005,6374.55,,32807,,-245,,
01/08/2005,6374.87,,33134,,327,,
01/09/2005,6375.01,,33277,,143,,
01/10/2005,6375.19,,33461,,184,,
01/11/2005,6374.31,,32563,,-898,,
01/12/2005,6373.37,,31616,,-947,,
01/13/2005,6372.30,,30552,,-1064,,
01/14/2005,6371.84,,30110,,-442,,
01/15/2005,6370.99,,29283,,-827,,
01/16/2005,6370.96,,29254,,-29,,
01/17/2005,6369.91,,28247,,-1007,,
01/18/2005,6368.54,,26957,,-1290,,
01/19/2005,6367.24,,25760,,-1197,,
01/20/2005,6366.26,,24875,,-885,,
01/21/2005,6365.87,,24526,,-349,,
01/22/2005,6365.30,,24021,,-505,,
01/23/2005,6365.35,,24066,,45,,
01/24/2005,6364.22,,23079,,-987,,
01/25/2005,6363.70,,22632,,-447,,
01/26/2005,6363.24,,22241,,-391,,
01/27/2005,6362.38,,21517,,-724,,
01/28/2005,6361.27,,20601,,-916,,
01/29/2005,6360.46,,19945,,-656,,
01/30/2005,6360.06,,19625,,-320,,
01/31/2005,6359.78,,19403,,-222,,
02/01/2005,6358.64,,18512,,-891,,
02/02/2005,6358.68,,18542,,30,,
02/03/2005,6358.71,,18565,,23,,
02/04/2005,6358.78,,18620,,55,,
02/05/2005,6358.85,,18674,,54,,
02/06/2005,6358.93,,18736,,62,,
02/07/2005,6359.04,,18822,,86,,
02/08/2005,6359.11,,18876,,54,,
02/09/2005,6359.18,,18931,,55,,
02/10/2005,6359.23,,18970,,39,,
02/11/2005,6359.32,,19040,,70,,
02/12/2005,6359.42,,19119,,79,,
02/13/2005,6359.54,,19213,,94,,
02/14/2005,6359.62,,19277,,64,,
02/15/2005,6359.71,,19348,,71,,
02/16/2005,6359.84,,19450,,102,,
02/17/2005,6359.96,,19546,,96,,
02/18/2005,6359.70,,19339,,-207,,
02/19/2005,6359.78,,19403,,64,,
02/20/2005,6359.96,,19546,,143,,
02/21/2005,6360.04,,19609,,63,,
02/22/2005,6360.15,,19697,,88,,
02/23/2005,6360.23,,19761,,64,,
02/24/2005,6360.03,,19601,,-160,,
