05/29/2015,ThereservoircapacitywasupdatedMay2015withinformationfromtheUSBR,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,
 ,AF, ,AF, ,CFS, ,
05/30/2005,60552,,-530,,2998,,
05/31/2005,61115,,563,,279,,
06/01/2005,61709,,594,,2906,,
06/02/2005,61842,,133,,3033,,
06/03/2005,61779,,-63,,2696,,
06/04/2005,61896,,117,,2511,,
06/05/2005,61880,,-16,,2536,,
06/06/2005,61597,,-283,,2267,,
06/07/2005,61647,,50,,1738,,
06/08/2005,61851,,204,,1556,,
06/09/2005,62167,,316,,1570,,
06/10/2005,62614,,447,,1601,,
06/11/2005,62710,,96,,1922,,
06/12/2005,62743,,33,,2049,,
06/13/2005,63069,,326,,2060,,
06/14/2005,63334,,265,,2321,,
06/15/2005,63309,,-25,,2596,,
06/16/2005,63078,,-231,,2454,,
06/17/2005,62723,,-355,,2117,,
06/18/2005,62225,,-498,,1704,,
06/19/2005,62071,,-154,,1384,,
06/20/2005,62325,,254,,1298,,
06/21/2005,62543,,218,,1596,,
06/22/2005,62622,,79,,1747,,
06/23/2005,62873,,251,,1758,,
06/24/2005,63057,,184,,1777,,
06/25/2005,63002,,-55,,1786,,
06/26/2005,62597,,-405,,1759,,
06/27/2005,62309,,-288,,1731,,
06/28/2005,62075,,-234,,1703,,
06/29/2005,62250,,175,,1988,,
06/30/2005,62952,,702,,1505,,
07/01/2005,63351,,399,,1750,,
07/02/2005,63321,,-30,,1883,,
07/03/2005,63288,,-33,,1679,,
07/04/2005,63489,,201,,1348,,
07/05/2005,63787,,298,,1327,,
07/06/2005,63951,,164,,1549,,
07/07/2005,63678,,-273,,1719,,
07/08/2005,63636,,-42,,1462,,
07/09/2005,63624,,-12,,1380,,
07/10/2005,63477,,-147,,1360,,
07/11/2005,63204,,-273,,1359,,
07/12/2005,63380,,176,,1138,,
07/13/2005,63708,,328,,1038,,
07/14/2005,63939,,231,,1006,,
07/15/2005,64140,,201,,952,,
07/16/2005,64128,,-12,,944,,
07/17/2005,64098,,-30,,927,,
07/18/2005,64103,,5,,869,,
07/19/2005,64153,,50,,819,,
07/20/2005,64237,,84,,708,,
07/21/2005,64224,,-13,,701,,
07/22/2005,64162,,-62,,699,,
07/23/2005,64023,,-139,,700,,
07/24/2005,63619,,-404,,701,,
07/25/2005,63082,,-537,,701,,
07/26/2005,62455,,-627,,703,,
07/27/2005,62096,,-359,,559,,
07/28/2005,62038,,-58,,426,,
07/29/2005,61992,,-46,,418,,
07/30/2005,61867,,-125,,443,,
07/31/2005,61605,,-262,,447,,
08/01/2005,61464,,-141,,394,,
08/02/2005,61368,,-96,,333,,
08/03/2005,61447,,79,,249,,
08/04/2005,61269,,-178,,388,,
08/05/2005,61028,,-241,,387,,
08/06/2005,60887,,-141,,358,,
08/07/2005,60684,,-203,,370,,
08/08/2005,60387,,-297,,399,,
08/09/2005,60122,,-265,,399,,
08/10/2005,59994,,-128,,311,,
08/11/2005,59579,,-415,,451,,
08/12/2005,59353,,-226,,339,,
08/13/2005,59250,,-103,,--,,
08/14/2005,59418,,168,,147,,
08/15/2005,59657,,239,,108,,
08/16/2005,59690,,33,,223,,
08/17/2005,59825,,135,,165,,
08/18/2005,59854,,29,,195,,
08/19/2005,59312,,-542,,486,,
08/20/2005,58711,,-601,,492,,
08/21/2005,58075,,-636,,516,,
08/22/2005,57338,,-737,,527,,
08/23/2005,56877,,-461,,454,,
08/24/2005,56647,,-230,,284,,
08/25/2005,56373,,-274,,286,,
08/26/2005,56128,,-245,,314,,
08/27/2005,55896,,-232,,314,,
08/28/2005,55647,,-249,,316,,
08/29/2005,55383,,--,,316,,
08/30/2005,55096,,-287,,316,,
08/31/2005,54802,,-294,,320,,
09/01/2005,54393,,-409,,343,,
09/02/2005,54049,,-344,,313,,
09/03/2005,53828,,-221,,313,,
09/04/2005,53437,,-391,,285,,
09/05/2005,53327,,-110,,197,,
09/06/2005,52973,,-354,,314,,
09/07/2005,52573,,-400,,284,,
09/08/2005,52123,,-450,,287,,
09/09/2005,51948,,-175,,122,,
09/10/2005,52010,,62,,138,,
09/11/2005,52178,,168,,20,,
09/12/2005,51854,,-324,,275,,
09/13/2005,51263,,-591,,406,,
09/14/2005,50786,,-477,,347,,
09/15/2005,50280,,-506,,291,,
09/16/2005,49706,,-574,,345,,
09/17/2005,49120,,-586,,355,,
09/18/2005,48882,,-238,,197,,
09/19/2005,48642,,-240,,198,,
09/20/2005,48325,,-317,,235,,
09/21/2005,48018,,-307,,229,,
09/22/2005,48835,,817,,174,,
09/23/2005,47601,,-1234,,183,,
09/24/2005,47711,,110,,20,,
09/25/2005,47737,,26,,62,,
09/26/2005,47547,,-190,,169,,
09/27/2005,47426,,-121,,140,,
09/28/2005,47234,,-192,,169,,
09/29/2005,46979,,-255,,199,,
09/30/2005,46681,,-298,,228,,
10/01/2005,46251,,-430,,290,,
10/02/2005,45846,,-405,,258,,
10/03/2005,45426,,-420,,288,,
10/04/2005,45061,,-365,,227,,
10/05/2005,44636,,-425,,290,,
10/06/2005,44257,,-379,,261,,
10/07/2005,43853,,-404,,275,,
10/08/2005,43680,,-173,,161,,
10/09/2005,43433,,-247,,200,,
10/10/2005,42884,,-549,,349,,
10/11/2005,42797,,-87,,118,,
10/12/2005,42617,,-180,,164,,
10/13/2005,42379,,-238,,185,,
10/14/2005,42211,,-168,,132,,
10/15/2005,42054,,-157,,158,,
10/16/2005,42014,,-40,,93,,
10/17/2005,41842,,-172,,150,,
10/18/2005,41646,,-196,,164,,
10/19/2005,41432,,-214,,180,,
10/20/2005,41414,,-18,,79,,
10/21/2005,41261,,-153,,143,,
10/22/2005,41257,,-4,,73,,
10/23/2005,41210,,-47,,90,,
10/24/2005,41108,,-102,,121,,
10/25/2005,41105,,-3,,126,,
10/26/2005,40964,,-141,,154,,
10/27/2005,40888,,-76,,137,,
10/28/2005,40606,,-282,,134,,
10/29/2005,40577,,-29,,184,,
10/30/2005,40357,,-220,,183,,
10/31/2005,40156,,-201,,163,,
11/01/2005,39799,,-357,,247,,
11/02/2005,39422,,-377,,261,,
11/03/2005,39093,,-329,,233,,
11/04/2005,38793,,-300,,231,,
11/05/2005,38600,,-193,,154,,
11/06/2005,38394,,-206,,177,,
11/07/2005,38078,,-316,,238,,
11/08/2005,37844,,-234,,216,,
11/09/2005,37529,,-315,,257,,
11/10/2005,37209,,-320,,240,,
11/11/2005,36818,,-391,,530,,
11/12/2005,36478,,-340,,244,,
11/13/2005,36121,,-357,,354,,
11/14/2005,36236,,115,,20,,
11/15/2005,36345,,109,,20,,
11/16/2005,36457,,112,,20,,
11/17/2005,36565,,108,,20,,
11/18/2005,36408,,-157,,151,,
11/19/2005,36397,,-11,,74,,
11/20/2005,36240,,-157,,145,,
11/21/2005,36010,,-230,,194,,
11/22/2005,35752,,-258,,195,,
11/23/2005,35463,,-289,,213,,
11/24/2005,35223,,-240,,183,,
11/25/2005,35254,,31,,75,,
11/26/2005,35129,,-125,,130,,
11/27/2005,34884,,-245,,186,,
11/28/2005,34628,,-256,,219,,
11/29/2005,34428,,-200,,240,,
11/30/2005,34334,,-94,,177,,
12/01/2005,34832,,498,,317,,
12/02/2005,35567,,735,,307,,
12/03/2005,35511,,-56,,224,,
12/04/2005,35300,,-211,,240,,
12/05/2005,34922,,-378,,296,,
12/06/2005,34552,,-370,,297,,
12/07/2005,34228,,-324,,227,,
12/08/2005,33955,,-273,,256,,
12/09/2005,33721,,-234,,226,,
12/10/2005,33474,,-247,,228,,
12/11/2005,33187,,-287,,246,,
12/12/2005,32737,,-450,,333,,
12/13/2005,32312,,-425,,310,,
12/14/2005,31899,,-413,,297,,
12/15/2005,31373,,-526,,357,,
12/16/2005,30823,,-550,,338,,
12/17/2005,30503,,-320,,286,,
12/18/2005,30382,,-121,,316,,
12/19/2005,30499,,117,,359,,
12/20/2005,30422,,-77,,354,,
12/21/2005,30209,,-213,,401,,
12/22/2005,32235,,2026,,363,,
12/23/2005,33376,,1141,,300,,
12/24/2005,33571,,195,,373,,
12/25/2005,33534,,-37,,400,,
12/26/2005,33485,,-49,,410,,
12/27/2005,33444,,-41,,403,,
12/28/2005,34624,,1180,,505,,
12/29/2005,34846,,222,,550,,
12/30/2005,36093,,1247,,576,,
12/31/2005,45959,,9866,,489,,
01/01/2006,47938,,1979,,526,,
01/02/2006,49208,,1270,,552,,
01/03/2006,49710,,502,,536,,
01/04/2006,49991,,281,,535,,
01/05/2006,50095,,104,,580,,
01/06/2006,50049,,-46,,602,,
01/07/2006,50211,,162,,461,,
01/08/2006,49960,,-251,,627,,
01/09/2006,49656,,-304,,580,,
01/10/2006,49288,,-368,,607,,
01/11/2006,48955,,-333,,598,,
01/12/2006,48725,,-230,,535,,
01/13/2006,48497,,-228,,--,,
01/14/2006,48497,,0,,433,,
01/15/2006,48295,,-202,,486,,
01/16/2006,48002,,-293,,507,,
01/17/2006,47669,,-333,,522,,
01/18/2006,47521,,-148,,462,,
01/19/2006,47258,,-263,,338,,
01/20/2006,46787,,-471,,536,,
01/21/2006,46387,,-400,,518,,
01/22/2006,45789,,-598,,578,,
01/23/2006,45068,,-721,,652,,
01/24/2006,45288,,220,,192,,
01/25/2006,44666,,-622,,630,,
01/26/2006,43939,,-727,,659,,
01/27/2006,43197,,-742,,653,,
01/28/2006,42408,,-789,,683,,
01/29/2006,41650,,-758,,645,,
01/30/2006,40946,,-704,,663,,
01/31/2006,40138,,-808,,695,,
02/01/2006,39222,,-916,,750,,
02/02/2006,38796,,-426,,756,,
02/03/2006,38252,,-544,,752,,
02/04/2006,37646,,-606,,754,,
02/05/2006,36934,,-712,,762,,
02/06/2006,36159,,-775,,757,,
02/07/2006,35376,,-783,,731,,
02/08/2006,34580,,-796,,725,,
02/09/2006,33783,,-797,,744,,
02/10/2006,33007,,-776,,740,,
02/11/2006,32259,,-748,,746,,
02/12/2006,31468,,-791,,734,,
02/13/2006,30746,,-722,,745,,
02/14/2006,30049,,-697,,749,,
02/15/2006,29344,,-705,,744,,
02/16/2006,28518,,-826,,742,,
02/17/2006,27687,,-831,,739,,
02/18/2006,27035,,-652,,664,,
02/19/2006,26353,,-682,,649,,
02/20/2006,25601,,-752,,677,,
02/21/2006,24753,,-848,,697,,
02/22/2006,23962,,-791,,692,,
02/23/2006,23278,,-684,,639,,
02/24/2006,22605,,-673,,621,,
02/25/2006,21960,,-645,,590,,
02/26/2006,21298,,-662,,632,,
02/27/2006,22401,,1103,,587,,
02/28/2006,25540,,3139,,623,,
03/01/2006,26121,,581,,640,,
03/02/2006,26272,,151,,652,,
03/03/2006,26281,,9,,648,,
03/04/2006,26124,,-157,,656,,
03/05/2006,25868,,-256,,643,,
03/06/2006,25779,,-89,,562,,
03/07/2006,25849,,70,,446,,
03/08/2006,26021,,172,,343,,
03/09/2006,25451,,-570,,749,,
03/10/2006,24690,,-761,,803,,
03/11/2006,23912,,-778,,801,,
03/12/2006,23049,,-863,,800,,
03/13/2006,22194,,-855,,801,,
03/14/2006,21438,,-756,,748,,
03/15/2006,20653,,-785,,745,,
03/16/2006,19862,,-791,,743,,
03/17/2006,19059,,-803,,743,,
03/18/2006,18219,,-840,,745,,
03/19/2006,17365,,-854,,738,,
03/20/2006,16506,,-859,,747,,
03/21/2006,15625,,-881,,750,,
03/22/2006,14732,,-893,,750,,
03/23/2006,13883,,-849,,752,,
03/24/2006,13063,,-820,,754,,
03/25/2006,12420,,-643,,756,,
03/26/2006,11654,,-766,,759,,
03/27/2006,10899,,-755,,759,,
03/28/2006,10236,,-663,,726,,
03/29/2006,9505,,-731,,731,,
03/30/2006,8961,,-544,,--,,
03/31/2006,8532,,-429,,416,,
04/01/2006,8042,,-490,,476,,
04/02/2006,7640,,-402,,506,,
04/03/2006,7889,,249,,480,,
04/04/2006,9561,,1672,,446,,
04/05/2006,10564,,1003,,407,,
04/06/2006,10504,,-60,,518,,
04/07/2006,10478,,-26,,620,,
04/08/2006,10653,,175,,550,,
04/09/2006,10771,,118,,543,,
04/10/2006,10558,,-213,,561,,
04/11/2006,10735,,177,,556,,
04/12/2006,10663,,-72,,572,,
04/13/2006,10758,,95,,556,,
04/14/2006,11096,,338,,611,,
04/15/2006,11624,,528,,539,,
04/16/2006,12125,,501,,562,,
04/17/2006,12210,,85,,630,,
04/18/2006,12018,,-192,,710,,
04/19/2006,11893,,-125,,710,,
04/20/2006,12133,,240,,736,,
04/21/2006,12736,,603,,728,,
04/22/2006,13589,,853,,696,,
04/23/2006,14197,,608,,708,,
04/24/2006,14824,,627,,730,,
04/25/2006,15796,,972,,727,,
04/26/2006,17200,,1404,,733,,
04/27/2006,19726,,2526,,730,,
04/28/2006,23126,,3400,,719,,
04/29/2006,27148,,4022,,756,,
04/30/2006,31444,,4296,,733,,
05/01/2006,35870,,4426,,722,,
05/02/2006,40131,,4261,,706,,
05/03/2006,44305,,4174,,666,,
05/04/2006,48128,,3823,,740,,
05/05/2006,51686,,3558,,741,,
05/06/2006,55419,,3733,,726,,
05/07/2006,58817,,3398,,1026,,
05/08/2006,59747,,930,,2407,,
05/09/2006,59854,,107,,2921,,
05/10/2006,59961,,107,,2930,,
05/11/2006,60291,,330,,3250,,
05/12/2006,60374,,83,,3540,,
05/13/2006,60564,,190,,3634,,
05/14/2006,60630,,66,,3831,,
05/15/2006,60771,,141,,3978,,
05/16/2006,60982,,211,,4245,,
05/17/2006,61248,,266,,4525,,
05/18/2006,61435,,187,,4789,,
05/19/2006,61405,,-30,,4965,,
05/20/2006,60995,,-410,,4856,,
05/21/2006,60568,,-427,,4086,,
05/22/2006,60428,,-140,,3616,,
05/23/2006,59496,,-932,,2808,,
05/24/2006,59656,,160,,2565,,
05/25/2006,59768,,112,,2806,,
05/26/2006,59727,,-41,,2875,,
05/27/2006,59320,,-407,,2691,,
05/28/2006,58882,,-438,,2147,,
05/29/2006,58715,,-167,,1847,,
05/30/2006,58837,,122,,1823,,
05/31/2006,59193,,356,,2047,,
06/01/2006,59559,,366,,2444,,
06/02/2006,59792,,233,,2763,,
06/03/2006,60069,,277,,3077,,
06/04/2006,60312,,243,,3353,,
06/05/2006,60337,,25,,3567,,
06/06/2006,60465,,128,,3611,,
06/07/2006,60267,,-198,,3650,,
06/08/2006,59965,,-302,,3301,,
06/09/2006,59764,,-201,,2993,,
06/10/2006,59496,,-268,,2756,,
06/11/2006,59373,,-123,,2504,,
06/12/2006,59373,,0,,2470,,
06/13/2006,59108,,-265,,2403,,
06/14/2006,58748,,-360,,1892,,
06/15/2006,58849,,101,,1556,,
06/16/2006,59152,,303,,1524,,
06/17/2006,60147,,995,,1544,,
06/18/2006,61161,,1014,,1645,,
06/19/2006,61896,,735,,1752,,
06/20/2006,62350,,454,,1714,,
06/21/2006,63019,,669,,1688,,
06/22/2006,63481,,462,,1821,,
06/23/2006,63674,,193,,1859,,
06/24/2006,63754,,80,,1835,,
06/25/2006,63800,,46,,1840,,
06/26/2006,63754,,-46,,1841,,
06/27/2006,63741,,-13,,1721,,
06/28/2006,64002,,261,,1564,,
06/29/2006,64060,,58,,1645,,
06/30/2006,63905,,-155,,1679,,
07/01/2006,63805,,-100,,1515,,
07/02/2006,64077,,272,,1427,,
07/03/2006,64010,,-67,,1420,,
07/04/2006,64006,,-4,,1305,,
07/05/2006,64149,,143,,1241,,
07/06/2006,64077,,-72,,1301,,
07/07/2006,64044,,-33,,1151,,
07/08/2006,64123,,79,,1048,,
07/09/2006,64149,,26,,1079,,
07/10/2006,64149,,0,,1100,,
07/11/2006,64128,,-21,,1063,,
07/12/2006,64098,,-30,,1029,,
07/13/2006,64801,,703,,925,,
07/14/2006,63960,,-841,,824,,
07/15/2006,63813,,-147,,777,,
07/16/2006,63687,,-126,,775,,
07/17/2006,63619,,-68,,776,,
07/18/2006,63855,,236,,695,,
07/19/2006,64132,,277,,780,,
07/20/2006,64165,,33,,883,,
07/21/2006,64149,,-16,,949,,
07/22/2006,64035,,-114,,828,,
07/23/2006,63859,,-176,,771,,
07/24/2006,63502,,-357,,770,,
07/25/2006,63086,,-416,,768,,
07/26/2006,62634,,-452,,779,,
07/27/2006,62108,,-526,,771,,
07/28/2006,61509,,-599,,756,,
07/29/2006,61244,,-265,,632,,
07/30/2006,61161,,-83,,497,,
07/31/2006,60990,,-171,,523,,
08/01/2006,61028,,38,,391,,
08/02/2006,61115,,87,,351,,
08/03/2006,61208,,93,,336,,
08/04/2006,61302,,94,,332,,
08/05/2006,61476,,174,,332,,
08/06/2006,61751,,275,,242,,
08/07/2006,62084,,333,,231,,
08/08/2006,62195,,111,,312,,
08/09/2006,62084,,-111,,396,,
08/10/2006,62059,,-25,,--,,
08/11/2006,61983,,-76,,362,,
08/12/2006,61876,,-107,,372,,
08/13/2006,61639,,-237,,396,,
08/14/2006,61472,,-167,,394,,
08/15/2006,61281,,-191,,417,,
08/16/2006,61128,,-153,,371,,
08/17/2006,60957,,-171,,374,,
08/18/2006,60796,,-161,,360,,
08/19/2006,60576,,-220,,360,,
08/20/2006,60387,,-189,,348,,
08/21/2006,60103,,-284,,391,,
08/22/2006,59726,,-377,,393,,
08/23/2006,59513,,-213,,393,,
08/24/2006,59291,,-222,,352,,
08/25/2006,59071,,-220,,346,,
08/26/2006,58882,,-189,,330,,
08/27/2006,58764,,-118,,282,,
08/28/2006,58544,,-220,,333,,
08/29/2006,58336,,-208,,328,,
08/30/2006,58112,,-224,,332,,
08/31/2006,57925,,-187,,302,,
09/01/2006,57540,,-385,,304,,
09/02/2006,57330,,-210,,320,,
09/03/2006,57143,,-187,,309,,
09/04/2006,56945,,-198,,301,,
09/05/2006,56744,,-201,,309,,
09/06/2006,56542,,-202,,301,,
09/07/2006,56337,,-205,,304,,
09/08/2006,56076,,-261,,315,,
09/09/2006,55771,,-305,,329,,
09/10/2006,55499,,-272,,315,,
09/11/2006,55160,,-339,,348,,
09/12/2006,54833,,-327,,322,,
09/13/2006,54508,,-325,,326,,
09/14/2006,54385,,-123,,230,,
09/15/2006,54156,,-229,,262,,
09/16/2006,54053,,-103,,206,,
09/17/2006,53808,,-245,,282,,
09/18/2006,53445,,-363,,--,,
09/19/2006,53107,,-338,,327,,
09/20/2006,52738,,-369,,338,,
09/21/2006,52405,,-333,,317,,
09/22/2006,52041,,-364,,334,,
09/23/2006,51784,,-257,,264,,
09/24/2006,51636,,-148,,220,,
09/25/2006,51247,,-389,,347,,
09/26/2006,50864,,-383,,330,,
09/27/2006,50446,,--,,350,,
09/28/2006,49964,,-482,,351,,
09/29/2006,49545,,-419,,122,,
09/30/2006,49441,,-104,,191,,
10/01/2006,49418,,-23,,150,,
10/02/2006,49361,,-57,,168,,
10/03/2006,49284,,-77,,171,,
10/04/2006,49165,,-119,,194,,
10/05/2006,49005,,-160,,220,,
10/06/2006,49024,,19,,205,,
10/07/2006,49047,,23,,112,,
10/08/2006,49009,,-38,,152,,
10/09/2006,48978,,-31,,132,,
10/10/2006,49012,,34,,107,,
10/11/2006,48982,,-30,,136,,
10/12/2006,48959,,-23,,132,,
10/13/2006,48668,,-291,,264,,
10/14/2006,48463,,-205,,225,,
10/15/2006,48341,,-122,,175,,
10/16/2006,48467,,126,,50,,
10/17/2006,48585,,118,,50,,
10/18/2006,48699,,114,,50,,
10/19/2006,48814,,115,,50,,
10/20/2006,48932,,118,,51,,
10/21/2006,49035,,103,,51,,
10/22/2006,49150,,115,,51,,
10/23/2006,49269,,119,,51,,
10/24/2006,49384,,115,,51,,
10/25/2006,49480,,96,,51,,
10/26/2006,49584,,104,,51,,
10/27/2006,49687,,103,,51,,
10/28/2006,49768,,81,,51,,
10/29/2006,49910,,142,,51,,
10/30/2006,49983,,73,,51,,
10/31/2006,49772,,-211,,151,,
11/01/2006,49239,,-533,,371,,
11/02/2006,48783,,-456,,355,,
11/03/2006,48238,,-545,,407,,
11/04/2006,47555,,-683,,466,,
11/05/2006,46979,,-576,,411,,
11/06/2006,46338,,-641,,433,,
11/07/2006,45692,,-646,,412,,
11/08/2006,45202,,-490,,383,,
11/09/2006,45004,,-198,,232,,
11/10/2006,44509,,-495,,355,,
11/11/2006,44209,,-300,,266,,
11/12/2006,43805,,-404,,307,,
11/13/2006,43355,,-450,,379,,
11/14/2006,46407,,3052,,311,,
11/15/2006,43031,,-3376,,337,,
11/16/2006,42625,,-406,,329,,
11/17/2006,42138,,-487,,352,,
11/18/2006,41791,,-347,,298,,
11/19/2006,41435,,-356,,297,,
11/20/2006,40898,,--,,379,,
11/21/2006,40285,,-613,,412,,
11/22/2006,39789,,-496,,381,,
11/23/2006,39523,,-266,,246,,
11/24/2006,39354,,-169,,183,,
11/25/2006,39068,,-286,,242,,
11/26/2006,38657,,-411,,294,,
11/27/2006,38195,,-462,,337,,
11/28/2006,37759,,-436,,316,,
11/29/2006,37244,,-515,,355,,
11/30/2006,36723,,-521,,370,,
12/01/2006,36282,,-441,,330,,
12/02/2006,35828,,-454,,335,,
12/03/2006,35296,,-532,,374,,
12/04/2006,34735,,-561,,382,,
12/05/2006,34127,,-608,,412,,
12/06/2006,33509,,-618,,401,,
12/07/2006,33149,,-360,,298,,
12/08/2006,32581,,-568,,388,,
12/09/2006,32191,,-390,,315,,
12/10/2006,31832,,-359,,306,,
12/11/2006,31323,,-509,,353,,
12/12/2006,30806,,-517,,385,,
12/13/2006,30202,,-604,,435,,
12/14/2006,29648,,-554,,416,,
12/15/2006,29081,,-567,,424,,
12/16/2006,28534,,-547,,397,,
12/17/2006,28029,,-505,,344,,
12/18/2006,27375,,-654,,407,,
12/19/2006,26729,,-646,,411,,
12/20/2006,26172,,-557,,381,,
12/21/2006,25731,,-441,,349,,
12/22/2006,25199,,-532,,370,,
12/23/2006,24763,,-436,,319,,
12/24/2006,24154,,-609,,419,,
12/25/2006,23673,,-481,,334,,
12/26/2006,23253,,-420,,322,,
12/27/2006,22984,,-269,,268,,
12/28/2006,22456,,--,,340,,
12/29/2006,22071,,-385,,286,,
12/30/2006,21769,,-302,,256,,
12/31/2006,21417,,-352,,293,,
01/01/2007,21081,,-336,,277,,
01/02/2007,20767,,-314,,279,,
01/03/2007,20348,,-419,,296,,
01/04/2007,20188,,-160,,319,,
01/05/2007,19198,,-990,,287,,
01/06/2007,19617,,419,,274,,
01/07/2007,19367,,-250,,251,,
01/08/2007,19111,,-256,,255,,
01/09/2007,18798,,-313,,269,,
01/10/2007,18827,,29,,96,,
01/11/2007,18607,,-220,,232,,
01/12/2007,18419,,-188,,187,,
01/13/2007,18161,,-258,,201,,
01/14/2007,18060,,-101,,140,,
01/15/2007,17804,,-256,,234,,
01/16/2007,17602,,-202,,213,,
01/17/2007,17439,,-163,,189,,
01/18/2007,17189,,-250,,231,,
01/19/2007,17050,,-139,,175,,
01/20/2007,16933,,-117,,161,,
01/21/2007,16869,,-64,,131,,
01/22/2007,16650,,-219,,214,,
01/23/2007,16495,,-155,,192,,
01/24/2007,16281,,-214,,215,,
01/25/2007,16112,,-169,,189,,
01/26/2007,16006,,-106,,155,,
01/27/2007,15994,,-12,,105,,
01/28/2007,15972,,-22,,106,,
01/29/2007,15798,,-174,,177,,
01/30/2007,15600,,-198,,193,,
01/31/2007,15434,,-166,,166,,
02/01/2007,15225,,-209,,208,,
02/02/2007,15036,,-189,,200,,
02/03/2007,14854,,-182,,196,,
02/04/2007,14785,,-69,,142,,
02/05/2007,14573,,-212,,218,,
02/06/2007,14452,,-121,,189,,
02/07/2007,14347,,-105,,174,,
02/08/2007,14166,,-181,,221,,
02/09/2007,14189,,23,,204,,
02/10/2007,14589,,400,,199,,
02/11/2007,15114,,525,,199,,
02/12/2007,15250,,136,,185,,
02/13/2007,15122,,-128,,254,,
02/14/2007,14931,,-191,,274,,
02/15/2007,14741,,-190,,259,,
02/16/2007,14507,,-234,,290,,
02/17/2007,14507,,0,,190,,
02/18/2007,14495,,-12,,215,,
02/19/2007,14465,,-30,,211,,
02/20/2007,14315,,-150,,240,,
02/21/2007,14068,,-247,,296,,
02/22/2007,13828,,-240,,309,,
02/23/2007,13412,,-416,,377,,
02/24/2007,13039,,-373,,350,,
02/25/2007,12736,,-303,,313,,
02/26/2007,12914,,178,,72,,
02/27/2007,12852,,-62,,205,,
02/28/2007,12782,,-70,,178,,
03/01/2007,12505,,-277,,271,,
03/02/2007,12165,,-340,,307,,
03/03/2007,12005,,-160,,229,,
03/04/2007,11917,,-88,,206,,
03/05/2007,11691,,-226,,287,,
03/06/2007,11632,,-59,,212,,
03/07/2007,11667,,35,,199,,
03/08/2007,11726,,59,,200,,
03/09/2007,11821,,95,,194,,
03/10/2007,11864,,43,,211,,
03/11/2007,12018,,154,,199,,
03/12/2007,12307,,289,,214,,
03/13/2007,12680,,373,,223,,
03/14/2007,13117,,437,,233,,
03/15/2007,13423,,306,,344,,
03/16/2007,13967,,544,,298,,
03/17/2007,14870,,903,,153,,
03/18/2007,15726,,856,,184,,
03/19/2007,16393,,667,,266,,
03/20/2007,17027,,634,,244,,
03/21/2007,17531,,504,,197,,
03/22/2007,17954,,423,,181,,
03/23/2007,18335,,381,,207,,
03/24/2007,19006,,671,,97,,
03/25/2007,19806,,800,,121,,
03/26/2007,20518,,712,,182,,
03/27/2007,21124,,606,,177,,
03/28/2007,21597,,473,,161,,
03/29/2007,21994,,397,,191,,
03/30/2007,22466,,472,,151,,
03/31/2007,23022,,556,,130,,
04/01/2007,23685,,663,,139,,
04/02/2007,24346,,661,,171,,
04/03/2007,25079,,733,,161,,
04/04/2007,25929,,850,,160,,
04/05/2007,26812,,883,,158,,
04/06/2007,27987,,1175,,112,,
04/07/2007,29157,,1170,,207,,
04/08/2007,30256,,1099,,201,,
04/09/2007,31128,,872,,279,,
04/10/2007,31899,,--,,292,,
04/11/2007,32642,,743,,230,,
04/12/2007,33300,,658,,184,,
04/13/2007,33814,,514,,194,,
04/14/2007,34438,,624,,160,,
04/15/2007,34929,,491,,167,,
04/16/2007,35335,,406,,204,,
04/17/2007,35838,,503,,168,,
04/18/2007,36362,,524,,142,,
04/19/2007,36674,,312,,192,,
04/20/2007,37025,,351,,172,,
04/21/2007,37376,,351,,171,,
04/22/2007,37883,,507,,137,,
04/23/2007,38295,,412,,167,,
04/24/2007,38865,,570,,185,,
04/25/2007,39602,,737,,160,,
04/26/2007,40386,,784,,155,,
04/27/2007,41355,,969,,176,,
04/28/2007,42620,,1265,,184,,
04/29/2007,44020,,1400,,214,,
04/30/2007,45452,,1432,,206,,
05/01/2007,46959,,1507,,244,,
05/02/2007,48230,,1271,,216,,
05/03/2007,49081,,851,,268,,
05/04/2007,49875,,794,,248,,
05/05/2007,50431,,556,,170,,
05/06/2007,50902,,471,,271,,
05/07/2007,51263,,361,,346,,
05/08/2007,51952,,689,,485,,
05/09/2007,52347,,395,,503,,
05/10/2007,52675,,328,,574,,
05/11/2007,53315,,640,,602,,
05/12/2007,54077,,762,,583,,
05/13/2007,54643,,566,,586,,
05/14/2007,55112,,469,,692,,
05/15/2007,55715,,603,,532,,
05/16/2007,56008,,293,,690,,
05/17/2007,56567,,559,,--,,
05/18/2007,57228,,661,,538,,
05/19/2007,57779,,551,,532,,
05/20/2007,58393,,421,,542,,
05/21/2007,59009,,616,,479,,
05/22/2007,59230,,221,,599,,
05/23/2007,59262,,32,,599,,
05/24/2007,59369,,107,,548,,
05/25/2007,59706,,337,,519,,
05/26/2007,60188,,482,,512,,
05/27/2007,60903,,715,,459,,
05/28/2007,61509,,606,,523,,
05/29/2007,62162,,653,,503,,
05/30/2007,62685,,523,,548,,
05/31/2007,62698,,13,,792,,
06/01/2007,62497,,-201,,773,,
06/02/2007,62630,,133,,654,,
06/03/2007,62697,,67,,663,,
06/04/2007,62714,,17,,607,,
06/05/2007,62664,,-50,,586,,
06/06/2007,62743,,79,,409,,
