Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
10/29/2003,449.11,,963458,,-1582,,
10/30/2003,449.33,,965633,,2175,,
10/31/2003,448.96,,961975,,-3658,,
11/01/2003,448.70,,959408,,-2567,,
11/02/2003,447.95,,952014,,-7394,,
11/03/2003,448.28,,955265,,3251,,
11/04/2003,448.88,,961185,,5920,,
11/05/2003,449.86,,970881,,9696,,
11/06/2003,450.66,,978821,,7940,,
11/07/2003,451.37,,985885,,7064,,
11/08/2003,451.87,,990870,,4985,,
11/09/2003,453.13,,1003469,,12599,,
11/10/2003,453.66,,1008784,,5315,,
11/11/2003,454.65,,1018738,,9954,,
11/12/2003,455.39,,1026199,,7461,,
11/13/2003,456.78,,1040262,,14063,,
11/14/2003,458.01,,1052759,,12497,,
11/15/2003,459.26,,1065510,,12751,,
11/16/2003,460.55,,1078721,,13211,,
11/17/2003,461.14,,1084781,,6060,,
11/18/2003,461.67,,1090234,,5453,,
11/19/2003,462.38,,1097554,,7320,,
11/20/2003,463.10,,1104992,,7438,,
11/21/2003,463.38,,1107890,,2898,,
11/22/2003,462.87,,1102614,,-5276,,
11/23/2003,463.89,,1113173,,10559,,
11/24/2003,463.60,,1110168,,-3005,,
11/25/2003,463.59,,1110064,,-104,,
11/26/2003,463.58,,1109961,,-103,,
11/27/2003,464.13,,1115662,,5701,,
11/28/2003,463.94,,1113691,,-1971,,
11/29/2003,463.71,,1111307,,-2384,,
11/30/2003,464.79,,1122517,,11210,,
12/01/2003,464.57,,1120230,,-2287,,
12/02/2003,465.07,,1125429,,5199,,
12/03/2003,465.34,,1128239,,2810,,
12/04/2003,465.14,,1126157,,-2082,,
12/05/2003,464.79,,1122517,,-3640,,
12/06/2003,464.98,,1124492,,1975,,
12/07/2003,465.17,,1126469,,1977,,
12/08/2003,465.62,,1131156,,4687,,
12/09/2003,465.47,,1129593,,-1563,,
12/10/2003,465.04,,1125117,,-4476,,
12/11/2003,465.11,,1125845,,728,,
12/12/2003,464.74,,1121997,,-3848,,
12/13/2003,464.82,,1122829,,832,,
