12/31/2014,Sensorforreservoirelevationhasbeenrepaired.Datafrom12/30/14,0900isvalid.,
12/30/2014,Hourlyelevationandstoragedataisinvalidsince12/25/2014.Dataisbeingflagged.,
Date,RESELE , ,,STORAGE , ,,RESCHG , ,,TOCSTO , ,,ABVTOC , ,,OUTFLOW , ,,INFLOW , ,,EVAP , ,,FNF , ,,PPTINC , ,,RAIN , ,,PPTINC4 , ,,
 ,FEET, ,AF, ,AF, ,AF, ,AF, ,CFS, ,CFS, ,CFS, ,CFS, ,INCHES, ,INCHES, ,INCHES, ,
06/07/2003,899.18,,3524627,,4884,,3538000,,4702,,7401,,141,,8539,,0.00,,
06/08/2003,899.52,,3529990,,5363,,3538000,,4280,,7047,,132,,8174,,0.00,,
06/09/2003,899.53,,3530148,,158,,3538000,,6394,,6615,,142,,8430,,0.00,,
06/10/2003,899.48,,3529358,,-790,,3538000,,6179,,5932,,151,,6511,,0.00,,
06/11/2003,899.38,,3527780,,-1577,,3538000,,5984,,5321,,132,,6119,,0.00,,
06/12/2003,899.22,,3525257,,-2524,,3538000,,6257,,5121,,137,,5949,,0.00,,
06/13/2003,898.95,,3521003,,-4254,,3538000,,6177,,4142,,109,,5915,e,0.00,,
06/14/2003,899.17,,3524469,,3466,,3538000,,3792,,5680,,141,,5915,e,0.00,,
06/15/2003,899.39,,3527938,,3470,,3538000,,2701,,4618,,160,,5358,,0.00,,
06/16/2003,899.17,,3524469,,-3470,,3538000,,5984,,4426,,173,,4717,,0.00,,
06/17/2003,898.90,,3520216,,-4253,,3538000,,5983,,4024,,178,,4654,,0.00,,
06/18/2003,898.94,,3520846,,630,,3538000,,3751,,4244,,173,,4467,,0.00,,
06/19/2003,898.94,,3520846,,0,,3538000,,3778,,3982,,196,,4464,,0.00,,
06/20/2003,898.90,,3520216,,-630,,3538000,,4000,,3804,,109,,4239,e,0.00,,
06/21/2003,899.18,,3524627,,4411,,3538000,,2237,,4643,,160,,4240,e,0.00,,
06/22/2003,899.32,,3526834,,2207,,3538000,,2599,,3874,,141,,3488,,0.00,,
06/23/2003,899.24,,3525573,,-1261,,3538000,,3986,,3529,,169,,3881,,0.00,,
06/24/2003,898.94,,3520846,,-4727,,3538000,,5642,,3441,,183,,3964,e,0.00,,
06/25/2003,898.58,,3515179,,-5667,,3538000,,7533,,4840,,228,,3964,e,0.00,,
06/26/2003,898.13,,3508104,,-7075,,3538000,,7534,,4306,,241,,3552,e,0.00,,
06/27/2003,897.18,,3493202,,-14902,,3538000,,9862,,2516,,241,,3552,e,0.00,,
06/28/2003,896.61,,3484282,,-8919,,3538000,,7945,,3761,,217,,3522,,0.00,,
06/29/2003,896.04,,3475379,,-8904,,3538000,,7207,,2866,,226,,3122,e,0.00,,
06/30/2003,895.14,,3461356,,-14023,,3538000,,10896,,4135,,230,,3123,e,0.00,,
07/01/2003,893.93,,3442564,,-18792,,3538000,,11915,,2656,,215,,1923,,0.00,,
07/02/2003,892.72,,3423845,,-18719,,3538000,,12283,,3050,,204,,2712,,0.00,,
07/03/2003,891.68,,3407815,,-16030,,3538000,,12025,,4165,,222,,2953,e,0.00,,
07/04/2003,890.20,,3385096,,-22719,,3538000,,13139,,1944,,259,,2953,e,0.00,,
07/05/2003,888.85,,3364465,,-20631,,3538000,,12251,,2089,,239,,2640,,0.00,,
07/06/2003,887.63,,3345900,,-18565,,3538000,,12289,,3125,,196,,2605,e,0.00,,
07/07/2003,886.16,,3323628,,-22272,,3538000,,12589,,1537,,176,,2610,e,0.00,,
07/08/2003,884.72,,3301913,,-21715,,3538000,,13456,,2640,,208,,2581,r,0.00,,
07/09/2003,883.20,,3279103,,-22810,,3538000,,13882,,2641,,184,,2658,r,0.00,,
07/10/2003,881.67,,3256256,,-22847,,3538000,,14042,,2682,,233,,2389,r,0.00,,
07/11/2003,880.16,,3233820,,-22436,,3538000,,13745,,2714,,205,,2084,r,0.00,,
07/12/2003,878.96,,3216092,,-17728,,3538000,,11976,,3230,,200,,2355,e,0.00,,
07/13/2003,877.50,,3194592,,-21500,,3538000,,12540,,1816,,190,,2355,e,0.00,,
07/14/2003,875.95,,3171879,,-22713,,3538000,,13930,,2756,,202,,2634,,0.00,,
