Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
10/30/2003,5931.26,,5719,,-24,,
10/31/2003,5931.27,,5727,,8,,
11/01/2003,5931.22,,5686,,-41,,
11/02/2003,5931.09,,5581,,-105,,
11/03/2003,5930.93,,5451,,-130,,
11/04/2003,5930.59,,5177,,-274,,
11/05/2003,5930.25,,4904,,-273,,
11/06/2003,5929.97,,4657,,-247,,
11/07/2003,5929.76,,4490,,-167,,
11/08/2003,--,,-9998,,-14488,,
11/09/2003,5929.47,,4260,,14258,,
11/10/2003,5929.31,,4134,,-126,,
11/11/2003,5929.18,,4032,,-102,,
11/12/2003,5929.06,,3937,,-95,,
11/13/2003,5928.96,,3858,,-78,,
11/14/2003,5928.89,,3804,,-55,,
11/15/2003,5928.83,,3757,,-47,,
11/16/2003,5928.75,,3694,,-63,,
11/17/2003,5928.70,,3655,,-39,,
11/18/2003,5928.64,,3608,,-47,,
11/19/2003,5928.54,,3530,,-78,,
11/20/2003,5928.50,,3499,,-31,,
11/21/2003,5928.47,,3476,,-23,,
11/22/2003,5928.42,,3437,,-39,,
11/23/2003,5928.39,,3414,,-23,,
11/24/2003,5928.36,,3390,,-24,,
11/25/2003,5928.33,,3367,,-23,,
11/26/2003,5928.30,,3344,,-23,,
11/27/2003,5928.29,,3336,,-8,,
11/28/2003,5928.25,,3305,,-31,,
11/29/2003,5928.24,,3297,,-8,,
11/30/2003,5928.24,,--,,--,,
12/01/2003,5928.24,,--,,--,,
12/02/2003,5928.23,,--,,--,,
12/03/2003,5928.22,,3282,,--,,
12/04/2003,5928.20,,3266,,-16,,
12/05/2003,5928.23,,3290,,24,,
12/06/2003,5928.67,,3632,,342,,
12/07/2003,5928.70,,3655,,23,,
12/08/2003,5928.67,,3632,,-23,,
12/09/2003,5928.64,,3608,,-24,,
12/10/2003,5928.70,,3655,,47,,
12/11/2003,5928.67,,3632,,-23,,
12/12/2003,5928.63,,3600,,-32,,
12/13/2003,5928.62,,3593,,-7,,
12/14/2003,5928.68,,3640,,47,,
12/15/2003,5928.64,,3608,,-32,,
12/16/2003,5928.60,,3577,,-31,,
12/17/2003,5928.57,,3554,,-23,,
12/18/2003,5928.53,,3522,,-32,,
12/19/2003,5928.51,,3507,,-15,,
12/20/2003,5928.54,,3530,,23,,
12/21/2003,5928.53,,3522,,-8,,
12/22/2003,5928.51,,3507,,-15,,
12/23/2003,5928.52,,3515,,8,,
12/24/2003,5928.70,,3655,,140,,
12/25/2003,5928.72,,3671,,16,,
12/26/2003,5928.68,,3640,,-31,,
12/27/2003,5928.64,,3608,,-32,,
12/28/2003,5928.57,,3554,,-54,,
12/29/2003,5928.77,,3710,,156,,
12/30/2003,5928.72,,3671,,-39,,
12/31/2003,5928.70,,3655,,-16,,
01/01/2004,5928.83,,3757,,102,,
01/02/2004,5928.82,,3749,,-8,,
01/03/2004,5928.77,,3710,,-39,,
01/04/2004,5928.70,,3655,,-55,,
01/05/2004,5928.66,,3624,,-31,,
01/06/2004,5928.63,,3600,,-24,,
01/07/2004,5928.60,,3577,,-23,,
01/08/2004,5928.58,,3562,,-15,,
01/09/2004,--,,--,,--,,
01/10/2004,5928.54,,3530,,--,,
01/11/2004,5928.52,,3515,,-15,,
01/12/2004,5928.51,,3507,,-8,,
01/13/2004,5928.50,,3499,,-8,,
01/14/2004,5928.49,,3492,,-7,,
01/15/2004,5928.49,,3492,,0,,
01/16/2004,5928.48,,3484,,-8,,
01/17/2004,5928.47,,3476,,-8,,
01/18/2004,5928.46,,3468,,-8,,
01/19/2004,5928.46,,3468,,0,,
01/20/2004,5928.46,,3468,,0,,
01/21/2004,5928.45,,3460,,-8,,
01/22/2004,5928.44,,3452,,-8,,
01/23/2004,5928.43,,3445,,-7,,
01/24/2004,5928.44,,3452,,7,,
01/25/2004,5928.42,,3437,,-15,,
01/26/2004,5928.40,,3421,,-16,,
01/27/2004,5928.46,,3468,,47,,
01/28/2004,5928.45,,3460,,-8,,
01/29/2004,5928.44,,3452,,-8,,
01/30/2004,5928.44,,3452,,0,,
01/31/2004,5928.42,,3437,,-15,,
02/01/2004,5928.41,,3429,,-8,,
02/02/2004,5928.48,,3484,,55,,
02/03/2004,5928.47,,3476,,-8,,
02/04/2004,5928.46,,3468,,-8,,
02/05/2004,5928.44,,3452,,-16,,
02/06/2004,5928.44,,3452,,0,,
02/07/2004,5928.45,,3460,,8,,
02/08/2004,5928.43,,3445,,-15,,
02/09/2004,5928.40,,3421,,-24,,
02/10/2004,5928.39,,3414,,-7,,
02/11/2004,5928.38,,3406,,-8,,
02/12/2004,5928.37,,3398,,-8,,
