Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,
05/21/2006,583.72,,21720,,527,,15313,,15583,,
05/22/2006,582.80,,21164,,-556,,15540,,15262,,
05/23/2006,585.45,,22790,,1626,,15389,,16211,,
05/24/2006,584.04,,21915,,-875,,14149,,13710,,
05/25/2006,583.70,,21708,,-207,,14167,,14065,,
05/26/2006,583.53,,21605,,-103,,14223,,14176,,
05/27/2006,582.74,,21128,,-477,,14075,,13838,,
05/28/2006,583.85,,21799,,671,,13588,,13931,,
05/29/2006,584.56,,22236,,437,,13889,,14114,,
05/30/2006,583.37,,21508,,-728,,13922,,13560,,
05/31/2006,583.18,,21392,,-116,,13879,,13826,,
06/01/2006,583.66,,21684,,292,,13843,,13993,,
06/02/2006,585.07,,22551,,867,,13779,,14218,,
06/03/2006,585.05,,22538,,-13,,14096,,14092,,
06/04/2006,584.17,,21995,,-543,,13968,,13698,,
06/05/2006,583.93,,21848,,-147,,13994,,13926,,
06/06/2006,585.27,,22677,,829,,13214,,13638,,
06/07/2006,584.37,,22118,,-559,,14127,,13850,,
06/08/2006,585.30,,22695,,577,,13991,,14290,,
06/09/2006,585.09,,22564,,-131,,14472,,14412,,
06/10/2006,584.52,,22211,,-353,,14210,,14039,,
06/11/2006,584.87,,22427,,216,,14215,,14330,,
06/12/2006,584.72,,22334,,-93,,14335,,14293,,
06/13/2006,583.31,,21471,,-863,,14348,,13917,,
06/14/2006,582.95,,21253,,-218,,14364,,14256,,
06/15/2006,582.53,,21002,,-251,,13793,,13667,,
06/16/2006,582.89,,21217,,215,,13848,,13961,,
06/17/2006,584.48,,22186,,969,,14337,,14833,,
06/18/2006,584.88,,22433,,247,,14519,,14651,,
06/19/2006,582.88,,21211,,-1222,,14437,,13828,,
06/20/2006,583.45,,21556,,345,,14114,,14294,,
06/21/2006,583.42,,21538,,-18,,14641,,14639,,
06/22/2006,583.07,,21325,,-213,,14678,,14577,,
06/23/2006,583.00,,21283,,-42,,14731,,14717,,
06/24/2006,579.55,,19271,,-2012,,14572,,13567,,
06/25/2006,583.14,,21368,,2097,,14240,,15304,,
06/26/2006,583.93,,21848,,480,,14934,,15183,,
06/27/2006,585.48,,22808,,960,,13708,,14199,,
06/28/2006,585.06,,22545,,-263,,13541,,13413,,
06/29/2006,585.12,,22582,,37,,13561,,13583,,
06/30/2006,583.29,,21459,,-1123,,13599,,13039,,
07/01/2006,583.17,,21386,,-73,,13773,,13743,,
07/02/2006,583.62,,21659,,273,,13498,,13642,,
07/03/2006,585.07,,22551,,892,,13366,,13823,,
07/04/2006,584.92,,22458,,-93,,13356,,13316,,
07/05/2006,584.61,,22266,,-192,,13458,,13368,,
07/06/2006,584.10,,21952,,--,,13437,,13285,,
07/07/2006,584.19,,22007,,--,,13464,,13498,,
07/08/2006,585.14,,22595,,588,,13593,,13896,,
07/09/2006,584.48,,22186,,-409,,13658,,13459,,
07/10/2006,584.39,,22131,,-55,,13449,,13429,,
07/11/2006,585.95,,23104,,973,,13338,,13836,,
07/12/2006,584.87,,22427,,-677,,13485,,13154,,
07/13/2006,584.72,,22334,,-93,,13546,,13506,,
07/14/2006,585.01,,22513,,179,,14481,,14580,,
07/15/2006,586.02,,23148,,635,,14476,,14804,,
07/16/2006,584.92,,22458,,-690,,14595,,14255,,
07/17/2006,583.42,,21538,,-920,,14552,,14095,,
07/18/2006,585.36,,22733,,1195,,14838,,15448,,
07/19/2006,585.29,,22689,,-44,,15218,,15206,,
07/20/2006,585.65,,22915,,226,,15219,,15339,,
07/21/2006,585.53,,22840,,-75,,15270,,15241,,
07/22/2006,585.57,,22865,,25,,15339,,15355,,
07/23/2006,586.27,,23307,,442,,15418,,15649,,
07/24/2006,586.64,,23543,,236,,15431,,15559,,
07/25/2006,584.20,,22013,,-1530,,15277,,14511,,
07/26/2006,584.56,,22236,,223,,15398,,15517,,
07/27/2006,583.95,,21860,,-376,,15136,,14956,,
07/28/2006,585.46,,22796,,936,,15002,,15484,,
07/29/2006,584.48,,22186,,-610,,14949,,14646,,
07/30/2006,584.73,,22340,,154,,15169,,15253,,
07/31/2006,584.67,,22303,,-37,,14687,,14674,,
08/01/2006,585.57,,22865,,562,,14700,,14989,,
08/02/2006,584.37,,22118,,-747,,15049,,14679,,
08/03/2006,585.14,,22595,,477,,14044,,14290,,
08/04/2006,582.84,,21187,,-1408,,14286,,13582,,
08/05/2006,582.30,,20865,,-322,,14306,,14150,,
08/06/2006,584.87,,22427,,1562,,14075,,14868,,
08/07/2006,585.29,,22689,,262,,14115,,14254,,
08/08/2006,585.96,,23110,,421,,14131,,14344,,
08/09/2006,585.93,,23091,,-19,,14419,,14415,,
08/10/2006,584.32,,22087,,-1004,,14423,,13922,,
08/11/2006,584.77,,22365,,278,,13779,,13925,,
08/12/2006,585.20,,22633,,268,,13869,,14010,,
08/13/2006,584.65,,22291,,-342,,13747,,13583,,
08/14/2006,584.88,,22433,,142,,13295,,13374,,
08/15/2006,585.86,,23047,,614,,13185,,13501,,
08/16/2006,585.48,,22808,,-239,,13083,,12968,,
08/17/2006,584.84,,22408,,-400,,13221,,13026,,
08/18/2006,585.40,,22758,,350,,13277,,13459,,
08/19/2006,585.10,,22570,,-188,,13248,,13158,,
08/20/2006,584.71,,22328,,-242,,13235,,13118,,
08/21/2006,584.68,,22310,,-18,,13232,,13229,,
08/22/2006,584.69,,22316,,6,,13218,,13222,,
08/23/2006,585.20,,22633,,317,,12806,,12972,,
08/24/2006,585.17,,22614,,-19,,12335,,12332,,
08/25/2006,584.98,,22495,,-119,,11370,,11315,,
08/26/2006,585.27,,22677,,182,,11202,,11300,,
08/27/2006,584.22,,22026,,-651,,11484,,11161,,
08/28/2006,584.65,,22291,,265,,11068,,11209,,
08/29/2006,583.89,,21823,,-468,,10948,,10718,,
08/30/2006,583.85,,21799,,-24,,10978,,10972,,
08/31/2006,582.71,,21110,,-689,,11050,,10709,,
09/01/2006,584.26,,22050,,940,,11043,,11523,,
09/02/2006,583.61,,21653,,-397,,11027,,10833,,
09/03/2006,584.72,,22334,,681,,11007,,11355,,
09/04/2006,584.93,,22464,,130,,10990,,11060,,
09/05/2006,584.74,,22347,,-117,,11223,,11169,,
09/06/2006,584.42,,22149,,-198,,11172,,11079,,
09/07/2006,585.30,,22695,,546,,10250,,10531,,
09/08/2006,585.10,,22570,,-125,,10064,,10007,,
09/09/2006,584.67,,22303,,-267,,10168,,10038,,
09/10/2006,584.53,,22217,,-86,,9848,,9808,,
09/11/2006,585.06,,22545,,328,,9940,,10110,,
09/12/2006,583.23,,21423,,-1122,,9876,,9315,,
09/13/2006,584.09,,21946,,523,,9429,,9698,,
09/14/2006,583.93,,21848,,-98,,9461,,9418,,
09/15/2006,584.42,,22149,,301,,9257,,9414,,
09/16/2006,584.69,,22316,,167,,9384,,9471,,
09/17/2006,584.14,,21976,,-340,,9188,,9021,,
09/18/2006,583.97,,21872,,-104,,9020,,8974,,
09/19/2006,585.08,,22557,,685,,8982,,9330,,
09/20/2006,584.51,,22205,,-352,,8609,,8437,,
09/21/2006,584.92,,22458,,253,,8565,,8698,,
09/22/2006,584.81,,22390,,-68,,8439,,8411,,
09/23/2006,584.23,,22032,,-358,,8512,,8337,,
09/24/2006,584.31,,22081,,49,,8095,,8125,,
09/25/2006,584.87,,22427,,346,,8023,,8202,,
09/26/2006,584.83,,22402,,-25,,8083,,8074,,
09/27/2006,584.85,,22414,,12,,7798,,7809,,
09/28/2006,584.81,,22390,,-24,,7547,,7540,,
09/29/2006,583.21,,21410,,-980,,7537,,7048,,
09/30/2006,583.13,,21362,,-48,,7401,,7380,,
10/01/2006,583.61,,21653,,291,,7533,,7684,,
10/02/2006,584.12,,21964,,311,,7096,,7256,,
10/03/2006,585.08,,22557,,593,,7030,,7332,,
10/04/2006,583.47,,21568,,-989,,7053,,6556,,
10/05/2006,583.93,,21848,,280,,6901,,7042,,
10/06/2006,583.52,,21599,,-249,,6632,,6507,,
10/07/2006,583.69,,21702,,103,,6588,,6643,,
10/08/2006,584.66,,22297,,595,,6596,,6899,,
10/09/2006,584.05,,21921,,-376,,6539,,6353,,
10/10/2006,584.06,,21927,,6,,6096,,6103,,
10/11/2006,584.22,,22026,,99,,6026,,6079,,
10/12/2006,582.91,,21229,,-797,,6024,,5625,,
10/13/2006,583.43,,21544,,315,,6039,,6202,,
10/14/2006,583.37,,21508,,-36,,6026,,6012,,
10/15/2006,583.56,,21623,,115,,5846,,5906,,
10/16/2006,583.88,,21817,,194,,5827,,5927,,
10/17/2006,584.28,,22063,,246,,5823,,5949,,
10/18/2006,584.19,,22007,,-56,,5837,,5812,,
10/19/2006,584.41,,22143,,136,,5863,,5935,,
10/20/2006,583.89,,21823,,-320,,5906,,5748,,
10/21/2006,584.56,,22236,,413,,5864,,6076,,
10/22/2006,584.34,,22100,,-136,,5873,,5807,,
10/23/2006,584.57,,22242,,142,,5747,,5823,,
10/24/2006,583.17,,21386,,-856,,5665,,5235,,
10/25/2006,583.14,,21368,,-18,,5470,,5464,,
10/26/2006,582.97,,21265,,-103,,5591,,5542,,
10/27/2006,583.29,,21459,,194,,5656,,5756,,
10/28/2006,583.59,,21641,,182,,5674,,5770,,
10/29/2006,583.43,,21544,,-97,,5664,,5619,,
10/30/2006,583.56,,21623,,79,,5663,,5705,,
10/31/2006,583.44,,21550,,-73,,5647,,5612,,
11/01/2006,583.80,,21769,,219,,5491,,5603,,
11/02/2006,583.83,,21787,,18,,5629,,5638,,
11/03/2006,583.37,,21508,,-279,,5631,,5493,,
11/04/2006,583.02,,21295,,-213,,5627,,5520,,
11/05/2006,582.68,,21092,,-203,,5641,,5541,,
11/06/2006,582.30,,20865,,-227,,5633,,5520,,
11/07/2006,581.54,,20416,,-449,,5637,,5412,,
11/08/2006,581.56,,20428,,12,,5638,,5644,,
11/09/2006,581.63,,20469,,41,,5631,,5655,,
11/10/2006,581.74,,20534,,65,,5628,,5663,,
11/11/2006,581.81,,20575,,41,,5635,,5656,,
11/12/2006,583.88,,21817,,1242,,5628,,6256,,
11/13/2006,584.56,,22236,,419,,5634,,5846,,
11/14/2006,584.43,,22155,,-81,,5632,,5593,,
11/15/2006,581.63,,20469,,-1686,,5624,,4776,,
11/16/2006,582.92,,21235,,766,,5635,,6021,,
11/17/2006,582.80,,21164,,-71,,5641,,5606,,
11/18/2006,582.71,,21110,,-54,,5649,,5622,,
11/19/2006,582.15,,20776,,-334,,5657,,5490,,
11/20/2006,581.70,,20510,,-266,,5659,,5526,,
11/21/2006,582.21,,20811,,301,,5384,,5536,,
11/22/2006,582.31,,20871,,60,,5518,,5549,,
11/23/2006,582.31,,20871,,0,,5517,,5518,,
11/24/2006,582.39,,20919,,48,,5538,,5562,,
11/25/2006,582.71,,21110,,191,,5551,,5649,,
11/26/2006,582.98,,21271,,161,,5555,,5636,,
11/27/2006,582.69,,21098,,-173,,5557,,5471,,
11/28/2006,582.90,,21223,,125,,5556,,5620,,
11/29/2006,582.96,,21259,,36,,5552,,5571,,
11/30/2006,583.61,,21653,,394,,5493,,5693,,
12/01/2006,583.94,,21854,,201,,5480,,5582,,
12/02/2006,583.62,,21659,,-195,,5476,,5379,,
12/03/2006,584.03,,21909,,250,,5480,,5609,,
12/04/2006,584.31,,22081,,172,,5478,,5566,,
12/05/2006,584.32,,22087,,6,,5471,,5474,,
12/06/2006,583.93,,21848,,-239,,5470,,5351,,
12/07/2006,583.82,,21781,,-67,,5486,,5453,,
12/08/2006,583.73,,21726,,-55,,5485,,5458,,
12/09/2006,584.40,,22137,,411,,5502,,5711,,
12/10/2006,583.93,,21848,,-289,,5560,,5416,,
12/11/2006,584.38,,22124,,276,,5555,,5696,,
12/12/2006,584.52,,22211,,87,,5554,,5601,,
12/13/2006,585.00,,22507,,296,,5556,,5707,,
12/14/2006,583.93,,21848,,-659,,5557,,5225,,
12/15/2006,583.11,,21350,,-498,,5551,,5300,,
12/16/2006,581.96,,20663,,-687,,5550,,5205,,
12/17/2006,581.40,,20334,,-329,,5556,,5391,,
12/18/2006,581.90,,20627,,293,,5555,,5704,,
12/19/2006,581.56,,20428,,-199,,5272,,5173,,
12/20/2006,582.33,,20883,,455,,5540,,5770,,
12/21/2006,581.81,,20575,,-308,,5555,,5400,,
12/22/2006,582.25,,20835,,260,,5556,,5687,,
12/23/2006,582.21,,20811,,-24,,5552,,5541,,
12/24/2006,582.05,,20716,,-95,,5556,,5509,,
12/25/2006,581.49,,20387,,-329,,5548,,5383,,
12/26/2006,582.93,,21241,,854,,5540,,5971,,
12/27/2006,584.17,,21995,,754,,5548,,5929,,
12/28/2006,584.94,,22470,,--,,5550,,5790,,
12/29/2006,583.87,,21811,,-659,,5560,,5230,,
12/30/2006,583.11,,21350,,-461,,5557,,5327,,
12/31/2006,582.99,,21277,,-73,,5564,,5527,,
01/01/2007,581.77,,20551,,-726,,5550,,5184,,
01/02/2007,581.28,,20264,,-287,,5549,,5405,,
01/03/2007,580.41,,19760,,-504,,5552,,5299,,
01/04/2007,583.46,,21562,,1802,,5551,,6460,,
01/05/2007,583.50,,21587,,25,,5558,,5572,,
01/06/2007,582.81,,21170,,-417,,5566,,5357,,
01/07/2007,582.42,,20937,,-233,,5368,,5251,,
01/08/2007,582.14,,20770,,-167,,5179,,5096,,
01/09/2007,582.57,,21026,,256,,5065,,5197,,
01/10/2007,581.84,,20592,,-434,,5064,,4846,,
01/11/2007,581.76,,20545,,-47,,5008,,4984,,
01/12/2007,581.58,,20440,,-105,,5010,,4957,,
01/13/2007,582.40,,20925,,485,,4981,,5226,,
01/14/2007,582.31,,20871,,-54,,5065,,5039,,
01/15/2007,582.53,,21002,,131,,4961,,5029,,
01/16/2007,581.87,,20610,,-392,,4972,,4776,,
01/17/2007,581.69,,20504,,-106,,5013,,4961,,
01/18/2007,582.37,,20907,,403,,4924,,5130,,
01/19/2007,583.26,,21441,,534,,4947,,5218,,
01/20/2007,583.03,,21301,,-140,,4950,,4880,,
01/21/2007,582.05,,20716,,-585,,4984,,4690,,
01/22/2007,581.89,,20622,,-94,,4989,,4944,,
01/23/2007,582.27,,20847,,225,,4943,,5058,,
01/24/2007,583.05,,21313,,466,,4851,,5088,,
01/25/2007,583.75,,21738,,425,,4793,,5008,,
01/26/2007,583.69,,21702,,-36,,4975,,4958,,
01/27/2007,583.39,,21520,,-182,,4970,,4879,,
01/28/2007,582.84,,21187,,-333,,5039,,4872,,
01/29/2007,583.48,,21574,,387,,4945,,5141,,
01/30/2007,582.71,,21110,,-464,,5058,,4827,,
01/31/2007,582.72,,21116,,6,,4983,,4987,,
02/01/2007,582.92,,21235,,119,,4948,,5008,,
02/02/2007,583.11,,21350,,115,,5014,,5073,,
02/03/2007,582.97,,21265,,-85,,5002,,4960,,
02/04/2007,582.93,,21241,,-24,,5004,,4993,,
02/05/2007,583.63,,21665,,424,,4991,,5207,,
02/06/2007,584.44,,22161,,496,,4879,,5130,,
02/07/2007,584.82,,22396,,235,,5016,,5135,,
02/08/2007,584.47,,22180,,-216,,5049,,4941,,
02/09/2007,583.75,,21738,,-442,,5029,,4807,,
02/10/2007,586.39,,23383,,1645,,5003,,5832,,
02/11/2007,583.56,,21623,,-1760,,5019,,4133,,
02/12/2007,583.27,,21447,,-176,,4985,,4897,,
02/13/2007,584.87,,22427,,980,,4972,,5466,,
02/14/2007,584.94,,22470,,43,,4973,,4996,,
02/15/2007,584.38,,22124,,-346,,4965,,4792,,
02/16/2007,583.24,,21429,,-695,,4855,,4506,,
02/17/2007,583.26,,21441,,12,,4970,,4977,,
02/18/2007,582.07,,20728,,-713,,4945,,4588,,
02/19/2007,581.72,,20522,,-206,,4925,,4824,,
02/20/2007,581.57,,20434,,-88,,4903,,4860,,
02/21/2007,581.68,,20498,,64,,4866,,4898,,
02/22/2007,581.79,,20563,,65,,4527,,4561,,
02/23/2007,580.84,,20008,,-555,,4523,,4245,,
02/24/2007,581.84,,20592,,584,,4509,,4804,,
02/25/2007,581.85,,20598,,6,,4547,,4552,,
02/26/2007,580.83,,20002,,-596,,4542,,4242,,
02/27/2007,581.80,,20569,,567,,4548,,4834,,
02/28/2007,583.30,,21465,,896,,4529,,4981,,
03/01/2007,583.30,,21465,,0,,4516,,4516,,
03/02/2007,583.62,,21659,,194,,4526,,4624,,
03/03/2007,583.58,,21635,,-24,,4527,,4516,,
03/04/2007,582.89,,21217,,-418,,4527,,4317,,
03/05/2007,583.05,,21313,,96,,4457,,4507,,
03/06/2007,582.18,,20793,,-520,,4505,,4244,,
03/07/2007,582.79,,21158,,365,,4514,,4701,,
03/08/2007,580.99,,20094,,-1064,,4519,,3984,,
03/09/2007,580.26,,19674,,-420,,4515,,4304,,
03/10/2007,581.38,,20323,,649,,4499,,4827,,
03/11/2007,580.88,,20031,,-292,,4232,,4086,,
03/12/2007,580.49,,19806,,-225,,4457,,4347,,
03/13/2007,581.75,,20540,,734,,4473,,4846,,
03/14/2007,581.37,,20317,,-223,,4444,,4335,,
03/15/2007,581.14,,20182,,-135,,4472,,4407,,
03/16/2007,582.43,,20943,,761,,4534,,4922,,
03/17/2007,583.53,,21605,,662,,4504,,4841,,
03/18/2007,582.10,,20746,,-859,,4463,,4034,,
03/19/2007,580.98,,20088,,-658,,4526,,4197,,
03/20/2007,580.65,,19898,,-190,,4521,,4428,,
03/21/2007,581.50,,20393,,495,,4534,,4787,,
03/22/2007,580.83,,20002,,-391,,4533,,4339,,
03/23/2007,580.20,,19639,,-363,,4544,,4364,,
03/24/2007,580.57,,19852,,213,,4542,,4652,,
03/25/2007,581.72,,20522,,670,,5400,,5741,,
03/26/2007,581.41,,20340,,-182,,5516,,5424,,
03/27/2007,582.34,,20889,,549,,5813,,6091,,
03/28/2007,584.00,,21890,,1001,,5766,,6273,,
03/29/2007,582.09,,20740,,-1150,,6051,,5474,,
03/30/2007,582.30,,20865,,125,,6062,,6128,,
03/31/2007,582.39,,20919,,54,,6538,,6568,,
04/01/2007,583.16,,21380,,461,,7043,,7279,,
04/02/2007,583.51,,21593,,213,,7079,,7189,,
04/03/2007,583.21,,21410,,-183,,7316,,7227,,
04/04/2007,582.62,,21056,,-354,,7567,,7392,,
04/05/2007,582.27,,20847,,-209,,8095,,7994,,
04/06/2007,582.29,,20859,,12,,8110,,8118,,
04/07/2007,581.47,,20375,,-484,,8090,,7852,,
04/08/2007,581.08,,20147,,-228,,8004,,7891,,
04/09/2007,582.08,,20734,,587,,7863,,8162,,
04/10/2007,581.86,,20604,,--,,7687,,7626,,
04/11/2007,582.06,,20722,,118,,7970,,8031,,
04/12/2007,583.16,,21380,,658,,8095,,8428,,
04/13/2007,583.67,,21690,,310,,8099,,8259,,
04/14/2007,583.63,,21665,,-25,,8087,,8077,,
04/15/2007,582.68,,21092,,-573,,8106,,7819,,
04/16/2007,582.29,,20859,,-233,,8089,,7976,,
04/17/2007,581.97,,20668,,-191,,8099,,8007,,
04/18/2007,582.99,,21277,,609,,8099,,8409,,
04/19/2007,583.89,,21823,,546,,8081,,8357,,
04/20/2007,584.02,,21902,,79,,7612,,7653,,
04/21/2007,584.12,,21964,,62,,7686,,7720,,
04/22/2007,584.01,,21896,,-68,,7573,,7542,,
04/23/2007,583.66,,21684,,-212,,7587,,7481,,
04/24/2007,582.94,,21247,,-437,,7562,,7345,,
04/25/2007,583.02,,21295,,48,,7545,,7572,,
04/26/2007,583.45,,21556,,261,,7569,,7705,,
04/27/2007,583.08,,21332,,-224,,7565,,7455,,
04/28/2007,583.80,,21769,,437,,7567,,7793,,
04/29/2007,580.80,,19985,,-1784,,8457,,7562,,
04/30/2007,581.33,,20293,,308,,8506,,8666,,
05/01/2007,582.72,,21116,,823,,8508,,8927,,
05/02/2007,581.21,,20223,,-893,,9777,,9329,,
05/03/2007,582.23,,20823,,600,,11155,,11459,,
05/04/2007,581.97,,20668,,-155,,9394,,9318,,
05/05/2007,581.93,,20645,,-23,,9106,,9096,,
05/06/2007,582.84,,21187,,542,,9107,,9383,,
05/07/2007,582.38,,20913,,-274,,9078,,8945,,
05/08/2007,582.24,,20829,,-84,,9019,,8982,,
05/09/2007,582.36,,20901,,72,,9059,,9097,,
05/10/2007,582.07,,20728,,-173,,9073,,8992,,
05/11/2007,581.58,,20440,,-288,,9523,,9384,,
05/12/2007,581.62,,20463,,23,,9456,,9473,,
05/13/2007,582.31,,20871,,408,,9529,,9740,,
05/14/2007,582.46,,20961,,90,,10593,,10644,,
05/15/2007,581.83,,20586,,-375,,11558,,11375,,
05/16/2007,582.87,,21205,,619,,9856,,10173,,
05/17/2007,583.44,,21550,,345,,9835,,10015,,
05/18/2007,583.11,,21350,,-200,,9838,,9743,,
05/19/2007,583.40,,21526,,176,,9806,,9900,,
05/20/2007,583.46,,21562,,36,,9832,,9855,,
05/21/2007,582.79,,21158,,-404,,9862,,9663,,
05/22/2007,582.32,,20877,,-281,,9861,,9725,,
05/23/2007,582.05,,20716,,-161,,9855,,9780,,
05/24/2007,580.90,,20042,,-674,,9861,,9526,,
05/25/2007,582.51,,20990,,948,,9597,,10081,,
05/26/2007,582.97,,21265,,275,,9987,,10132,,
05/27/2007,583.16,,21380,,115,,10576,,10640,,
05/28/2007,583.40,,21526,,146,,10553,,10633,,
05/29/2007,579.66,,19333,,-2193,,10567,,9467,,
05/30/2007,582.54,,21008,,1675,,10537,,11388,,
05/31/2007,583.76,,21744,,736,,10566,,10942,,
06/01/2007,582.97,,21265,,-479,,11061,,10826,,
06/02/2007,582.07,,20728,,-537,,11082,,10816,,
06/03/2007,582.43,,20943,,215,,11063,,11177,,
06/04/2007,583.18,,21392,,449,,11065,,11296,,
06/05/2007,583.87,,21811,,419,,11065,,11279,,
06/06/2007,583.97,,21872,,61,,11062,,11097,,
06/07/2007,583.77,,21750,,-122,,11071,,11014,,
06/08/2007,583.87,,21811,,61,,11060,,11097,,
06/09/2007,583.89,,21823,,12,,11068,,11080,,
06/10/2007,583.83,,21787,,-36,,11074,,11060,,
06/11/2007,583.90,,21829,,42,,11069,,11097,,
06/12/2007,584.39,,22131,,302,,11048,,11206,,
06/13/2007,583.04,,21307,,-824,,11072,,10664,,
06/14/2007,582.77,,21146,,-161,,11074,,10998,,
06/15/2007,582.95,,21253,,107,,11690,,11752,,
06/16/2007,583.91,,21835,,582,,12446,,12747,,
06/17/2007,585.12,,22582,,747,,12505,,12891,,
06/18/2007,584.84,,22408,,-174,,12574,,12494,,
06/19/2007,583.18,,21392,,-1016,,13089,,12584,,
06/20/2007,583.51,,21593,,201,,13056,,13163,,
06/21/2007,583.94,,21854,,261,,13060,,13199,,
06/22/2007,582.78,,21152,,-702,,13583,,13235,,
06/23/2007,581.83,,20586,,-566,,13541,,13263,,
06/24/2007,582.92,,21235,,649,,13576,,13911,,
06/25/2007,583.03,,21301,,66,,13439,,13480,,
06/26/2007,583.44,,21550,,--,,14022,,14154,,
06/27/2007,583.70,,21708,,158,,13933,,14020,,
06/28/2007,584.75,,22353,,645,,14161,,14491,,
06/29/2007,584.39,,22131,,-222,,14995,,14890,,
06/30/2007,583.96,,21866,,-265,,15248,,15120,,
07/01/2007,583.11,,21350,,-516,,15216,,14962,,
07/02/2007,582.66,,21080,,-270,,15189,,15060,,
07/03/2007,583.26,,21441,,361,,15141,,15330,,
07/04/2007,585.03,,22526,,1085,,15166,,15719,,
07/05/2007,585.05,,22538,,12,,15345,,15359,,
07/06/2007,584.84,,22408,,-130,,15137,,15080,,
07/07/2007,584.54,,22223,,-185,,15587,,15501,,
07/08/2007,584.50,,22199,,-24,,15289,,15285,,
07/09/2007,583.65,,21678,,-521,,15533,,15280,,
07/10/2007,584.19,,22007,,329,,15392,,15565,,
07/11/2007,584.79,,22377,,370,,15142,,15337,,
07/12/2007,584.19,,22007,,-370,,15147,,14963,,
07/13/2007,585.75,,22978,,971,,15199,,15694,,
07/14/2007,583.95,,21860,,-1118,,15453,,14896,,
07/15/2007,584.04,,21915,,55,,15125,,15160,,
07/16/2007,585.37,,22739,,824,,15159,,15582,,
07/17/2007,585.05,,22538,,-201,,15427,,15333,,
07/18/2007,585.02,,22520,,-18,,15196,,15191,,
07/19/2007,584.96,,22482,,-38,,15052,,15038,,
07/20/2007,584.63,,22279,,-203,,14991,,14895,,
07/21/2007,584.79,,22377,,98,,14982,,15037,,
07/22/2007,583.34,,21489,,-888,,15068,,14625,,
07/23/2007,583.18,,21392,,-97,,14935,,14891,,
07/24/2007,583.50,,21587,,195,,15032,,15136,,
07/25/2007,584.00,,21890,,303,,15117,,15276,,
07/26/2007,583.76,,21744,,-146,,15003,,14937,,
07/27/2007,584.96,,22482,,738,,14283,,14661,,
07/28/2007,585.51,,22827,,345,,13445,,13627,,
07/29/2007,585.28,,22683,,-144,,13764,,13697,,
07/30/2007,585.50,,22821,,138,,13783,,13862,,
07/31/2007,584.82,,22396,,-425,,13857,,13648,,
08/01/2007,585.48,,22808,,412,,13449,,13666,,
08/02/2007,584.98,,22495,,-313,,13699,,13549,,
08/03/2007,585.27,,22677,,182,,13628,,13720,,
08/04/2007,583.97,,21872,,-805,,13303,,12904,,
08/05/2007,584.30,,22075,,203,,13018,,13127,,
08/06/2007,585.11,,22576,,501,,13327,,13588,,
08/07/2007,584.44,,22161,,-415,,13727,,13523,,
08/08/2007,583.95,,21860,,-301,,13298,,13146,,
08/09/2007,584.02,,21902,,42,,13056,,13083,,
08/10/2007,584.84,,22408,,506,,13042,,13304,,
08/11/2007,584.62,,22273,,-135,,12809,,12747,,
08/12/2007,585.26,,22670,,397,,12796,,13003,,
08/13/2007,580.42,,19766,,-2904,,13230,,11770,,
08/14/2007,585.31,,22702,,2936,,12285,,13772,,
08/15/2007,584.64,,22285,,-417,,11565,,11362,,
08/16/2007,584.20,,22013,,-272,,11583,,11452,,
08/17/2007,584.96,,22482,,469,,11236,,11479,,
08/18/2007,584.56,,22236,,-246,,10985,,10867,,
08/19/2007,584.66,,22297,,61,,10434,,10470,,
08/20/2007,584.64,,22285,,-12,,10675,,10674,,
08/21/2007,584.10,,21952,,-333,,10566,,10404,,
08/22/2007,583.61,,21653,,-299,,10572,,10421,,
08/23/2007,584.34,,22100,,447,,10097,,10329,,
08/24/2007,584.26,,22050,,-50,,10072,,10054,,
08/25/2007,584.04,,21915,,-135,,9693,,9632,,
08/26/2007,583.87,,21811,,-104,,9677,,9632,,
08/27/2007,583.87,,21811,,0,,9662,,9667,,
08/28/2007,584.15,,21983,,172,,9678,,9772,,
08/29/2007,585.47,,22802,,819,,9655,,10075,,
08/30/2007,585.63,,22903,,101,,9668,,9724,,
08/31/2007,584.81,,22390,,-513,,9592,,9338,,
09/01/2007,585.30,,22695,,305,,9605,,9765,,
09/02/2007,585.31,,22702,,7,,9705,,9714,,
09/03/2007,585.73,,22965,,263,,9660,,9798,,
09/04/2007,585.11,,22576,,-389,,9664,,9474,,
09/05/2007,584.45,,22168,,-408,,9663,,9463,,
09/06/2007,584.72,,22334,,166,,9659,,9748,,
09/07/2007,584.44,,22161,,-173,,9123,,9041,,
09/08/2007,584.88,,22433,,272,,9070,,9212,,
09/09/2007,584.45,,22168,,-265,,9067,,8936,,
09/10/2007,585.44,,22783,,615,,9037,,9352,,
09/11/2007,584.82,,22396,,-387,,9079,,8890,,
09/12/2007,584.57,,22242,,-154,,8566,,8492,,
09/13/2007,585.13,,22589,,--,,8505,,8683,,
09/14/2007,584.73,,22340,,-249,,8054,,7929,,
09/15/2007,584.41,,22143,,-197,,8035,,7940,,
09/16/2007,584.89,,22439,,296,,7995,,8147,,
09/17/2007,582.67,,21086,,-1353,,8029,,7352,,
09/18/2007,582.21,,20811,,-275,,8031,,7896,,
09/19/2007,584.66,,22297,,1486,,8040,,8794,,
