Date,RESELE , ,,STORAGE , ,,RESCHG , ,,TOCSTO , ,,ABVTOC , ,,OUTFLOW , ,,INFLOW , ,,PPTINC , ,,TEMPMN , ,,TEMPMX , ,,WINDLEN , ,,EVPPAN , ,,
 ,FEET, ,AF, ,AF, ,AF, ,AF, ,CFS, ,CFS, ,INCHES, ,DEGF, ,DEGF, ,MILES, ,INCHES, ,
06/07/2003,498.27,,36335,,--,,90000,,0,,63,,0.00,,58,,91,,103,,0.40,,
06/08/2003,498.38,,36445,,110,,90000,,0,,67,,0.00,,61,,96,,86,,0.38,,
06/09/2003,498.53,,36596,,151,,90000,,0,,90,,0.00,,63,,96,,95,,0.47,,
06/10/2003,498.60,,36667,,71,,90000,,0,,48,,0.00,,55,,85,,102,,0.40,,
06/11/2003,498.67,,36738,,71,,90000,,0,,45,,0.00,,53,,83,,103,,0.32,,
06/12/2003,498.73,,36798,,60,,90000,,0,,41,,0.00,,53,,82,,106,,0.36,,
06/13/2003,498.78,,36849,,51,,90000,,0,,38,,0.00,,52,,88,,114,,0.41,,
06/14/2003,498.84,,36909,,60,,90000,,0,,44,,0.00,,55,,90,,85,,0.45,,
06/15/2003,498.90,,36970,,61,,90000,,0,,43,,0.00,,61,,94,,95,,0.41,,
06/16/2003,498.96,,37031,,61,,90000,,0,,46,,0.00,,65,,98,,109,,0.50,,
06/17/2003,499.01,,37082,,51,,90000,,0,,43,,0.00,,71,,101,,133,,0.57,,
06/18/2003,499.05,,37122,,40,,90000,,0,,34,,0.00,,62,,92,,105,,0.45,,
06/19/2003,499.09,,37163,,41,,90000,,0,,32,,0.00,,56,,86,,97,,0.38,,
06/20/2003,499.11,e,37188,e,25,,90000,,--,,--,,0.00,,54,,85,,--,,0.38,,
06/21/2003,499.14,,37214,,26,,90000,,0,,28,,0.00,,54,,85,,54,,0.41,,
06/22/2003,499.16,,37234,,--,,90000,,0,,23,,0.00,,56,,88,,56,,0.41,,
06/23/2003,499.04,,37112,,--,,90000,,84,,35,,0.00,,55,,85,,57,,0.39,,
06/24/2003,498.87,,36940,,--,,90000,,112,,37,,0.00,,54,,89,,57,,0.39,,
06/25/2003,498.64,,36707,,--,,90000,,133,,32,,0.00,,65,,99,,70,,0.55,,
06/26/2003,498.36,,36425,,--,,90000,,153,,30,,0.00,,70,,105,,85,,0.64,,
06/27/2003,498.05,,36114,,--,,90000,,157,,22,,0.00,,72,,107,,79,,0.74,,
06/28/2003,497.75,,35815,,--,,90000,,183,,53,,0.00,,72,,107,,77,,0.68,,
06/29/2003,497.44,,35507,,--,,90000,,181,,44,,0.00,,68,,103,,61,,0.60,,
06/30/2003,497.13,,35201,,--,,90000,,180,,39,,0.00,,63,,97,,56,,0.45,,
07/01/2003,496.83,,34905,,--,,90000,,179,,46,,0.00,,62,,96,,51,,0.55,,
07/02/2003,496.56,,34641,,--,,90000,,160,,44,,0.00,,65,,100,,59,,0.52,,
07/03/2003,496.36,,34445,,-196,,90000,,141,,58,,0.00,,62,,100,,47,,0.52,,
07/04/2003,496.14,,34231,,-214,,90000,,141,,52,,0.00,,66,,99,,64,,0.61,,
07/05/2003,495.92,,34018,,-213,,90000,,139,,51,,0.00,,66,,100,,75,,0.63,,
07/06/2003,495.70,,33805,,-213,,90000,,138,,46,,0.00,,63,,96,,22,,0.48,,
07/07/2003,495.48,,33594,,-211,,90000,,138,,49,,0.00,,61,,96,,91,,0.55,,
07/08/2003,495.32,,33440,,-154,,90000,,102,,40,,0.00,,59,,96,,54,,0.52,,
07/09/2003,495.13,,33258,,-182,,90000,,99,,23,,0.00,,67,,101,,75,,0.53,,
07/10/2003,494.75,,32896,,-362,,90000,,199,,36,,0.00,,69,,103,,65,,0.62,,
07/11/2003,494.40,,32564,,-332,,90000,,193,,45,,0.00,,68,,102,,63,,0.64,,
07/12/2003,494.03,,32216,,-348,,90000,,195,,38,,0.00,,70,,102,,62,,0.60,,
07/13/2003,493.66,,31869,,-347,,90000,,195,,37,,0.00,,65,,99,,61,,0.55,,
07/14/2003,493.30,,31534,,-335,,90000,,196,,44,,0.00,,68,,102,,64,,0.57,,
07/15/2003,492.93,,31192,,--,,90000,,195,,40,,0.00,,72,,105,,82,,0.60,,
07/16/2003,492.57,,30861,,-331,,90000,,194,,44,,0.00,,70,,103,,58,,0.56,,
